"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"49"	49	49	"Inception"	"WB"	825.5	292.6	533	2010	"Sci-Fi Action"	"PG-13"	3792	8.8	"Sci-Fi"	"Action"	62.8	148	25	"Christopher Nolan"	""	"Leonardo DiCaprio"	"Joseph Gordon-Levitt"	"ss"	160	0	"inception"	325	75	0	1.83
"50"	50	50	"Spider-Man"	"Sony"	821.7	403.7	418	2002	"AA"	"PG-13"	3876	7.3	"AA"	""	114.8	121	15.4	"Sam Raimi"	""	"Tobey Maguire"	"Willem Dafoe"	"ns"	139	0	"spiderman"	236	78	3	2.9
"51"	51	51	"Independence Day"	"Fox"	817.4	306.2	511.2	1996	"Sci-Fi Action"	"PG-13"	2977	6.9	"Sci-Fi"	"Action"	NA	153	NA	"Roland Emmerich"	""	"Will Smith"	"Bill Pullman"	"ss"	75	0	"independenceday"	57	48	0	4.08
"52"	52	52	"Shrek the Third"	"P/DW"	799	322.7	476.2	2007	"Animation"	"PG"	4172	6.1	"Animation"	""	NA	92	NA	"Chris Miller"	"Raman Hui"	"Mike Myers"	"Eddie Murphy"	"ns"	160	0	"shrekthethird"	0	0	0	2.02
"53"	53	53	"Harry Potter and the Prisoner of Azkaban"	"WB"	796.7	249.5	547.1	2004	"Fantasy"	"PG"	3855	7.8	"Fantasy"	""	93.7	142	25.4	"Alfonso Cuar¨®n"	""	"Daniel Radcliffe"	"Richard Griffiths"	"ss"	130	0	"harrypotterandtheprisonerofazkaban"	250	80	0	1.92
"54"	54	54	"E.T.: The Extra-Terrestrial"	"Uni."	792.9	435.1	357.8	1982	"Family Adventure"	"PG"	NA	7.8	"Family"	"Adventure"	NA	117	NA	"Steven Spielberg"	""	"Dee Wallace"	"Henry Thomas"	"ss"	10.5	1	"e.t.:theextraterrestrial"	0	0	0	41.44
"55"	55	55	"Fast & Furious 6"	"Uni."	788.7	238.7	550	2013	"Action"	"PG-13"	3771	7.2	"Action"	""	97.4	130	15	"Justin Lin"	""	"Vin Diesel"	"Paul Walker"	"ss"	160	1	"fast&furious6"	0	0	0	1.49
"56"	56	56	"Indiana Jones and the Kingdom of the Crystal Skull"	"Par."	786.6	317.1	469.5	2008	"Period Adventure"	"PG-13"	4264	6.2	"Period"	"Adventure"	NA	120	NA	"Steven Spielberg"	""	"Harrison Ford"	"Cate Blanchett"	"ss"	185	0	"indianajonesandthekingdomofthecrystalskull"	256	66	0	1.71
"57"	57	57	"Spider-Man 2"	"Sony"	783.8	373.6	410.2	2004	"AA"	"PG-13"	4166	7.3	"AA"	""	88.2	127	22.7	"Sam Raimi"	""	"Tobey Maguire"	"Kirsten Dunst"	"ss"	200	1	"spiderman2"	261	82	3	1.87
"58"	58	58	"Star Wars"	"Fox"	775.4	461	314.4	1977	"Sci-Fi Fantasy"	"PG"	NA	8.7	"Sci-Fi"	"Fantasy"	NA	121	NA	"George Lucas"	""	"Mark Hamill"	"Harrison Ford"	"ss"	11	0	"starwars"	212	44	0	41.91
"59"	59	59	"Guardians of the Galaxy"	"BV"	773.3	333.2	440.1	2014	"AA"	"PG-13"	4088	8.1	"AA"	""	94.3	121	25	"James Gunn"	""	"Chris Pratt"	"Zoe Saldana"	"ss"	170	0	"guardiansofthegalaxy"	275	80	1	1.96
"60"	60	60	NA	"Sony"	769.7	166.1	603.6	2009	"Action Drama"	"PG-13"	3444	5.8	"Action"	"Drama"	65.2	158	14.4	"Roland Emmerich"	""	"John Cusack"	"Amanda Peet"	"ns"	200	NA	NA	0	0	0	0.83
"61"	61	61	"Maleficent"	"BV"	758.5	241.4	517.1	2014	"Fantasy"	"PG"	3948	7	"Fantasy"	""	69.4	97	27	"Robert Stromberg"	""	"Angelina Jolie"	"Elle Fanning"	"ss"	180	0	"maleficent"	0	0	0	1.34
"62"	62	62	"The Da Vinci Code"	"Sony"	758.2	217.5	540.7	2006	"Thriller"	"PG-13"	3757	6.5	"Thriller"	""	77.1	149	13.4	"Ron Howard"	""	"Tom Hanks"	"Audrey Tautou"	"ns"	125	0	"thedavincicode"	0	0	0	1.74
"63"	63	63	"The Amazing Spider-Man"	"Sony"	757.9	262	495.9	2012	"AA"	"PG-13"	4318	7.3	"AA"	""	62	136	14.9	"Sam Raimi"	""	"Tobey Maguire"	"Kirsten Dunst"	"ss"	230	0	"theamazingspiderman"	0	0	3	1.14
"64"	64	64	"The Hunger Games: Mockingjay - Part 1"	"LGF"	755.4	337.1	418.2	2014	"AA"	"PG-13"	4151	6.7	"AA"	""	121.9	123	17	"Francis Lawrence"	""	"Jennifer Lawrence"	"Josh Hutcherson"	"hs"	125	1	"thehungergames:mockingjaypart1"	0	0	0	2.7
"65"	65	65	"Shrek Forever After"	"P/DW"	752.6	238.7	513.9	2010	"Animation"	"PG"	4386	6.4	"Animation"	""	NA	93	NA	"Mike Mitchell"	""	"Mike Myers"	"Eddie Murphy"	"ss"	165	0	"shrekforeverafter"	0	0	0	1.45
"66"	66	66	"X-Men: Days of Future Past"	"Fox"	747.9	233.9	513.9	2014	"AA"	"PG-13"	4001	8	"AA"	""	90.8	131	20	"Bryan Singer"	""	"Hugh Jackman"	"James McAvoy"	"ss"	200	1	"xmen:daysoffuturepast"	274	80	4	1.17
