"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"327"	327	327	"Inglourious Basterds"	"Wein."	321.5	120.5	200.9	NA	2009	"War"	"R"	3358	8.3	"War"	""	38.1	152	17	"Quentin Tarantino"	"Eli Roth"	"Brad Pitt"	"M¨¦lanie Laurent"	"ss"	70
"328"	328	328	"Schindler's List"	"Uni."	321.3	96.1	225.2	NA	1993	"War Drama"	"R"	NA	8.9	"War"	"Drama"	NA	194	NA	"Steven Spielberg"	""	"Liam Neeson"	"Ben Kingsley"	"hs"	22
"329"	329	329	"101 Dalmatians (1996)"	"BV"	320.7	136.2	184.5	NA	1996	"Family Comedy"	"G"	NA	7	"Family"	"Comedy"	NA	103	NA	"Dominik Sedlar"	"Jakov Sedlar"	"Rick Adamson"	"Martin Sheen"	"hs"	NA
"330"	330	330	"Fatal Attraction"	"Par."	320.1	156.6	163.5	NA	1987	"Thriller"	"R"	NA	6.9	"Thriller"	""	NA	123	NA	"Adrian Lyne"	""	"Michael Douglas"	"Glenn Close"	"ns"	NA
"331"	331	331	"The Last Airbender"	"Par."	319.7	131.8	187.9	NA	2010	"Fantasy"	"PG"	3203	4.2	"Fantasy"	""	NA	103	NA	"M. Night Shyamalan"	""	"Noah Ringer"	"Dev Patel"	"ss"	150
"332"	332	332	"The Conjuring"	"WB (NL)"	318	137.4	180.6	NA	2013	"Horror"	"R"	3115	7.5	"Horror"	""	41.9	112	15	"James Wan"	""	"Vera Farmiga"	"Patrick Wilson"	"ss"	20
"333"	333	333	"The Proposal"	"BV"	317.4	164	153.4	NA	2009	"Romantic Comedy"	"PG-13"	3158	6.7	"Romantic"	"Comedy"	33.6	108	20	"Anne Fletcher"	""	"Sandra Bullock"	"Ryan Reynolds"	"ss"	40
"334"	334	334	"Beverly Hills Cop"	"Par."	316.4	234.8	81.6	NA	1984	"Action Comedy"	"R"	NA	7.3	"Action"	"Comedy"	NA	105	NA	"Martin Brest"	""	"Eddie Murphy"	"Judge Reinhold"	"hs"	NA
"335"	335	335	"Air Force One"	"Sony"	315.2	173	142.2	NA	1997	"Action Thriller"	"R"	2981	6.4	"Action"	"Thriller"	NA	124	NA	"Wolfgang Petersen"	""	"Harrison Ford"	"Gary Oldman"	"ss"	85
"336"	336	336	"Chicken Little"	"BV"	314.4	135.4	179	NA	2005	"Animation"	"G"	3658	5.8	"Animation"	""	40	81	23	"Mark Dindal"	""	"Zach Braff"	"Garry Marshall"	"ns"	150
"337"	337	337	"As Good as It Gets"	"Sony"	314.2	148.5	165.7	NA	1997	"Romantic Comedy"	"PG"	NA	7.7	"Romantic"	"Comedy"	NA	139	NA	"James L. Brooks"	""	"Jack Nicholson"	"Helen Hunt"	"hs"	NA
"338"	338	338	"A Beautiful Mind"	"Uni."	313.5	170.7	142.8	NA	2001	"Period Drama"	"PG-13"	1837	8.2	"Period"	"Drama"	NA	136	NA	"Ron Howard"	""	"Russell Crowe"	"Ed Harris"	"hs"	50
"339"	339	339	"The Good Dinosaur"	"BV"	313.3	122	191.3	NA	2015	"Animation"	"PG-13"	NA	6.9	"Animation"	""	NA	100	NA	"Peter Sohn"	""	"Jeffrey Wright"	"Frances McDormand"	"hs"	58
"340"	340	340	"Maze Runner: The Scorch Trials"	"Fox"	312.3	81.7	230.6	NA	2015	"AA"	"PG"	NA	6.4	"AA"	""	NA	131	NA	"Wes Ball"	""	"Dylan O'Brien"	"Ki Hong Lee"	"ns"	NA
"341"	341	341	"Austin Powers: The Spy Who Shagged Me"	"NL"	312	206	106	NA	1999	"Comedy"	"PG-13"	3792	6.6	"Comedy"	""	30.3	95	18	"Jay Roach"	""	"Mike Myers"	"Heather Graham"	"ss"	61
"342"	342	342	"Ocean's Thirteen"	"WB"	311.3	117.2	194.2	NA	2007	"Crime Comedy"	"PG-13"	NA	6.9	"Crime"	"Comedy"	NA	113	NA	"Steven Soderbergh"	""	"George Clooney"	"Brad Pitt"	"ss"	33
"343"	343	343	"Little Fockers"	"Uni."	310.7	148.4	162.2	NA	2010	"Comedy"	"PG-13"	3565	5.5	"Comedy"	""	36.1	98	15	"Paul Weitz"	""	"Robert De Niro"	"Ben Stiller"	"hs"	NA
"344"	344	344	"Bolt"	"BV"	310	114.1	195.9	NA	2008	"Animation"	"PG-13"	3675	6.9	"Animation"	""	30.8	96	12.3	"Byron Howard"	"Chris Williams"	"John Travolta"	"Miley Cyrus"	"hs"	100
"345"	345	345	"Ransom"	"BV"	309.5	136.5	173	NA	1996	"Thriller"	"PG"	3654	6.6	"Thriller"	""	26.2	121	14	"Ron Howard"	""	"Mel Gibson"	"Rene Russo"	"ns"	150
"346"	346	346	"Runaway Bride"	"Par."	309.5	152.3	157.2	NA	1999	"Romantic Comedy"	"R"	2768	5.4	"Romantic"	"Comedy"	NA	116	NA	"Garry Marshall"	""	"Julia Roberts"	"Richard Gere"	"ss"	NA
"347"	347	347	"The Blind Side"	"WB"	309.2	256	53.2	NA	2009	"Sports Drama"	"PG"	3240	7.7	"Sports"	"Drama"	NA	126	NA	"John Lee Hancock"	""	"Sandra Bullock"	"Tim McGraw"	"hs"	70
"348"	348	348	"The Polar Express"	"WB"	307.5	183.4	124.1	NA	2004	"Animation"	"PG-13"	3407	6.6	"Animation"	""	34.1	100	28	"Robert Zemeckis"	""	"Tom Hanks"	"Leslie Zemeckis"	"ns"	29
"349"	349	349	"The Fault in our Stars"	"Fox"	307.2	124.9	182.3	NA	2014	"Drama"	"G"	3650	7.9	"Drama"	""	23.3	125	17.3	"Josh Boone"	""	"Shailene Woodley"	"Ansel Elgort"	"ss"	165
"350"	350	350	"The Pursuit of Happyness"	"Sony"	307.1	163.6	143.5	NA	2006	"Drama"	"PG-13"	3340	7.9	"Drama"	""	48	116	18	"Gabriele Muccino"	""	"Will Smith"	"Jaden Smith"	"hs"	12
"351"	351	351	"Rise of the Guardians"	"P/DW"	306.9	103.4	203.5	NA	2012	"Animation"	"PG-13"	3169	7.3	"Animation"	""	26.5	97	13.4	"Peter Ramsey"	""	"Chris Pine"	"Alec Baldwin"	"hs"	55
"352"	352	352	"Chicago"	"Mira."	306.8	170.7	136.1	NA	2002	"Musical"	"PG"	3672	7.2	"Musical"	""	23.8	107	20.3	"Rob Marshall"	""	"Taye Diggs"	"Cliff Saunders"	"hs"	145
"353"	353	353	"The Expendables 2"	"LGF"	305.4	85	220.4	NA	2016	"Animation"	"PG-13"	NA	6.7	"Animation"	""	NA	95	NA	"Simon West"	""	"Sylvester Stallone"	"Jason Statham"	"ns"	45
"354"	354	354	"Wrath of the Titans"	"WB"	305.3	83.7	221.6	NA	2012	"Action"	"R"	3355	5.8	"Action"	""	28.6	102	14	"Jonathan Liebesman"	""	"Sam Worthington"	"Liam Neeson"	"ss"	100
"355"	355	355	"A Good Day to Die Hard"	"Fox"	304.7	67.3	237.3	NA	2012	"Fantasy"	"PG-13"	3545	5.3	"Fantasy"	""	33.5	99	13	"John Moore"	""	"Bruce Willis"	"Jai Courtney"	"ns"	150
"356"	356	356	"Mulan"	"BV"	304.3	120.6	183.7	NA	2013	"Action"	"R"	3555	7.5	"Action"	""	24.8	97	14.1	"Tony Bancroft"	"Barry Cook"	"Ming-Na Wen"	"Lea Salonga"	"ns"	92
"357"	357	357	"Close Encounters of the Third Kind"	"Col."	303.8	132.1	171.7	NA	1998	"Animation"	"G"	NA	7.7	"Animation"	""	NA	88	NA	"Steven Spielberg"	""	"Richard Dreyfuss"	"Fran_ois Truffaut"	"ss"	NA
"358"	358	358	"Battleship"	"Uni."	303	65.4	237.6	NA	1977	"Sci-Fi"	"PG"	NA	5.9	"Sci-Fi"	""	NA	137	NA	"Peter Berg"	""	"Taylor Kitsch"	"Alexander Skarsg_rd"	"ns"	20
"359"	359	359	"Liar Liar"	"Uni."	302.7	181.4	121.3	NA	2012	"Action"	"PG-13"	3702	6.8	"Action"	""	NA	131	NA	"Tom Shadyac"	""	"Jim Carrey"	"Maura Tierney"	"ns"	209
"360"	360	360	"G.I. Joe: The Rise of Cobra"	"Par."	302.5	150.2	152.3	NA	1997	"Fantasy Comedy"	"PG-13"	2909	5.8	"Fantasy"	"Comedy"	31.4	86	30	"Stephen Sommers"	""	"Adewale Akinnuoye-Agbaje"	"Christopher Eccleston"	"ns"	NA
"361"	361	361	"Hook"	"TriS"	300.9	119.7	181.2	NA	2009	"Action"	"PG-13"	4007	6.7	"Action"	""	54.7	118	13	"Steven Spielberg"	""	"Dustin Hoffman"	"Robin Williams"	"ss"	175
"362"	362	362	"Rocky IV"	"UA"	300.5	127.9	172.6	NA	1991	"Fantasy"	"PG"	NA	6.7	"Fantasy"	""	NA	142	NA	"Sylvester Stallone"	""	"Sylvester Stallone"	"Talia Shire"	"hs"	70
"363"	363	363	"Rambo: First Blood Part II"	"TriS"	300.4	150.4	150	NA	1985	"Sports Drama"	"PG"	NA	6.4	"Sports"	"Drama"	NA	91	NA	"George P. Cosmatos"	""	"Sylvester Stallone"	"Richard Crenna"	"hs"	NA
"364"	364	364	"Van Helsing"	"Uni."	300.3	120.2	180.1	NA	1985	"Action"	"R"	NA	6	"Action"	""	NA	94	NA	"Stephen Sommers"	""	"Hugh Jackman"	"Kate Beckinsale"	"ss"	NA
"365"	365	365	"Superman"	"WB"	300.2	134.2	166	NA	2004	"Period Horror"	"PG-13"	3580	7.3	"Period"	"Horror"	51.7	130	16	"Richard Donner"	""	"Marlon Brando"	"Gene Hackman"	"ns"	160
"366"	366	366	"Stuart Little"	"Sony"	300.1	140	160.1	NA	1978	"AA"	"PG"	NA	5.9	"AA"	""	NA	143	NA	"Rob Minkoff"	""	"Michael J. Fox"	"Geena Davis"	"hs"	55
"367"	367	367	"Beverly Hills Cop II"	"Par."	300	153.7	146.3	NA	1999	"Family Adventure"	"PG"	3151	6.4	"Family"	"Adventure"	NA	84	NA	"Tony Scott"	""	"Eddie Murphy"	"Judge Reinhold"	"hs"	133
"368"	368	368	"Kung Fu Panda 3"	"Fox"	299.6	121.4	178.2	NA	1987	"Action Comedy"	"R"	NA	7.8	"Action"	"Comedy"	NA	103	NA	"Alessandro Carloni"	"Jennifer Yuh Nelson"	"Jack Black"	"Bryan Cranston"	"ss"	NA
"369"	369	369	"My Best Friend's Wedding"	"Sony"	299.3	127.1	172.2	NA	1997	"Romantic Comedy"	"PG-13"	NA	6.3	"Romantic"	"Comedy"	NA	105	NA	"P.J. Hogan"	""	"Julia Roberts"	"Dermot Mulroney"	"ss"	38
"370"	370	370	"Real Steel"	"BV"	299.3	85.5	213.8	NA	2011	"Action Drama"	"PG-13"	3440	7.1	"Action"	"Drama"	27.3	127	19	"Shawn Levy"	""	"Hugh Jackman"	"Dakota Goyo"	"ns"	NA
"371"	371	371	"The Divergent Series: Insurgent"	"LG/S"	297.3	130.2	167.1	NA	2015	"AA"	"PG-13"	3875	6.3	"AA"	""	52.3	119	16	"Robert Schwentke"	""	"Kate Winslet"	"Jai Courtney"	"ns"	110
"372"	372	372	"Dr. Seuss' Horton Hears a Who!"	"Fox"	297.1	154.5	142.6	NA	2008	"Animation"	"G"	NA	6.9	"Animation"	""	NA	88	NA	"Jimmy Hayward"	"Steve Martino"	"Jim Carrey"	"Steve Carell"	"ns"	85
"373"	373	373	"Look Who's Talking"	"TriS"	297	140.1	156.9	NA	1989	"Family Comedy"	"PG-13"	NA	5.8	"Family"	"Comedy"	NA	93	NA	"Amy Heckerling"	""	"John Travolta"	"Kirstie Alley"	"ns"	NA
"374"	374	374	"Austin Powers in Goldmember"	"NL"	296.7	213.3	83.3	NA	2002	"Comedy"	"PG-13"	NA	6.2	"Comedy"	""	NA	94	NA	"Jay Roach"	""	"Mike Myers"	"Beyonc¨¦ Knowles"	"ss"	63
"375"	375	375	"X-Men"	"Fox"	296.3	157.3	139	NA	2000	"AA"	"PG-13"	3112	7.4	"AA"	""	NA	104	NA	"Bryan Singer"	""	"Hugh Jackman"	"Patrick Stewart"	"ss"	75
"376"	376	376	"Resident Evil: Afterlife"	"SGem"	296.2	60.1	236.1	NA	2010	"Action Horror"	"R"	3209	6.3	"Action"	"Horror"	26.7	100	8	"Russell Mulcahy"	""	"Milla Jovovich"	"Oded Fehr"	"ns"	60
"377"	377	377	"Ghostbusters"	"Col."	295.2	242.2	53	NA	1984	"Horror Comedy"	"PG"	1506	7.8	"Horror"	"Comedy"	NA	107	NA	"Ivan Reitman"	""	"Bill Murray"	"Dan Aykroyd"	"ss"	30
"378"	378	378	"Shutter Island"	"Par."	294.8	128	166.8	NA	2010	"Period Drama"	"R"	3356	8.1	"Period"	"Drama"	41.1	138	16	"Martin Scorsese"	""	"Leonardo DiCaprio"	"Mark Ruffalo"	"ns"	80
"379"	379	379	"Doctor Dolittle"	"Fox"	294.5	144.2	150.3	NA	1998	"Family Comedy"	"PG-13"	NA	5.3	"Family"	"Comedy"	NA	85	NA	"Betty Thomas"	""	"Eddie Murphy"	"Ossie Davis"	"ss"	NA
"380"	380	380	"Salt"	"Sony"	293.5	118.3	175.2	NA	2010	"Action Thriller"	"PG-13"	3612	6.4	"Action"	"Thriller"	36	99	14	"Phillip Noyce"	""	"Angelina Jolie"	"Liev Schreiber"	"ss"	110
"381"	381	381	"G-Force"	"BV"	292.8	119.4	173.4	NA	2009	"Family Adventure"	"PG"	3697	5.1	"Family"	"Adventure"	31.7	90	19	"Hoyt Yeatman"	""	"Bill Nighy"	"Will Arnett"	"ss"	150
"382"	382	382	"What Lies Beneath"	"DW"	291.4	155.5	136	NA	2000	"Horror"	"PG-13"	2925	6.6	"Horror"	""	29.7	130	28	"Robert Zemeckis"	""	"Michelle Pfeiffer"	"Katharine Towne"	"ss"	100
"383"	383	383	"The Departed"	"WB"	289.8	132.4	157.5	NA	2006	"Crime Drama"	"R"	NA	8.5	"Crime"	"Drama"	NA	150	NA	"Martin Scorsese"	""	"Leonardo DiCaprio"	"Matt Damon"	"ns"	90
"384"	384	384	"Shakespeare in Love"	"Mira."	289.3	100.3	189	NA	1998	"Period Comedy"	"R"	NA	7.2	"Period"	"Comedy"	NA	123	NA	"John Madden"	""	"Geoffrey Rush"	"Tom Wilkinson"	"hs"	25
"385"	385	385	"Fantastic Four: Rise of the Silver Surfer"	"Fox"	289	131.9	157.1	NA	2007	"AA"	"PG"	3963	5.6	"AA"	""	58.1	89	18	"Tim Story"	""	"Ioan Gruffudd"	"Jessica Alba"	"ss"	130
"386"	386	386	"Divergent"	"LG/S"	288.9	150.9	137.9	NA	2014	"AA"	"PG-13"	3936	6.8	"AA"	""	54.6	143	16	"Neil Burger"	""	"Shailene Woodley"	"Theo James"	"ns"	85
"387"	387	387	"Coming to America"	"Par."	288.8	128.2	160.6	NA	1988	"Romantic Comedy"	"R"	NA	6.9	"Romantic"	"Comedy"	NA	116	NA	"John Landis"	""	"Eddie Murphy"	"Arsenio Hall"	"ss"	NA
"388"	388	388	"The Bourne Supremacy"	"Uni."	288.5	176.2	112.3	NA	2004	"Action Thriller"	"PG-13"	3304	7.8	"Action"	"Thriller"	NA	108	NA	"Paul Greengrass"	""	"Matt Damon"	"Franka Potente"	"ss"	75
"389"	389	389	"Bridesmaids"	"Uni."	288.4	169.1	119.3	NA	2011	"Comedy"	"R"	2958	6.8	"Comedy"	""	26.2	125	20	"Paul Feig"	""	"Kristen Wiig"	"Terry Crews"	"ns"	32.5
"390"	390	390	"Sex and the City 2"	"WB (NL)"	288.3	95.3	193	NA	2010	"Romantic Comedy"	"R"	3445	4.3	"Romantic"	"Comedy"	31	147	12.1	"Michael Patrick King"	""	"Sarah Jessica Parker"	"Kristin Davis"	"ss"	100
"391"	391	391	"Casper"	"Uni."	287.9	100.3	187.6	NA	1995	"Family Comedy"	"PG"	NA	6	"Family"	"Comedy"	NA	101	NA	"Brad Silberling"	""	"Chauncey Leopardi"	"Spencer Vrooman"	"ss"	NA
"392"	392	392	"Bee Movie"	"P/DW"	287.6	126.6	161	NA	2007	"Animation"	"PG"	NA	6.2	"Animation"	""	NA	90	NA	"Steve Hickner"	"Simon J. Smith"	"Jerry Seinfeld"	"Ren¨¦e Zellweger"	"ns"	150
"393"	393	393	"American Pie 2"	"Uni."	287.6	145.1	142.5	NA	2001	"Comedy"	"R"	3157	6.4	"Comedy"	""	45.1	104	19	"J.B. Rogers"	""	"Jason Biggs"	"Shannon Elizabeth"	"ss"	30
"394"	394	394	"Pitch Perfect 2"	"Uni."	287.5	184.3	103.2	NA	2015	"Comedy"	"PG-13"	3660	6.5	"Comedy"	""	NA	115	NA	"Elizabeth Banks"	""	"Anna Kendrick"	"Rebel Wilson"	"ns"	29
"395"	395	395	"The Green Mile"	"WB"	286.8	136.8	150	NA	1999	"Period Drama"	"R"	2875	8.5	"Period"	"Drama"	NA	188	NA	"Frank Darabont"	""	"Tom Hanks"	"David Morse"	"hs"	60
"396"	396	396	"Oblivion"	"Uni."	286.2	89.1	197.1	NA	2013	"Sci-Fi Adventure"	"PG-13"	3792	7	"Sci-Fi"	"Adventure"	37.1	125	10	"Joseph Kosinski"	""	"Tom Cruise"	"Morgan Freeman"	"ns"	120
"397"	397	397	"Elysium"	"TriS"	286.1	93.1	193.1	NA	2013	"Sci-Fi"	"R"	3284	6.6	"Sci-Fi"	""	29.8	109	15.4	"Neill Blomkamp"	""	"Matt Damon"	"Jodie Foster"	"ss"	115
"398"	398	398	"Lethal Weapon 4"	"WB"	285.4	130.4	155	NA	1998	"Action Comedy"	"R"	3117	6.6	"Action"	"Comedy"	NA	127	NA	"Richard Donner"	""	"Mel Gibson"	"Danny Glover"	"ss"	140
"399"	399	399	"Wedding Crashers"	"NL"	285.2	209.3	75.9	NA	2005	"Comedy"	"R"	3131	7	"Comedy"	""	33.9	113	23.3	"David Dobkin"	""	"Owen Wilson"	"Vince Vaughn"	"ss"	40
"400"	400	400	"John Carter"	"BV"	284.1	73.1	211.1	NA	2012	"Sci-Fi Adventure"	"PG-13"	3749	6.6	"Sci-Fi"	"Adventure"	30.2	132	16	"Andrew Stanton"	""	"Taylor Kitsch"	"Lynn Collins"	"ns"	250
"401"	401	401	"Turbo"	"Fox"	282.6	83	199.5	NA	2013	"Animation"	"PG"	3809	6.5	"Animation"	""	21.3	96	21.3	"David Soren"	""	"Ryan Reynolds"	"Paul Giamatti"	"ss"	135
"402"	402	402	"Bridget Jones's Diary"	"Mira."	281.9	71.5	210.4	NA	2001	"Romantic Comedy"	"R"	2547	6.7	"Romantic"	"Comedy"	NA	97	NA	"Sharon Maguire"	""	"Ren¨¦e Zellweger"	"Gemma Jones"	"ns"	25
"403"	403	403	"The Tourist"	"Sony"	278.3	67.6	210.7	NA	2010	"Romantic Thriller"	"PG-13"	2756	6	"Romantic"	"Thriller"	NA	103	NA	"Florian Henckel von Donnersmarck"	""	"Johnny Depp"	"Angelina Jolie"	"hs"	100
"404"	404	404	"Scary Movie"	"Mira."	278	157	121	NA	2000	"Horror Comedy"	"R"	3301	7.2	"Horror"	"Comedy"	NA	88	NA	"Wes Craven"	""	"Drew Barrymore"	"Roger Jackson"	"ss"	19
"405"	405	405	"XXX"	"SonR"	277.4	142.1	135.3	NA	2002	"Action"	"PG-13"	3536	5.8	"Action"	""	44.5	113	21.4	"Rob Cohen"	""	"Vin Diesel"	"Asia Argento"	"ss"	70
"406"	406	406	"The Bourne Legacy"	"Uni."	276.1	113.2	162.9	NA	2012	"Action"	"PG-13"	3753	6.7	"Action"	""	38.1	135	13	"Tony Gilroy"	""	"Jeremy Renner"	"Scott Glenn"	"ss"	125
"407"	407	407	"Mr. Peabody & Sherman"	"Fox"	275.7	111.5	164.2	NA	2014	"Animation"	"PG"	NA	6.9	"Animation"	""	NA	90	NA	"Rob Minkoff"	""	"Ty Burrell"	"Max Charles"	"ns"	145
"408"	408	408	"Scooby-Doo"	"WB"	275.7	153.3	122.4	NA	2002	"Family Adventure"	"PG"	3447	4.9	"Family"	"Adventure"	54.2	86	20	"Raja Gosnell"	""	"Freddie Prinze Jr."	"Sarah Michelle Gellar"	"ss"	84
"409"	409	409	"Lincoln"	"BV"	275.3	182.2	93.1	NA	2012	"Historical Drama"	"PG-13"	NA	7.4	"Historical"	"Drama"	NA	145	NA	"Steven Spielberg"	""	"Daniel Day-Lewis"	"Sally Field"	"ns"	65
"410"	410	410	"Spirited Away"	"BV"	274.9	10.1	264.9	NA	2002	"Animation"	"PG"	NA	8.6	"Animation"	""	NA	124	NA	"Hayao Miyazaki"	""	"Rumi Hiiragi"	"Miyu Irino"	"ns"	NA
"411"	411	411	"Lara Croft: Tomb Raider"	"Par."	274.7	131.2	143.5	NA	2001	"AA"	"PG-13"	NA	5.7	"AA"	""	NA	100	NA	"Simon West"	""	"Angelina Jolie"	"Jon Voight"	"ss"	115
"412"	412	412	"The Expendables"	"LGF"	274.5	103.1	171.4	NA	2010	"Action"	"R"	3398	6.5	"Action"	""	34.8	103	10	"Sylvester Stallone"	""	"Sylvester Stallone"	"Jason Statham"	"ss"	80
"413"	413	413	"Cloudy with a Chance of Meatballs 2"	"Sony"	274.3	119.8	154.5	NA	2013	"Animation"	"PG"	4001	6.5	"Animation"	""	34	95	24.4	"Cody Cameron"	"Kris Pearn"	"Bill Hader"	"Anna Faris"	"ns"	78
"414"	414	414	"The Nutty Professor (1996)"	"Uni."	274	128.8	145.1	NA	1996	"Comedy"	"PG-13"	NA	5.6	"Comedy"	""	NA	103	NA	"Tom Shadyac"	""	"Eddie Murphy"	"Jada Pinkett Smith"	"ss"	54
"415"	415	415	"Jerry Maguire"	"Sony"	273.6	154	119.6	NA	1996	"Comedy / Drama"	"R"	NA	7.3	"Comedy"	"Drama"	NA	138	NA	"Cameron Crowe"	""	"Tom Cruise"	"Cuba Gooding Jr."	"hs"	50
"416"	416	416	"Bad Boys II"	"Sony"	273.3	138.6	134.7	NA	2003	"Action Comedy"	"R"	3202	6.6	"Action"	"Comedy"	46.5	147	18	"Michael Bay"	""	"Martin Lawrence"	"Will Smith"	"ss"	130
"417"	417	417	"Lilo & Stitch"	"BV"	273.1	145.8	127.3	NA	2002	"Animation"	"PG"	NA	7.2	"Animation"	""	NA	85	NA	"Dean DeBlois"	"Chris Sanders"	"Daveigh Chase"	"Chris Sanders"	"ss"	80
"418"	418	418	"The Silence of the Lambs"	"Orion"	272.7	130.7	142	NA	1991	"Thriller"	"R"	NA	8.6	"Thriller"	""	NA	118	NA	"Jonathan Demme"	""	"Jodie Foster"	"Lawrence A. Bonney"	"ns"	19
"419"	419	419	"Grown Ups"	"Sony"	271.4	162	109.4	NA	2010	"Comedy"	"PG-13"	3534	6	"Comedy"	""	40.5	102	18	"Dennis Dugan"	""	"Adam Sandler"	"Kevin James"	"ss"	80
"420"	420	420	"Neighbors"	"Uni."	270.7	150.2	120.5	NA	2014	"Comedy"	"R"	3311	6.4	"Comedy"	""	NA	96	NA	"Nicholas Stoller"	""	"Seth Rogen"	"Rose Byrne"	"ns"	18
"421"	421	421	"The Firm"	"Par."	270.2	158.3	111.9	NA	1993	"Thriller"	"R"	NA	6.8	"Thriller"	""	NA	154	NA	"Sydney Pollack"	""	"Tom Cruise"	"Jeanne Tripplehorn"	"ss"	NA
"422"	422	422	"We're the Millers"	"WB (NL)"	270	150.4	119.6	NA	2013	"Comedy"	"R"	3445	7	"Comedy"	""	26.4	110	17.3	"Rawson Marshall Thurber"	""	"Jennifer Aniston"	"Jason Sudeikis"	"ss"	37
"423"	423	423	"Gran Torino"	"WB"	270	148.1	121.9	NA	2008	"Action Drama"	"R"	NA	8.2	"Action"	"Drama"	NA	116	NA	"Clint Eastwood"	""	"Clint Eastwood"	"Christopher Carley"	"hs"	33
"424"	424	424	"10000 B.C."	"WB"	269.8	94.8	175	NA	2008	"Period Adventure"	"PG-13"	3454	5.1	"Period"	"Adventure"	35.9	109	15	"Roland Emmerich"	""	"Steven Strait"	"Camilla Belle"	"ns"	105
"425"	425	425	"Epic"	"Fox"	268.4	107.5	160.9	NA	2013	"Animation"	"PG"	3894	6.7	"Animation"	""	33.5	102	17	"Chris Wedge"	""	"Blake Anderson"	"Aziz Ansari"	"ss"	100
"426"	426	426	"Exodus: Gods and Kings"	"Fox"	268.2	65	203.2	NA	2014	"Drama"	"PG-13"	3503	6.1	"Drama"	""	24.1	150	11	"Ridley Scott"	""	"Christian Bale"	"Joel Edgerton"	"hs"	140
"427"	427	427	"Bambi"	"RKO"	267.4	102.2	165.2	NA	1942	"Animation"	"G"	NA	7.4	"Animation"	""	NA	69	NA	"James Algar"	"Samuel Armstrong"	"Hardie Albright"	"Stan Alexander"	"ss"	NA
"428"	428	428	"The Princess and the Frog"	"BV"	267	104.4	162.6	NA	2009	"Animation"	"G"	NA	7.2	"Animation"	""	NA	95	NA	"Ron Clements"	"John Musker"	"Anika Noni Rose"	"Bruno Campos"	"hs"	105
"429"	429	429	"Batman Returns"	"WB"	266.8	162.8	104	NA	1992	"AA"	"PG-13"	2644	7	"AA"	""	45.7	126	18	"Tim Burton"	""	"Michael Keaton"	"Danny DeVito"	"ss"	80
"430"	430	430	"Something's Gotta Give"	"Sony"	266.7	124.7	142	NA	2003	"Romantic Comedy"	"PG-13"	2876	6.7	"Romantic"	"Comedy"	16.1	128	18	"Nancy Meyers"	""	"Jack Nicholson"	"Diane Keaton"	"hs"	80
"431"	431	431	"Indecent Proposal"	"Par."	266.6	106.6	160	NA	1993	"Romance"	"R"	NA	5.8	"Romance"	""	NA	116	NA	"Adrian Lyne"	""	"Robert Redford"	"Demi Moore"	"ns"	NA
"432"	432	432	"American Gangster"	"Uni."	266.5	130.2	136.3	NA	2007	"Crime Drama"	"R"	3110	7.8	"Crime"	"Drama"	43.6	160	13	"Ridley Scott"	""	"Denzel Washington"	"Russell Crowe"	"ns"	100
"433"	433	433	"Waterworld"	"Uni."	264.2	88.2	176	NA	1995	"Sci-Fi Adventure"	"PG-13"	2420	6.1	"Sci-Fi"	"Adventure"	NA	136	NA	"Kevin Reynolds"	""	"Kevin Costner"	"Chaim Jeraffi"	"ss"	175
"434"	434	434	"The Truman Show"	"Par."	264.1	125.6	138.5	NA	1998	"Comedy / Drama"	"PG"	NA	8.1	"Comedy"	"Drama"	NA	103	NA	"Peter Weir"	""	"Jim Carrey"	"Laura Linney"	"ss"	NA
"435"	435	435	"Charlie's Angels"	"Sony"	264.1	125.3	138.8	NA	2000	"Action Comedy"	"PG-13"	3037	5.5	"Action"	"Comedy"	NA	98	NA	"McG"	""	"Cameron Diaz"	"Drew Barrymore"	"ns"	93
"436"	436	436	"The Fifth Element"	"Sony"	263.9	63.8	200.1	NA	1997	"Sci-Fi Action"	"PG-13"	NA	7.6	"Sci-Fi"	"Action"	NA	126	NA	"Luc Besson"	""	"Bruce Willis"	"Gary Oldman"	"ns"	NA
"437"	437	437	"The Incredible Hulk"	"Uni."	263.4	134.8	128.6	NA	2008	"AA"	"PG-13"	3508	6.8	"AA"	""	NA	114	NA	"Louis Leterrier"	""	"Edward Norton"	"Liv Tyler"	"ss"	150
"438"	438	438	"Jumanji"	"Sony"	262.8	100.5	162.3	NA	1995	"Family Adventure"	"PG"	2530	6.9	"Family"	"Adventure"	NA	104	NA	"Joe Johnston"	""	"Robin Williams"	"Jonathan Hyde"	"hs"	65
"439"	439	439	"Bridget Jones: The Edge of Reason"	"Uni."	262.5	40.2	222.3	NA	2004	"Romantic Comedy"	"R"	NA	5.9	"Romantic"	"Comedy"	NA	108	NA	"Beeban Kidron"	""	"Ren¨¦e Zellweger"	"Gemma Jones"	"ns"	40
