"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"76"	76	76	"The Twilight Saga: New Moon"	"Sum."	709.7	296.6	413.1	NA	2009	"Romance"	"PG-13"	4124	4.6	"Romance"	""	142.8	130	19	"Chris Weitz"	""	"Kristen Stewart"	"Christina Jastrzembska"	"hs"	50
"77"	77	77	"Transformers"	"P/DW"	709.7	319.2	390.5	NA	2007	"Sci-Fi Action"	"PG-13"	4050	7.1	"Sci-Fi"	"Action"	NA	143	NA	"Michael Bay"	""	"Shia LaBeouf"	"Megan Fox"	"ss"	150
"78"	78	78	"The Amazing Spider-Man 2"	"Sony"	709	202.9	506.1	NA	2014	"AA"	"PG-13"	4324	6.8	"AA"	""	91.6	142	15.4	"Marc Webb"	""	"Andrew Garfield"	"Emma Stone"	"ns"	NA
"79"	79	79	"The Twilight Saga: Eclipse"	"Sum."	698.5	300.5	398	NA	2010	"Romance"	"PG-13"	4468	4.9	"Romance"	""	64.8	124	16.3	"David Slade"	""	"Xavier Samuel"	"Kristen Stewart"	"ss"	68
"80"	80	80	"Mission: Impossible - Ghost Protocol"	"Par."	694.7	209.4	485.3	NA	2011	"Action"	"PG-13"	NA	7.4	"Action"	""	NA	132	NA	"Brad Bird"	""	"Tom Cruise"	"Paula Patton"	"hs"	145
"81"	81	81	"The Hunger Games"	"LGF"	694.4	408	286.4	NA	2012	"AA"	"PG-13"	4137	7.3	"AA"	""	152.5	142	24	"Gary Ross"	""	"Stanley Tucci"	"Wes Bentley"	"ns"	78
"82"	82	82	"Mission: Impossible - Rogue Nation"	"Par."	682.3	195	487.3	NA	2015	"Action"	"PG-13"	3988	7.5	"Action"	""	55.5	130	13	"Christopher McQuarrie"	""	"Tom Cruise"	"Jeremy Renner"	"ss"	150
"83"	83	83	"Forrest Gump"	"Par."	677.9	330.3	347.7	NA	1994	"Comedy / Drama"	"PG-13"	NA	8.8	"Comedy"	"Drama"	NA	141	NA	"Robert Zemeckis"	""	"Tom Hanks"	"Rebecca Williams"	"ss"	55
"84"	84	84	"Interstellar"	"Par."	675.1	188	487.1	NA	2014	"Sci-Fi Adventure"	"PG-13"	NA	8.6	"Sci-Fi"	"Adventure"	NA	169	NA	"Christopher Nolan"	""	"Ellen Burstyn"	"Matthew McConaughey"	"ns"	165
"85"	85	85	"The Sixth Sense"	"BV"	672.8	293.5	379.3	NA	1999	"Horror"	"PG-13"	2821	8.1	"Horror"	""	NA	107	NA	"M. Night Shyamalan"	""	"Bruce Willis"	"Haley Joel Osment"	"ss"	40
"86"	86	86	"Man of Steel"	"WB"	668	291	377	NA	2013	"AA"	"PG-13"	4207	7.2	"AA"	""	116.6	143	14	"Zack Snyder"	""	"Henry Cavill"	"Amy Adams"	"ss"	225
"87"	87	87	"Kung Fu Panda 2"	"P/DW"	665.7	165.2	500.4	NA	2011	"Animation"	"PG"	NA	7.3	"Animation"	""	NA	91	NA	"Jennifer Yuh Nelson"	""	"Jack Black"	"Angelina Jolie"	"ss"	150
"88"	88	88	"Ice Age: The Meltdown"	"Fox"	660.9	195.3	465.6	NA	2006	"Animation"	"PG"	3969	6.9	"Animation"	""	68	90	23	"Carlos Saldanha"	""	"Ray Romano"	"John Leguizamo"	"ns"	80
"89"	89	89	"Big Hero 6"	"BV"	657.8	222.5	435.3	NA	2014	"Animation"	"PG"	NA	7.9	"Animation"	""	NA	108	NA	"Don Hall"	"Chris Williams"	"Scott Adsit"	"Ryan Potter"	"ns"	165
"90"	90	90	"Pirates of the Caribbean: The Curse of the Black Pearl"	"BV"	654.3	305.4	348.9	NA	2003	"Period Adventure"	"PG-13"	3416	8.1	"Period"	"Adventure"	46.6	135	26.3	"Gore Verbinski"	""	"Johnny Depp"	"Geoffrey Rush"	"ss"	140
"91"	91	91	"The Hunger Games: Mockingjay - Part 2"	"LGF"	653	281.7	371.2	NA	2015	"AA"	"PG-13"	NA	7	"AA"	""	NA	137	NA	"Francis Lawrence"	""	"Jennifer Lawrence"	"Josh Hutcherson"	"hs"	160
"92"	92	92	"Star Wars: Episode II - Attack of the Clones"	"Fox"	649.4	310.7	338.7	NA	2002	"Sci-Fi Fantasy"	"PG"	3161	6.7	"Sci-Fi"	"Fantasy"	80	132	24.6	"George Lucas"	""	"Ewan McGregor"	"Natalie Portman"	"ns"	115
"93"	93	93	"Thor: The Dark World"	"BV"	644.6	206.4	438.2	NA	2013	"AA"	"PG-13"	3841	7.1	"AA"	""	85.7	120	23	"Alan Taylor"	""	"Chris Hemsworth"	"Natalie Portman"	"ns"	170
"94"	94	94	"Kung Fu Panda"	"P/DW"	631.7	215.4	416.3	NA	2008	"Animation"	"PG"	NA	7.6	"Animation"	""	NA	91	NA	"Mark Osborne"	"John Stevenson"	"Jack Black"	"Dustin Hoffman"	"ss"	130
"95"	95	95	"The Incredibles"	"BV"	631.4	261.4	370	NA	2004	"Animation"	"PG"	3933	8	"Animation"	""	70.5	115	23	"Brad Bird"	""	"Craig T. Nelson"	"Holly Hunter"	"ns"	92
"96"	96	96	"Fast Five"	"Uni."	626.1	209.8	416.3	NA	2011	"Action"	"PG-13"	3793	7.3	"Action"	""	86.2	130	15	"Justin Lin"	""	"Vin Diesel"	"Paul Walker"	"ns"	125
"97"	97	97	"Hancock"	"Sony"	624.4	227.9	396.4	NA	2008	"Fantasy Drama"	"PG-13"	3965	6.4	"Fantasy"	"Drama"	62.6	92	10.3	"Peter Berg"	""	"Will Smith"	"Charlize Theron"	"ss"	150
"98"	98	98	"MIB 3"	"Sony"	624	179	445	NA	2012	"Sci-Fi Comedy"	"PG-13"	NA	6.8	"Sci-Fi"	"Comedy"	NA	106	NA	"Barry Sonnenfeld"	""	"Will Smith"	"Tommy Lee Jones"	"ss"	108
"99"	99	99	"Iron Man 2"	"Par."	623.9	312.4	311.5	NA	2010	"AA"	"PG-13"	4248	7	"AA"	""	54.6	125	15.4	"Jon Favreau"	""	"Robert Downey Jr."	"Gwyneth Paltrow"	"ns"	225
"100"	100	100	"Ratatouille"	"BV"	623.7	206.4	417.3	NA	2007	"Animation"	"PG-13"	4390	8	"Animation"	""	NA	111	NA	"Brad Bird"	"Jan Pinkava"	"Patton Oswalt"	"Ian Holm"	"ss"	200
"101"	101	101	"How to Train Your Dragon 2"	"Fox"	621.5	177	444.5	NA	2014	"Animation"	"G"	3940	7.9	"Animation"	""	47	105	24	"Dean DeBlois"	""	"Jay Baruchel"	"Cate Blanchett"	"ss"	150
