"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"64" 64 "The Hunger Games: Mockingjay - Part 1" "LGF" 755.4 337.1 418.2 2014 "AA" "PG-13" 4151 6.7 "AA" "" 121.9 123 17 "Francis Lawrence" "hs" 125 1 0 0 0 2.7 69 42.5 15.37 15.76 3 5 106 16 "157" 20
"65" 65 "Shrek Forever After" "P/DW" 752.6 238.7 513.9 2010 "Animation" "PG" 4386 6.4 "Animation" "" NA 93 NA "Mike Mitchell" "ss" 165 0 0 0 0 1.45 65 31.95 NA 22.08 6 6 28 30 "38" 67
"66" 66 "X-Men: Days of Future Past" "Fox" 747.9 233.9 513.9 2014 "AA" "PG-13" 4001 8 "AA" "" 90.8 131 20 "Bryan Singer" "ss" 200 1 274 80 4 1.17 69 29.49 11.45 25.22 14 20 20 11 "71" 25
"67" 67 "Madagascar 3: Europe's Most Wanted" "P/DW" 746.9 216.4 530.5 2012 "Animation" "PG" 4263 6.9 "Animation" "" 60.3 93 19 "Eric Darnell" "ss" 145 1 0 0 0 1.49 67 28.1 7.83 18.83 0 2 13 18 "52" 60
"68" 68 "The Chronicles of Narnia: The Lion the Witch and the Wardrobe" "BV" 745 291.7 453.3 2005 "Fantasy" "PG" 3853 6.9 "Fantasy" "" 65.6 132 22 "Andrew Adamson" "hs" 180 1 210 64 0 1.62 60 42.3 9.51 26.1 7 19 3 1 "10" 3
"69" 69 "Monsters University" "BV" 743.6 268.5 475.1 2013 "Animation" "G" 4004 7.4 "Animation" "" 82.4 107 26 "Dan Scanlon" "ss" NA 0 0 0 0 NA 68 34.35 10.54 NA NA NA 30 20 "47" 62
"70" 70 "The Matrix Reloaded" "WB" 742.1 281.6 460.6 2003 "Sci-Fi Action" "R" 3603 7.2 "Sci-Fi" "Action" 91.8 138 26.1 "Lana Wachowski" "ns" 150 0 238 61 0 1.88 58 42.24 13.77 22.5 10 22 0 12 "1" 36
"71" 71 "Up" "BV" 731.3 293 438.3 2009 "Animation" "PG" 3886 8.3 "Animation" "" 68.1 96 23 "Pete Docter" "ss" 175 0 48 85 0 1.67 64 39.83 9.26 23.79 41 56 24 43 "24" 53
"72" 72 "Gravity" "WB" 723.2 274.1 449.1 2013 "Sci-Fi Thriller" "PG-13" 3820 7.9 "Sci-Fi" "Thriller" 55.8 91 31 "Alfonso Cuar¨®n" "ns" 100 0 306 86 0 2.74 68 35.07 7.14 12.79 100 89 72 87 "102" 193
"73" 73 "Captain America: The Winter Soldier" "BV" 714.4 259.8 454.7 2014 "AA" "PG-13" 3938 7.8 "AA" "" 95 136 20 "Anthony Russo" "ns" 170 1 254 78 1 1.53 69 32.76 11.98 21.43 2 26 4 31 "26" 76
"74" 74 "The Twilight Saga: Breaking Dawn Part 1" "Sum." 712.2 281.3 430.9 2011 "Romance" "PG-13" 4066 4.9 "Romance" "" 138.1 108 14 "Bill Condon" "ns" 110 1 0 0 0 2.56 66 37.08 18.2 14.5 19 40 18 1 "28" 0
"75" 75 "Dawn of the Planet of the Apes" "Fox" 710.6 208.5 502.1 2014 "Sci-Fi Action" "PG-13" 3969 7.6 "Sci-Fi" "Action" 72.6 130 21 "Matt Reeves" "ss" 170 0 268 79 0 1.23 69 26.29 9.15 21.43 2 6 30 0 "42" 4
"76" 76 "The Twilight Saga: New Moon" "Sum." 709.7 296.6 413.1 2009 "Romance" "PG-13" 4124 4.6 "Romance" "" 142.8 130 19 "Chris Weitz" "hs" 50 1 0 0 0 5.93 64 40.32 19.41 6.8 2 10 41 NA "53" NA
"77" 77 "Transformers" "P/DW" 709.7 319.2 390.5 2007 "Sci-Fi Action" "PG-13" 4050 7.1 "Sci-Fi" "Action" NA 143 NA "Michael Bay" "ss" 150 0 0 0 0 2.13 62 44.79 NA 21.05 7 10 11 6 "38" 18
"78" 78 "The Amazing Spider-Man 2" "Sony" 709 202.9 506.1 2014 "AA" "PG-13" 4324 6.8 "AA" "" 91.6 142 15.4 "Marc Webb" "ns" NA 1 0 0 3 NA 69 25.58 11.55 NA 3 4 11 36 "51" 76
"79" 79 "The Twilight Saga: Eclipse" "Sum." 698.5 300.5 398 2010 "Romance" "PG-13" 4468 4.9 "Romance" "" 64.8 124 16.3 "David Slade" "ss" 68 1 0 0 0 4.42 65 40.22 8.67 9.1 4 16 1 41 "3" 53
"80" 80 "Mission: Impossible - Ghost Protocol" "Par." 694.7 209.4 485.3 2011 "Action" "PG-13" NA 7.4 "Action" "" NA 132 NA "Brad Bird" "hs" 145 1 230 82 0 1.44 66 27.6 NA 19.11 30 25 39 1 "76" 11
"81" 81 "The Hunger Games" "LGF" 694.4 408 286.4 2012 "AA" "PG-13" 4137 7.3 "AA" "" 152.5 142 24 "Gary Ross" "ns" 78 0 278 73 0 5.23 67 52.98 19.8 10.13 8 21 25 5 "47" 10
