"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"323" 323 "The SpongeBob Movie: Sponge Out of Water" "Par." 323.4 163 160.4 2015 "Animation" "PG" 3680 6 "Animation" "" 55.4 93 16 "Paul Tibbitt" "ns" 74 1 0 0 0 2.2 70 20.26 6.89 9.2 2 10 33 4 "39" 13
"324" 324 "Megamind" "P/DW" 321.9 148.4 173.5 2010 "Animation" "PG" 3949 7.3 "Animation" "" 46 96 16 "Tom McGrath" "ns" 130 0 0 0 0 1.14 65 19.86 6.16 17.4 0 8 9 64 "61" 136
"325" 325 "Lethal Weapon 3" "WB" 321.7 144.7 177 1992 "Action Comedy" "R" 2568 6.7 "Action" "Comedy" NA 118 NA "Richard Donner" "ns" 35 1 43 44 0 4.13 46 27.37 NA 6.62 9 7 32 22 "30" 41
"326" 326 "Robin Hood" "Uni." 321.7 105.3 216.4 2010 "Period Adventure" "PG-13" 3505 6.7 "Period" "Adventure" 36.1 148 12 "Ridley Scott" "ns" 200 0 52 38 0 0.53 65 14.09 4.83 26.77 31 87 36 144 "66" 177
"327" 327 "Inglourious Basterds" "Wein." 321.5 120.5 200.9 2009 "War" "R" 3358 8.3 "War" "" 38.1 152 17 "Quentin Tarantino" "ss" 70 0 299 78 0 1.72 64 16.38 5.18 9.52 120 163 64 18 "136" 23
"328" 328 "Schindler's List" "Uni." 321.3 96.1 225.2 1993 "War Drama" "R" NA 8.9 "War" "Drama" NA 194 NA "Steven Spielberg" "hs" 22 0 85 85 0 4.37 45 18.58 NA 4.25 175 168 15 45 "35" 65
"329" 329 "101 Dalmatians" "BV" 320.7 136.2 184.5 1996 "Family Comedy" "G" NA 7 "Family" "Comedy" NA 103 NA "Dominik Sedlar" "hs" NA 0 0 0 0 NA 51 23.23 NA NA NA NA NA NA " " NA
"330" 330 "Fatal Attraction" "Par." 320.1 156.6 163.5 1987 "Thriller" "R" NA 6.9 "Thriller" "" NA 123 NA "Adrian Lyne" "ns" NA 0 0 0 0 NA 42 32.44 NA NA 4 4 58 49 "36" 91
"331" 331 "The Last Airbender" "Par." 319.7 131.8 187.9 2010 "Fantasy" "PG" 3203 4.2 "Fantasy" "" NA 103 NA "M. Night Shyamalan" "ss" 150 0 0 0 0 0.88 65 17.64 NA 20.08 12 36 0 12 "1" 22
"332" 332 "The Conjuring" "WB (NL)" 318 137.4 180.6 2013 "Horror" "R" 3115 7.5 "Horror" "" 41.9 112 15 "James Wan" "ss" 20 0 199 75 0 6.87 68 17.58 5.36 2.56 10 8 17 2 "68" 16
"333" 333 "The Proposal" "BV" 317.4 164 153.4 2009 "Romantic Comedy" "PG-13" 3158 6.7 "Romantic" "Comedy" 33.6 108 20 "Anne Fletcher" "ss" 40 0 0 0 0 4.1 64 22.29 4.57 5.44 NA NA 72 8 "102" 32
"334" 334 "Beverly Hills Cop" "Par." 316.4 234.8 81.6 1984 "Action Comedy" "R" NA 7.3 "Action" "Comedy" NA 105 NA "Martin Brest" "hs" NA 0 49 1 0 NA 39 52.38 NA NA 3 5 30 0 "67" 1
"335" 335 "Air Force One" "Sony" 315.2 173 142.2 1997 "Action Thriller" "R" 2981 6.4 "Action" "Thriller" NA 124 NA "Wolfgang Petersen" "ss" 85 0 53 67 0 2.04 52 28.94 NA 14.22 10 8 32 24 "36" 44
"336" 336 "Chicken Little" "BV" 314.4 135.4 179 2005 "Animation" "G" 3658 5.8 "Animation" "" 40 81 23 "Mark Dindal" "ns" 150 0 0 0 0 0.9 60 19.63 5.8 21.75 0 3 11 13 "40" 14
"337" 337 "As Good as It Gets" "Sony" 314.2 148.5 165.7 1997 "Romantic Comedy" "PG" NA 7.7 "Romantic" "Comedy" NA 139 NA "James L. Brooks" "hs" NA 0 76 75 0 NA 52 24.85 NA NA 45 73 84 47 "95" 65
"338" 338 "A Beautiful Mind" "Uni." 313.5 170.7 142.8 2001 "Period Drama" "PG-13" 1837 8.2 "Period" "Drama" NA 136 NA "Ron Howard" "hs" 50 0 204 63 0 3.41 56 26.52 NA 7.77 38 65 36 25 "66" 49
"339" 339 "The Good Dinosaur" "BV" 313.3 122 191.3 2015 "Animation" "PG-13" NA 6.9 "Animation" "" NA 100 NA "Peter Sohn" "hs" 58 0 0 0 0 2.1 70 15.16 NA 7.21 14 33 11 54 "24" 50
"340" 340 "Maze Runner: The Scorch Trials" "Fox" 312.3 81.7 230.6 2015 "AA" "PG" NA 6.4 "AA" "" NA 131 NA "Wes Ball" "ns" NA 1 0 0 0 NA 70 10.15 NA NA 2 0 6 NA "3" NA
"341" 341 "Austin Powers: The Spy Who Shagged Me" "NL" 312 206 106 1999 "Comedy" "PG-13" 3792 6.6 "Comedy" "" 30.3 95 18 "Jay Roach" "ss" 61 1 85 39 0 3.38 54 33.19 4.88 9.83 9 5 28 5 "38" 10
"342" 342 "Ocean's Thirteen" "WB" 311.3 117.2 194.2 2007 "Crime Comedy" "PG-13" NA 6.9 "Crime" "Comedy" NA 113 NA "Steven Soderbergh" "ss" 33 0 0 0 0 3.55 62 16.45 NA 4.63 29 74 87 64 "193" 136
"343" 343 "Little Fockers" "Uni." 310.7 148.4 162.2 2010 "Comedy" "PG-13" 3565 5.5 "Comedy" "" 36.1 98 15 "Paul Weitz" "hs" NA 0 0 0 0 NA 65 19.86 4.83 NA 2 9 48 13 "82" 52
"344" 344 "Bolt" "BV" 310 114.1 195.9 2008 "Animation" "PG-13" 3675 6.9 "Animation" "" 30.8 96 12.3 "Byron Howard" "hs" 100 0 177 78 0 1.14 63 15.76 4.25 13.81 1 7 40 21 "49" 47
"345" 345 "Ransom" "BV" 309.5 136.5 173 1996 "Thriller" "PG" 3654 6.6 "Thriller" "" 26.2 121 14 "Ron Howard" "ns" 150 0 69 63 0 0.91 51 23.29 4.47 25.59 38 65 32 4 "30" 28
"346" 346 "Runaway Bride" "Par." 309.5 152.3 157.2 1999 "Romantic Comedy" "R" 2768 5.4 "Romantic" "Comedy" NA 116 NA "Garry Marshall" "ss" NA 0 0 0 0 NA 54 24.54 NA NA 13 14 51 20 "86" 26
"347" 347 "The Blind Side" "WB" 309.2 256 53.2 2009 "Sports Drama" "PG" 3240 7.7 "Sports" "Drama" NA 126 NA "John Lee Hancock" "hs" 70 0 0 0 0 3.66 64 34.8 NA 9.52 3 5 72 3 "102" 13
"348" 348 "The Polar Express" "WB" 307.5 183.4 124.1 2004 "Animation" "PG-13" 3407 6.6 "Animation" "" 34.1 100 28 "Robert Zemeckis" "ns" 29 0 0 0 0 6.32 59 27.04 5.03 4.28 33 33 76 1 "115" 1
"349" 349 "The Fault in our Stars" "Fox" 307.2 124.9 182.3 2014 "Drama" "G" 3650 7.9 "Drama" "" 23.3 125 17.3 "Josh Boone" "ss" 165 0 0 0 0 0.76 69 15.75 2.94 20.8 1 1 31 8 "56" 9
"350" 350 "The Pursuit of Happyness" "Sony" 307.1 163.6 143.5 2006 "Drama" "PG-13" 3340 7.9 "Drama" "" 48 116 18 "Gabriele Muccino" "hs" 12 0 0 0 0 13.63 61 23.33 6.85 1.71 12 23 56 8 "106" 19
"351" 351 "Rise of the Guardians" "P/DW" 306.9 103.4 203.5 2012 "Animation" "PG-13" 3169 7.3 "Animation" "" 26.5 97 13.4 "Peter Ramsey" "hs" 55 0 0 0 0 1.88 67 13.43 3.44 7.14 3 5 6 40 "15" 87
"352" 352 "Chicago" "Mira." 306.8 170.7 136.1 2002 "Musical" "PG" 3672 7.2 "Musical" "" 23.8 107 20.3 "Rob Marshall" "hs" 145 0 244 75 0 1.18 57 26.05 3.63 22.13 14 21 7 NA "19" NA
"353" 353 "The Expendables 2" "LGF" 305.4 85 220.4 2016 "Animation" "PG-13" NA 6.7 "Animation" "" NA 95 NA "Simon West" "ns" 45 1 0 0 0 1.89 0 Inf NA Inf 4 9 55 1 "58" 2
"354" 354 "Wrath of the Titans" "WB" 305.3 83.7 221.6 2012 "Action" "R" 3355 5.8 "Action" "" 28.6 102 14 "Jonathan Liebesman" "ss" 100 0 0 0 0 0.84 67 10.87 3.71 12.99 2 2 6 15 "14" 35
"355" 355 "A Good Day to Die Hard" "Fox" 304.7 67.3 237.3 2012 "Fantasy" "PG-13" 3545 5.3 "Fantasy" "" 33.5 99 13 "John Moore" "ns" 150 0 0 0 0 0.45 67 8.74 4.35 19.48 NA NA 21 0 "37" 2
"356" 356 "Mulan" "BV" 304.3 120.6 183.7 2013 "Action" "R" 3555 7.5 "Action" "" 24.8 97 14.1 "Tony Bancroft" "ns" 92 0 73 75 0 1.31 68 15.43 3.17 11.77 2 0 2 2 "4" 5
"357" 357 "Close Encounters of the Third Kind" "Col." 303.8 132.1 171.7 1998 "Animation" "G" NA 7.7 "Animation" "" NA 88 NA "Steven Spielberg" "ss" NA 0 0 0 0 NA 53 21.68 NA NA 175 168 16 30 "16" 27
"358" 358 "Battleship" "Uni." 303 65.4 237.6 1977 "Sci-Fi" "PG" NA 5.9 "Sci-Fi" "" NA 137 NA "Peter Berg" "ns" 20 0 0 0 0 3.27 32 17.78 NA 5.44 1 15 2 7 "7" 10
"359" 359 "Liar Liar" "Uni." 302.7 181.4 121.3 2012 "Action" "PG-13" 3702 6.8 "Action" "" NA 131 NA "Tom Shadyac" "ns" 209 0 53 70 0 0.87 67 23.55 NA 27.14 1 0 45 2 "88" 9
"360" 360 "G.I. Joe: The Rise of Cobra" "Par." 302.5 150.2 152.3 1997 "Fantasy Comedy" "PG-13" 2909 5.8 "Fantasy" "Comedy" 31.4 86 30 "Stephen Sommers" "ns" NA 1 0 0 0 NA 52 25.13 5.25 NA 1 3 1 7 "8" 8
"361" 361 "Hook" "TriS" 300.9 119.7 181.2 2009 "Action" "PG-13" 4007 6.7 "Action" "" 54.7 118 13 "Steven Spielberg" "ss" 175 0 40 19 0 0.68 64 16.27 7.44 23.79 175 168 58 63 "49" 80
"362" 362 "Rocky IV" "UA" 300.5 127.9 172.6 1991 "Fantasy" "PG" NA 6.7 "Fantasy" "" NA 142 NA "Sylvester Stallone" "hs" 70 0 0 0 0 1.83 48 23.18 NA 12.69 55 58 55 5 "58" 7
"363" 363 "Rambo: First Blood Part II" "TriS" 300.4 150.4 150 1985 "Sports Drama" "PG" NA 6.4 "Sports" "Drama" NA 91 NA "George P. Cosmatos" "hs" NA 1 0 0 0 NA 40 32.71 NA NA 1 2 55 2 "58" 9
"364" 364 "Van Helsing" "Uni." 300.3 120.2 180.1 1985 "Action" "R" NA 6 "Action" "" NA 94 NA "Stephen Sommers" "ss" NA 0 0 0 0 NA 40 26.14 NA NA 1 3 20 5 "71" 21
"365" 365 "Superman" "WB" 300.2 134.2 166 2004 "Period Horror" "PG-13" 3580 7.3 "Period" "Horror" 51.7 130 16 "Richard Donner" "ns" 160 0 258 64 2 0.84 59 19.79 7.62 23.59 9 7 30 31 "32" 37
"366" 366 "Stuart Little" "Sony" 300.1 140 160.1 1978 "AA" "PG" NA 5.9 "AA" "" NA 143 NA "Rob Minkoff" "hs" 55 0 97 54 0 2.55 33 36.91 NA 14.5 1 4 29 8 "55" 22
"367" 367 "Beverly Hills Cop II" "Par." 300 153.7 146.3 1999 "Family Adventure" "PG" 3151 6.4 "Family" "Adventure" NA 84 NA "Tony Scott" "hs" 133 0 49 1 0 1.16 54 24.76 NA 21.43 5 13 30 0 "67" 1
"368" 368 "Kung Fu Panda 3" "Fox" 299.6 121.4 178.2 1987 "Action Comedy" "R" NA 7.8 "Action" "Comedy" NA 103 NA "Alessandro Carloni" "ss" NA 1 0 0 0 NA 42 25.15 NA NA 0 2 8 45 "43" 75
"369" 369 "My Best Friend's Wedding" "Sony" 299.3 127.1 172.2 1997 "Romantic Comedy" "PG-13" NA 6.3 "Romantic" "Comedy" NA 105 NA "P.J. Hogan" "ss" 38 0 56 59 0 3.34 52 21.26 NA 6.36 3 5 51 7 "86" 9
"370" 370 "Real Steel" "BV" 299.3 85.5 213.8 2011 "Action Drama" "PG-13" 3440 7.1 "Action" "Drama" 27.3 127 19 "Shawn Levy" "ns" NA 0 0 0 0 NA 66 11.27 3.6 NA 3 1 20 1 "71" 4
"371" 371 "The Divergent Series: Insurgent" "LG/S" 297.3 130.2 167.1 2015 "AA" "PG-13" 3875 6.3 "AA" "" 52.3 119 16 "Robert Schwentke" "ns" 110 1 0 0 0 1.18 70 16.18 6.5 13.67 3 3 80 0 "144" 2
"372" 372 "Dr. Seuss' Horton Hears a Who!" "Fox" 297.1 154.5 142.6 2008 "Animation" "G" NA 6.9 "Animation" "" NA 88 NA "Jimmy Hayward" "ns" 85 0 131 67 0 1.82 63 21.34 NA 11.74 NA NA 45 32 "88" 115
"373" 373 "Look Who's Talking" "TriS" 297 140.1 156.9 1989 "Family Comedy" "PG-13" NA 5.8 "Family" "Comedy" NA 93 NA "Amy Heckerling" "ns" NA 0 0 0 0 NA 43 28.35 NA NA 3 2 40 6 "49" 33
"374" 374 "Austin Powers in Goldmember" "NL" 296.7 213.3 83.3 2002 "Comedy" "PG-13" NA 6.2 "Comedy" "" NA 94 NA "Jay Roach" "ss" 63 0 0 0 0 3.39 57 32.56 NA 9.62 9 5 28 36 "38" 97
"375" 375 "X-Men" "Fox" 296.3 157.3 139 2000 "AA" "PG-13" 3112 7.4 "AA" "" NA 104 NA "Bryan Singer" "ss" 75 0 166 70 4 2.1 55 24.88 NA 11.86 14 20 20 9 "71" 36
"376" 376 "Resident Evil: Afterlife" "SGem" 296.2 60.1 236.1 2010 "Action Horror" "R" 3209 6.3 "Action" "Horror" 26.7 100 8 "Russell Mulcahy" "ns" 60 1 0 0 0 1 65 8.04 3.57 8.03 1 4 3 NA "16" NA
"377" 377 "Ghostbusters" "Col." 295.2 242.2 53 1984 "Horror Comedy" "PG" 1506 7.8 "Horror" "Comedy" NA 107 NA "Ivan Reitman" "ss" 30 0 0 0 0 8.07 39 54.03 NA 6.69 8 11 49 3 "63" 14
"378" 378 "Shutter Island" "Par." 294.8 128 166.8 2010 "Period Drama" "R" 3356 8.1 "Period" "Drama" 41.1 138 16 "Martin Scorsese" "ns" 80 0 0 0 0 1.6 65 17.13 5.5 10.71 135 185 85 26 "195" 108
"379" 379 "Doctor Dolittle" "Fox" 294.5 144.2 150.3 1998 "Family Comedy" "PG-13" NA 5.3 "Family" "Comedy" NA 85 NA "Betty Thomas" "ss" NA 0 0 0 0 NA 53 23.67 NA NA 8 13 30 11 "67" 15
"380" 380 "Salt" "Sony" 293.5 118.3 175.2 2010 "Action Thriller" "PG-13" 3612 6.4 "Action" "Thriller" 36 99 14 "Phillip Noyce" "ss" 110 0 48 85 0 1.08 65 15.83 4.82 14.72 23 10 47 11 "93" 25
"381" 381 "G-Force" "BV" 292.8 119.4 173.4 2009 "Family Adventure" "PG" 3697 5.1 "Family" "Adventure" 31.7 90 19 "Hoyt Yeatman" "ss" 150 0 0 0 0 0.8 64 16.23 4.31 20.39 2 4 15 5 "25" 20
"382" 382 "What Lies Beneath" "DW" 291.4 155.5 136 2000 "Horror" "PG-13" 2925 6.6 "Horror" "" 29.7 130 28 "Robert Zemeckis" "ss" 100 0 0 0 0 1.55 55 24.6 4.7 15.82 33 33 23 NA "36" NA
"383" 383 "The Departed" "WB" 289.8 132.4 157.5 2006 "Crime Drama" "R" NA 8.5 "Crime" "Drama" NA 150 NA "Martin Scorsese" "ns" 90 0 263 80 0 1.47 61 18.88 NA 12.84 135 185 85 34 "195" 122
"384" 384 "Shakespeare in Love" "Mira." 289.3 100.3 189 1998 "Period Comedy" "R" NA 7.2 "Period" "Comedy" NA 123 NA "John Madden" "hs" 25 0 130 81 0 4.01 53 16.46 NA 4.1 11 18 43 24 "75" 70
"385" 385 "Fantastic Four: Rise of the Silver Surfer" "Fox" 289 131.9 157.1 2007 "AA" "PG" 3963 5.6 "AA" "" 58.1 89 18 "Tim Story" "ss" 130 1 0 0 4 1.01 62 18.51 8.15 18.24 0 6 2 14 "4" 37
"386" 386 "Divergent" "LG/S" 288.9 150.9 137.9 2014 "AA" "PG-13" 3936 6.8 "AA" "" 54.6 143 16 "Neil Burger" "ns" 85 0 0 0 0 1.78 69 19.03 6.88 10.72 2 5 31 3 "56" 4
"387" 387 "Coming to America" "Par." 288.8 128.2 160.6 1988 "Romantic Comedy" "R" NA 6.9 "Romantic" "Comedy" NA 116 NA "John Landis" "ss" NA 0 0 0 0 NA 44 25.35 NA NA 8 14 30 4 "67" 4
"388" 388 "The Bourne Supremacy" "Uni." 288.5 176.2 112.3 2004 "Action Thriller" "PG-13" 3304 7.8 "Action" "Thriller" NA 108 NA "Paul Greengrass" "ss" 75 0 190 70 0 2.35 59 25.98 NA 11.06 34 62 34 8 "122" 7
"389" 389 "Bridesmaids" "Uni." 288.4 169.1 119.3 2011 "Comedy" "R" 2958 6.8 "Comedy" "" 26.2 125 20 "Paul Feig" "ns" 32.5 0 265 79 0 5.2 66 22.29 3.45 4.28 7 10 8 0 "55" 17
"390" 390 "Sex and the City 2" "WB (NL)" 288.3 95.3 193 2010 "Romantic Comedy" "R" 3445 4.3 "Romantic" "Comedy" 31 147 12.1 "Michael Patrick King" "ss" 100 1 0 0 0 0.95 65 12.76 4.15 13.38 6 22 28 5 "43" 10
"391" 391 "Casper" "Uni." 287.9 100.3 187.6 1995 "Family Comedy" "PG" NA 6 "Family" "Comedy" NA 101 NA "Brad Silberling" "ss" NA 0 0 0 0 NA 50 17.45 NA NA 0 4 1 NA "0" NA
"392" 392 "Bee Movie" "P/DW" 287.6 126.6 161 2007 "Animation" "PG" NA 6.2 "Animation" "" NA 90 NA "Steve Hickner" "ns" 150 0 0 0 0 0.84 62 17.76 NA 21.05 1 2 14 25 "38" 71
"393" 393 "American Pie 2" "Uni." 287.6 145.1 142.5 2001 "Comedy" "R" 3157 6.4 "Comedy" "" 45.1 104 19 "J.B. Rogers" "ss" 30 1 0 0 0 4.84 56 22.54 7.01 4.66 0 6 4 3 "15" 4
"394" 394 "Pitch Perfect 2" "Uni." 287.5 184.3 103.2 2015 "Comedy" "PG-13" 3660 6.5 "Comedy" "" NA 115 NA "Elizabeth Banks" "ns" 29 1 0 0 0 6.36 70 22.91 NA 3.6 11 32 13 5 "57" 14
"395" 395 "The Green Mile" "WB" 286.8 136.8 150 1999 "Period Drama" "R" 2875 8.5 "Period" "Drama" NA 188 NA "Frank Darabont" "hs" 60 0 132 69 0 2.28 54 22.04 NA 9.67 12 24 76 5 "115" 13
"396" 396 "Oblivion" "Uni." 286.2 89.1 197.1 2013 "Sci-Fi Adventure" "PG-13" 3792 7 "Sci-Fi" "Adventure" 37.1 125 10 "Joseph Kosinski" "ns" 120 0 0 0 0 0.74 68 11.4 4.75 15.35 NA NA 39 56 "76" 69
"397" 397 "Elysium" "TriS" 286.1 93.1 193.1 2013 "Sci-Fi" "R" 3284 6.6 "Sci-Fi" "" 29.8 109 15.4 "Neill Blomkamp" "ss" 115 0 0 0 0 0.81 68 11.91 3.81 14.71 11 32 34 54 "122" 43
"398" 398 "Lethal Weapon 4" "WB" 285.4 130.4 155 1998 "Action Comedy" "R" 3117 6.6 "Action" "Comedy" NA 127 NA "Richard Donner" "ss" 140 1 66 40 0 0.93 53 21.41 NA 22.98 9 7 32 22 "30" 41
"399" 399 "Wedding Crashers" "NL" 285.2 209.3 75.9 2005 "Comedy" "R" 3131 7 "Comedy" "" 33.9 113 23.3 "David Dobkin" "ss" 40 0 182 63 0 5.23 60 30.35 4.92 5.8 1 1 14 7 "45" 12
"400" 400 "John Carter" "BV" 284.1 73.1 211.1 2012 "Sci-Fi Adventure" "PG-13" 3749 6.6 "Sci-Fi" "Adventure" 30.2 132 16 "Andrew Stanton" "ns" 250 0 0 0 0 0.29 67 9.49 3.92 32.46 32 50 2 0 "7" 2
"401" 401 "Turbo" "Fox" 282.6 83 199.5 2013 "Animation" "PG" 3809 6.5 "Animation" "" 21.3 96 21.3 "David Soren" "ss" 135 0 0 0 0 0.61 68 10.62 2.73 17.27 0 2 8 45 "32" 58
"402" 402 "Bridget Jones's Diary" "Mira." 281.9 71.5 210.4 2001 "Romantic Comedy" "R" 2547 6.7 "Romantic" "Comedy" NA 97 NA "Sharon Maguire" "ns" 25 0 154 70 0 2.86 56 11.11 NA 3.88 0 4 25 3 "71" 6
"403" 403 "The Tourist" "Sony" 278.3 67.6 210.7 2010 "Romantic Thriller" "PG-13" 2756 6 "Romantic" "Thriller" NA 103 NA "Florian Henckel von Donnersmarck" "hs" 100 0 0 0 0 0.68 65 9.05 NA 13.38 55 7 65 47 "115" 93
"404" 404 "Scary Movie" "Mira." 278 157 121 2000 "Horror Comedy" "R" 3301 7.2 "Horror" "Comedy" NA 88 NA "Wes Craven" "ss" 19 0 0 0 0 8.26 55 24.83 NA 3.01 10 4 32 0 "57" 2
"405" 405 "XXX" "SonR" 277.4 142.1 135.3 2002 "Action" "PG-13" 3536 5.8 "Action" "" 44.5 113 21.4 "Rob Cohen" "ss" 70 0 0 0 0 2.03 57 21.69 6.79 10.68 3 1 7 14 "26" 13
"406" 406 "The Bourne Legacy" "Uni." 276.1 113.2 162.9 2012 "Action" "PG-13" 3753 6.7 "Action" "" 38.1 135 13 "Tony Gilroy" "ss" 125 0 0 0 0 0.91 67 14.7 4.95 16.23 4 36 30 0 "53" 1
"407" 407 "Mr. Peabody & Sherman" "Fox" 275.7 111.5 164.2 2014 "Animation" "PG" NA 6.9 "Animation" "" NA 90 NA "Rob Minkoff" "ns" 145 0 0 0 0 0.77 69 14.06 NA 18.28 1 4 17 2 "33" 5
"408" 408 "Scooby-Doo" "WB" 275.7 153.3 122.4 2002 "Family Adventure" "PG" 3447 4.9 "Family" "Adventure" 54.2 86 20 "Raja Gosnell" "ss" 84 0 0 0 0 1.83 57 23.4 8.27 12.82 NA NA 8 17 "12" 29
"409" 409 "Lincoln" "BV" 275.3 182.2 93.1 2012 "Historical Drama" "PG-13" NA 7.4 "Historical" "Drama" NA 145 NA "Steven Spielberg" "ns" 65 0 166 72 0 2.8 67 23.66 NA 8.44 175 168 136 43 "63" 70
"410" 410 "Spirited Away" "BV" 274.9 10.1 264.9 2002 "Animation" "PG" NA 8.6 "Animation" "" NA 124 NA "Hayao Miyazaki" "ns" NA 0 179 86 0 NA 57 1.54 NA NA 73 33 1 NA "0" NA
"411" 411 "Lara Croft: Tomb Raider" "Par." 274.7 131.2 143.5 2001 "AA" "PG-13" NA 5.7 "AA" "" NA 100 NA "Simon West" "ss" 115 1 0 0 0 1.14 56 20.38 NA 17.87 4 9 47 24 "93" 30
"412" 412 "The Expendables" "LGF" 274.5 103.1 171.4 2010 "Action" "R" 3398 6.5 "Action" "" 34.8 103 10 "Sylvester Stallone" "ss" 80 0 0 0 0 1.29 65 13.8 4.66 10.71 55 58 55 1 "58" 2
"413" 413 "Cloudy with a Chance of Meatballs 2" "Sony" 274.3 119.8 154.5 2013 "Animation" "PG" 4001 6.5 "Animation" "" 34 95 24.4 "Cody Cameron" "ns" 78 1 0 0 0 1.54 68 15.33 4.35 9.98 0 2 3 1 "15" 18
"414" 414 "The Nutty Professor" "Uni." 274 128.8 145.1 1996 "Comedy" "PG-13" NA 5.6 "Comedy" "" NA 103 NA "Tom Shadyac" "ss" 54 0 55 52 0 2.39 51 21.97 NA 9.21 1 0 30 5 "67" 22
"415" 415 "Jerry Maguire" "Sony" 273.6 154 119.6 1996 "Comedy / Drama" "R" NA 7.3 "Comedy" "Drama" NA 138 NA "Cameron Crowe" "hs" 50 0 59 74 0 3.08 51 26.27 NA 8.53 20 42 39 17 "76" 34
"416" 416 "Bad Boys II" "Sony" 273.3 138.6 134.7 2003 "Action Comedy" "R" 3202 6.6 "Action" "Comedy" 46.5 147 18 "Michael Bay" "ss" 130 0 0 0 0 1.07 58 20.79 6.97 19.5 7 10 5 56 "11" 106
"417" 417 "Lilo & Stitch" "BV" 273.1 145.8 127.3 2002 "Animation" "PG" NA 7.2 "Animation" "" NA 85 NA "Dean DeBlois" "ss" 80 0 145 75 0 1.82 57 22.25 NA 12.21 7 22 3 7 "3" 21
"418" 418 "The Silence of the Lambs" "Orion" 272.7 130.7 142 1991 "Thriller" "R" NA 8.6 "Thriller" "" NA 118 NA "Jonathan Demme" "ns" 19 0 73 84 0 6.88 48 23.69 NA 3.44 26 28 54 NA "43" NA
"419" 419 "Grown Ups" "Sony" 271.4 162 109.4 2010 "Comedy" "PG-13" 3534 6 "Comedy" "" 40.5 102 18 "Dennis Dugan" "ss" 80 0 0 0 0 2.02 65 21.68 5.42 10.71 1 4 50 1 "68" 13
"420" 420 "Neighbors" "Uni." 270.7 150.2 120.5 2014 "Comedy" "R" 3311 6.4 "Comedy" "" NA 96 NA "Nicholas Stoller" "ns" 18 0 57 65 0 8.34 69 18.94 NA 2.27 1 7 11 12 "26" 23
"421" 421 "The Firm" "Par." 270.2 158.3 111.9 1993 "Thriller" "R" NA 6.8 "Thriller" "" NA 154 NA "Sydney Pollack" "ss" NA 0 52 63 0 NA 45 30.6 NA NA 26 39 39 0 "76" 7
"422" 422 "We're the Millers" "WB (NL)" 270 150.4 119.6 2013 "Comedy" "R" 3445 7 "Comedy" "" 26.4 110 17.3 "Rawson Marshall Thurber" "ss" 37 0 0 0 0 4.06 68 19.24 3.38 4.73 0 1 33 0 "73" 5
"423" 423 "Gran Torino" "WB" 270 148.1 121.9 2008 "Action Drama" "R" NA 8.2 "Action" "Drama" NA 116 NA "Clint Eastwood" "hs" 33 0 224 67 0 4.49 63 20.45 NA 4.56 143 148 143 NA "148" NA
"424" 424 "10000 B.C." "WB" 269.8 94.8 175 2008 "Period Adventure" "PG-13" 3454 5.1 "Period" "Adventure" 35.9 109 15 "Roland Emmerich" "ns" 105 0 0 0 0 0.9 63 13.09 4.96 14.5 13 14 0 0 "1" 5
"425" 425 "Epic" "Fox" 268.4 107.5 160.9 2013 "Animation" "PG" 3894 6.7 "Animation" "" 33.5 102 17 "Chris Wedge" "ss" 100 0 110 81 0 1.07 68 13.75 4.29 12.79 6 6 0 0 "1" 11
"426" 426 "Exodus: Gods and Kings" "Fox" 268.2 65 203.2 2014 "Drama" "PG-13" 3503 6.1 "Drama" "" 24.1 150 11 "Ridley Scott" "hs" 140 1 0 0 0 0.46 69 8.2 3.04 17.65 31 87 64 12 "76" 25
"427" 427 "Bambi" "RKO" 267.4 102.2 165.2 1942 "Animation" "G" NA 7.4 "Animation" "" NA 69 NA "James Algar" "ss" NA 0 0 0 0 NA 5 177.83 NA NA 10 3 NA NA " " NA
"428" 428 "The Princess and the Frog" "BV" 267 104.4 162.6 2009 "Animation" "G" NA 7.2 "Animation" "" NA 95 NA "Ron Clements" "hs" 105 0 185 73 0 0.99 64 14.19 NA 14.27 7 8 5 1 "19" 1
"429" 429 "Batman Returns" "WB" 266.8 162.8 104 1992 "AA" "PG-13" 2644 7 "AA" "" 45.7 126 18 "Tim Burton" "ss" 80 0 70 69 2 2.04 46 30.79 8.64 15.13 20 58 58 11 "36" 39
"430" 430 "Something's Gotta Give" "Sony" 266.7 124.7 142 2003 "Romantic Comedy" "PG-13" 2876 6.7 "Romantic" "Comedy" 16.1 128 18 "Nancy Meyers" "hs" 80 0 0 0 0 1.56 58 18.7 2.42 12 6 5 84 30 "95" 50
"431" 431 "Indecent Proposal" "Par." 266.6 106.6 160 1993 "Romance" "R" NA 5.8 "Romance" "" NA 116 NA "Adrian Lyne" "ns" NA 0 0 0 0 NA 45 20.61 NA NA 4 4 34 12 "47" 28
