rank	reviewnum	title	tomato_rating
19.	52	Anastasia (1997)	85%
20.	48	Rosewood (1997)	85%
21.	61	The Ice Storm (1997)	84%
22.	52	Hercules (1997)	83%
23.	74	Scream 2 (1997)	81%
24.	86	Life Is Beautiful (La Vita ¨¨ bella) (1997)	80%
25.	55	Gattaca (1997)	82%
26.	45	The Rainmaker (1997)	82%
27.	69	The Boxer (1997)	80%
28.	53	Liar Liar (1997)	81%
29.	67	Grosse Pointe Blank (1997)	79%
30.	50	Breakdown (1997)	80%
31.	49	Private Parts (1997)	80%
32.	41	Soul Food (1997)	80%
33.	53	Air Force One (1997)	79%
34.	59	The Butcher Boy (1997)	78%
35.	62	Amistad (1997)	76%
36.	58	Kundun (1997)	76%
37.	61	Cop Land (1997)	72%
38.	53	The Game (1997)	72%
39.	50	In & Out (1997)	72%
40.	59	The Fifth Element (1997)	71%
41.	56	My Best Friend's Wedding (1997)	71%
42.	60	Austin Powers: International Man of Mystery (1997)	70%
43.	53	Romy and Michele's High School Reunion (1997)	70%
44.	47	The Devil's Advocate (1997)	66%
45.	41	She's So Lovely (1997)	66%
46.	47	Zero Effect (1997)	64%
47.	59	Starship Troopers (1997)	63%
48.	63	Contact (1997)	62%
49.	47	The Edge (1997)	60%
50.	43	Dream with the Fishes (1997)	60%
51.	42	Lost Highway (1997)	60%
52.	82	Tomorrow Never Dies (1997)	57%
53.	40	The Gingerbread Man (1997)	60%
54.	49	U-Turn (1997)	59%
55.	49	Another Day in Paradise (1997)	57%
56.	52	George of the Jungle (1997)	56%
57.	71	Alien Resurrection (1997)	54%
58.	63	Con Air (1997)	54%
59.	68	The Lost World - Jurassic Park (1997)	51%
60.	42	Conspiracy Theory (1997)	52%
61.	42	Picture Perfect (1997)	48%
62.	44	Blues Brothers 2000 (1997)	45%
63.	42	Absolute Power (1997)	45%
64.	57	Fallen (1997)	40%
65.	48	Anaconda (1997)	38%
66.	42	I Know What You Did Last Summer (1997)	36%
67.	44	The Saint (1997)	30%
68.	41	Hard Rain (1997)	29%
69.	59	Fathers' Day (1997)	25%
70.	48	A Thousand Acres (1997)	23%
71.	41	Jungle 2 Jungle (1997)	20%
72.	42	Spawn (1997)	19%
73.	42	Jingle All the Way (1997)	17%
74.	85	Batman & Robin (1997)	11%
75.	68	Speed 2 - Cruise Control (1997)	3%
1.	125	The Truman Show (1998)	94%
2.	89	Antz (1998)	96%
3.	130	Saving Private Ryan (1998)	92%
4.	130	Shakespeare in Love (1998)	92%
5.	62	Gods and Monsters (1998)	95%
6.	88	Out of Sight (1998)	93%
7.	86	A Bug's Life (1998)	92%
8.	49	Central Station (Central do Brasil) (1998)	94%
9.	43	The Dreamlife of Angels (1998)	93%
10.	102	Rushmore (1998)	89%
11.	64	Ever After: A Cinderella Story (1998)	91%
12.	67	A Simple Plan (1998)	90%
13.	45	Cure (1998)	91%
14.	45	The Apostle (1998)	91%
15.	61	One True Thing (1998)	89%
16.	73	Mulan (1998)	86%
17.	55	Pi (1998)	87%
18.	94	Pleasantville (1998)	84%
19.	57	Hilary and Jackie (1998)	86%
20.	50	The Parent Trap (1998)	86%
21.	83	There's Something About Mary (1998)	83%
22.	82	American History X (1998)	83%
23.	46	Happiness (1998)	85%
24.	69	The Mask of Zorro (1998)	83%
25.	49	Last Night (1998)	84%
26.	59	Waking Ned Devine (1998)	83%
27.	60	Elizabeth (1998)	82%
28.	87	The Big Lebowski (1998)	80%
29.	91	The Thin Red Line (1998)	79%
30.	75	Primary Colors (1998)	80%
31.	85	The Prince of Egypt (1998)	79%
32.	48	The General (1998)	81%
33.	61	He Got Game (1998)	80%
34.	60	Slums of Beverly Hills (1998)	80%
35.	41	The Opposite of Sex (1998)	80%
36.	40	Live Flesh (Carne tr¨¦mula) (1998)	80%
37.	67	Beloved (1998)	78%
38.	48	Little Voice (1998)	79%
39.	57	Your Friends & Neighbors (1998)	77%
40.	41	Buffalo '66 (1998)	78%
41.	81	Dark City (1998)	74%
42.	65	Bulworth (1998)	75%
43.	56	The Negotiator (1998)	75%
44.	40	The Mighty (1998)	75%
45.	43	Les Miserables (1998)	74%
46.	43	Next Stop Wonderland (1998)	74%
