rank	reviewnum	title	tomato_rating
32.	125	The Hunt (2013)	94%
33.	124	Room 237 (2013)	94%
34.	148	The Spectacular Now (2013)	93%
35.	172	Philomena (2013)	92%
36.	72	Cutie And The Boxer (2013)	96%
37.	94	Behind the Candelabra (2013)	95%
38.	136	Le pass¨¦ (The Past) (2013)	93%
39.	110	Lore (2013)	94%
40.	103	Blancanieves (2013)	94%
41.	50	I Am Divine (2013)	96%
42.	216	Frozen (2013)	89%
43.	46	The Crash Reel (2013)	96%
44.	118	No (2013)	93%
45.	210	Rush (2013)	89%
46.	61	War Witch (2013)	95%
47.	250	Star Trek Into Darkness (2013)	87%
48.	201	The World's End (2013)	89%
49.	103	The Gatekeepers (2013)	93%
50.	163	Blue Is The Warmest Color (2013)	90%
51.	113	In a World... (2013)	92%
52.	63	Museum Hours (2013)	94%
53.	131	The Sapphires (2013)	91%
54.	53	After Tiller (2013)	94%
55.	48	A Band Called Death (2013)	94%
56.	48	Drug War (2013)	94%
57.	72	A Touch of Sin (2013)	93%
58.	113	The Great Beauty (2013)	91%
59.	58	Still Mine (2013)	93%
60.	76	We Steal Secrets: The Story Of Wikileaks (2013)	92%
61.	41	Our Children (2013)	93%
62.	40	Mother Of George (2013)	93%
63.	64	Gimme The Loot (2013)	92%
64.	199	The Conjuring (2013)	86%
65.	90	Beyond The Hills (2013)	90%
66.	46	Caesar Must Die (2013)	91%
67.	62	Inequality For All (2013)	90%
68.	62	A Place at the Table (2013)	90%
69.	81	In the House (2013)	89%
70.	170	The Way Way Back (2013)	85%
71.	94	The Angels' Share (2013)	88%
72.	210	This Is the End (2013)	83%
73.	101	What Maisie Knew (2013)	87%
74.	197	Side Effects (2013)	83%
75.	45	My Brother The Devil (2013)	89%
76.	68	Fill the Void (2013)	88%
77.	284	Iron Man 3 (2013)	79%
78.	66	Hannah Arendt (2013)	88%
79.	227	Prisoners (2013)	81%
80.	153	Much Ado About Nothing (2013)	84%
81.	52	The Punk Singer (2013)	88%
82.	135	Upstream Color (2013)	84%
83.	54	The Attack (2013)	87%
84.	74	Computer Chess (2013)	86%
85.	96	Sightseers (2013)	85%
86.	46	Happy People: A Year in the Taiga (2013)	87%
87.	185	Warm Bodies (2013)	81%
88.	112	The Armstrong Lie (2013)	84%
89.	232	Saving Mr. Banks (2013)	79%
90.	82	We Are What We Are (2013)	85%
91.	57	The Patience Stone (2013)	86%
92.	197	The Place Beyond The Pines (2013)	80%
93.	49	At Berkeley (2013)	86%
94.	71	Kon Tiki (2013)	85%
95.	43	Yossi (2013)	86%
96.	67	Dirty Wars (2013)	85%
97.	91	Berberian Sound Studio (2013)	84%
98.	110	Drinking Buddies (2013)	83%
99.	179	Don Jon (2013)	80%
100.	248	The Wolf of Wall Street (2013)	77%
1.	267	Boyhood (2014)	98%
2.	180	Mr. Turner (2014)	98%
3.	177	The Babadook (2014)	98%
4.	222	The LEGO Movie (2014)	96%
5.	186	Life Itself (2014)	97%
6.	254	Whiplash (2014)	94%
7.	226	Nightcrawler (2014)	95%
8.	124	Gloria (2014)	99%
9.	124	Leviathan (2014)	99%
10.	204	Snowpiercer (2014)	95%
11.	156	"Two Days, One Night (2014)"	97%
12.	131	Citizenfour (2014)	98%
13.	82	The Tale of the Princess Kaguya (2014)	100%
14.	101	Starred Up (2014)	99%
15.	258	The Grand Budapest Hotel (2014)	92%
16.	277	Birdman (2014)	91%
17.	110	Jodorowsky's Dune (2014)	98%
18.	275	Guardians of the Galaxy (2014)	91%
19.	274	X-Men: Days of Future Past (2014)	91%
20.	81	The Missing Picture (2014)	99%
21.	77	Song Of The Sea (2014)	99%
22.	118	We Are the Best! (2014)	97%
23.	141	Ida (2014)	96%
24.	279	Live Die Repeat: Edge of Tomorrow (2014)	90%
25.	134	Blue Ruin (2014)	96%
26.	268	Dawn Of The Planet Of The Apes (2014)	90%
27.	65	The Overnighters (2014)	98%
28.	64	Elaine Stritch: Shoot Me (2014)	98%
29.	156	Love Is Strange (2014)	94%
30.	76	Ernest & C¨¦lestine (2014)	97%
31.	288	Gone Girl (2014)	88%
32.	94	The Lunchbox (2014)	96%
33.	235	The Imitation Game (2014)	90%
34.	43	A Summer's Tale (2014)	98%
35.	254	Captain America: The Winter Soldier (2014)	89%
36.	230	Wild (2014)	90%
37.	107	A Girl Walks Home Alone at Night (2014)	95%
38.	191	Locke (2014)	91%
39.	91	Finding Vivian Maier (2014)	95%
40.	81	"20,000 Days on Earth (2014)"	95%
41.	55	The Rocket (2014)	96%
42.	148	Frank (2014)	92%
43.	46	Particle Fever (2014)	96%
44.	161	How to Train Your Dragon 2 (2014)	91%
45.	132	Force Majeure (2014)	92%
46.	59	Last Days in Vietnam (2014)	95%
47.	59	National Gallery (2014)	95%
48.	56	The Dance of Reality (2014)	95%
49.	127	Pride (2014)	92%
50.	217	Foxcatcher (2014)	88%
51.	193	Big Hero 6 (2014)	89%
52.	44	Manakamana (2014)	95%
53.	44	The Last of the Unjust (2014)	95%
54.	183	The Drop (2014)	89%
55.	87	Stranger by the Lake (2014)	93%
56.	75	Child's Pose (2014)	93%
57.	48	The Normal Heart (2014)	94%
58.	47	In Bloom (2014)	94%
59.	113	Dear White People (2014)	91%
60.	159	The Wind Rises (2014)	89%
61.	181	A Most Wanted Man (2014)	88%
62.	57	The Internet's Own Boy: The Story of Aaron Swartz (2014)	93%
63.	147	Calvary (2014)	89%
64.	146	Obvious Child (2014)	89%
65.	142	Le Week-End (2014)	89%
66.	45	Diplomacy (2014)	93%
67.	81	Omar (2014)	91%
68.	98	The Guest (2014)	90%
69.	113	Tim's Vermeer (2014)	89%
70.	207	Under the Skin (2014)	85%
71.	58	Mistaken for Strangers (2014)	91%
72.	104	Venus in Fur (2014)	89%
73.	196	22 Jump Street (2014)	85%
74.	170	Chef (2014)	86%
75.	166	Only Lovers Left Alive (2014)	86%
76.	142	The Skeleton Twins (2014)	87%
77.	165	Top Five (2014)	86%
78.	46	Art and Craft (2014)	91%
79.	46	To Be Takei (2014)	91%
80.	46	12 O'clock Boys (2014)	91%
81.	185	John Wick (2014)	85%
82.	89	Cheap Thrills (2014)	89%
83.	105	The Immigrant (2014)	88%
84.	52	The Dog (2014)	90%
85.	72	Winter Sleep (2014)	89%
86.	40	The Kill Team (2014)	90%
87.	133	Night Moves (2014)	86%
88.	83	The Good Lie (2014)	88%
89.	56	Bears (2014)	89%
90.	124	Joe (2014)	86%
91.	75	Coherence (2014)	88%
92.	98	Alan Partridge (2014)	87%
93.	46	Wetlands (2014)	89%
94.	90	"Like Father, Like Son (2014)"	87%
95.	104	Cold in July (2014)	86%
96.	67	Adieu au langage (Goodbye to Language) (2014)	87%
97.	62	A Field in England (2014)	87%
98.	60	The Blue Room (2014)	87%
99.	107	The Trip To Italy (2014)	85%
100.	144	Begin Again (2014)	83%
1.	343	Mad Max: Fury Road (2015)	97%
2.	304	Inside Out (2015)	98%
3.	220	Selma (2015)	99%
4.	273	Spotlight (2015)	96%
5.	221	Brooklyn (2015)	97%
6.	342	Star Wars: Episode VII - The Force Awakens (2015)	92%
7.	204	It Follows (2015)	97%
8.	148	Shaun the Sheep Movie (2015)	99%
9.	293	The Martian (2015)	92%
10.	239	Room (2015)	94%
11.	239	Creed (2015)	94%
12.	263	Mission: Impossible Rogue Nation (2015)	93%
13.	133	Paddington (2015)	98%
14.	107	Timbuktu (2015)	99%
15.	155	45 Years (2015)	97%
16.	67	GETT: The Trial of Viviane Amsalem (2015)	100%
17.	218	Spy (2015)	94%
18.	161	Son of Saul (2015)	96%
19.	58	Seymour: An Introduction (2015)	100%
20.	104	Phoenix (2015)	98%
21.	229	Carol (2015)	93%
22.	176	Amy (2015)	95%
23.	148	What We Do In The Shadows (2015)	96%
24.	250	Bridge of Spies (2015)	92%
25.	120	Tangerine (2015)	97%
26.	68	About Elly (2015)	99%
27.	220	Sicario (2015)	93%
28.	115	The Look of Silence (2015)	97%
29.	85	Kurt Cobain: Montage Of Heck (2015)	98%
30.	85	Iris (2015)	98%
31.	124	'71 (2015)	96%
32.	223	Ex Machina (2015)	92%
33.	92	Red Army (2015)	97%
34.	88	Listen To Me Marlon (2015)	97%
35.	214	Anomalisa (2015)	92%
36.	134	Wild Tales (2015)	95%
37.	129	The Diary Of A Teenage Girl (2015)	95%
38.	51	Heart of a Dog (2015)	98%
39.	50	Appropriate Behavior (2015)	98%
40.	42	Finders Keepers (2015)	98%
41.	84	Mustang (2015)	96%
42.	58	Theeb (2015)	97%
43.	154	The Gift (2015)	93%
44.	75	Jafar Panahi's Taxi (2015)	96%
45.	72	The Second Mother (Que Horas Ela Volta?) (2015)	96%
46.	68	Girlhood (2015)	96%
47.	84	Hitchcock/Truffaut (2015)	95%
48.	80	The Salt of the Earth (2015)	95%
49.	104	Best Of Enemies (2015)	94%
50.	256	The Big Short (2015)	88%
51.	49	Boy and the World (O Menino e o Mundo) (2015)	96%
52.	47	Black Souls (2015)	96%
53.	142	Grandma (2015)	92%
54.	57	The Wonders (2015)	95%
55.	57	The Forbidden Room (2015)	95%
56.	82	Going Clear: Scientology and the Prison of Belief (2015)	94%
57.	133	99 Homes (2015)	92%
58.	178	Love & Mercy (2015)	90%
59.	196	A Most Violent Year (2015)	89%
60.	118	The Lady In The Van (2015)	92%
61.	118	Slow West (2015)	92%
62.	41	We Are Still Here (2015)	95%
63.	64	The Wrecking Crew (2015)	94%
64.	86	The Duke Of Burgundy (2015)	93%
65.	134	The End Of The Tour (2015)	91%
66.	80	I'll See You in My Dreams (2015)	93%
67.	52	Monkey Kingdom (2015)	94%
68.	47	G¨¹eros (2015)	94%
69.	200	Straight Outta Compton (2015)	88%
70.	71	The Hunting Ground (2015)	93%
71.	114	Beasts of No Nation (2015)	91%
72.	56	The Black Panthers: Vanguard Of The Revolution (2015)	93%
73.	255	Steve Jobs (2015)	85%
74.	44	Breathe (2015)	93%
75.	145	Clouds of Sils Maria (2015)	89%
76.	166	Still Alice (2015)	88%
77.	63	James White (2015)	92%
78.	63	Coming Home (2015)	92%
79.	59	Queen of Earth (2015)	92%
80.	101	Mississippi Grind (2015)	90%
81.	226	Trainwreck (2015)	85%
82.	221	The Walk (2015)	85%
83.	296	The Revenant (2015)	82%
84.	113	Mommy (2015)	89%
85.	135	Dope (2015)	88%
86.	157	Mr. Holmes (2015)	87%
87.	54	Sunshine Superman (2015)	91%
88.	155	The Peanuts Movie (2015)	87%
89.	47	Janis: Little Girl Blue (2015)	91%
90.	70	When Marnie Was There (2015)	90%
91.	120	"Kumiko, the Treasure Hunter (2015)"	88%
92.	92	Cartel Land (2015)	89%
93.	160	Far From the Madding Crowd (2015)	86%
94.	107	The Tribe (2015)	88%
95.	206	Cinderella (2015)	84%
96.	48	Spring (2015)	90%
97.	73	Bone Tomahawk (2015)	89%
98.	70	Meru (2015)	89%
99.	95	White God (2015)	88%
100.	41	Amour Fou (2015)	90%
