Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
197,197,The Matrix Revolutions,WB,427.3,139.3,288.0,2003,"November 5, 2003",Sci-Fi Action, 2 hrs. 15 min.,R,150 ,48475154,Andy & Lana Wachowski,Andy & Lana Wachowski,Joel Silver,3502,6.7
198,198,The Intouchables (U.S.-only),Wein.,426.6,10.2,416.4,2012,"May 25, 2012",Foreign, 1 hrs. 52 min.,R,,103507,,,,,5.8
199,199,Django Unchained,Wein.,425.4,162.8,262.6,2012,"December 25, 2012",Western, 2 hrs. 45 min.,R,100 ,30122888,143 days / 20.4 weeks,Quentin Tarantino,Jamie FoxxChristoph WaltzLeonardo DiCaprioKerry WashingtonSamuel L. JacksonDon JohnsonDennis ChristopherWalton Goggins*James Remar*Jonah Hill*,3012,8.5
200,200,Beauty and the Beast,BV,425.0,219,206.0,1991^,"November 15, 1991",Animation, 1 hrs. 24 min.,G,25 ,"November 15 1991 (limited)
 November 22 1991 (wide)",,,,,8.0
201,201,Dances with Wolves,Orion,424.2,184.2,240.0,1990,"November 9, 1990",Western, 3 hrs. 3 min.,PG-13,22 ,"November 9 1990 (limited)
 November 23 1990 (wide)",,,,,8.0
202,202,The Chronicles of Narnia: Prince Caspian,BV,419.7,141.6,278.0,2008,"May 16, 2008",Fantasy, 2 hrs. 20 min.,PG,225 ,55034805,112 days / 16 weeks,Andrew Adamson,Warwick DavisPeter DinklageBen BarnesGeorgie HenleySkandar KeynesWilliam MoseleyLiam Neeson* (Voice),3929,6.6
203,203,The Mummy,Uni.,415.9,155.4,260.5,1999,"May 7, 1999",Period Adventure, 2 hrs. 4 min.,PG-13,80 ,43369635,,,,,7.0
204,204,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,415.7,104.4,311.3,2010,"December 10, 2010",Fantasy, 1 hrs. 52 min.,PG,155 ,24005069,126 days / 18 weeks,Michael Apted,Ben BarnesTilda Swinton*Liam Neeson* (Voice)Simon Pegg* (Voice),3555,6.3
205,205,Sex and the City,WB (NL),415.3,152.6,262.6,2008,"May 30, 2008",Romantic Comedy, 2 hrs. 15 min.,R,65 ,57038404,112 days / 16 weeks,Michael Patrick King,Sarah Jessica ParkerKim CattrallKristin DavisCynthia NixonChris NothJennifer Hudson,3325,6.9
206,206,The Wolverine,Fox,414.8,132.6,282.3,2013,"July 26, 2013",Action, 2 hrs. 6 min.,PG-13,120 ,53113752,133 days / 19 weeks,James Mangold,Hugh JackmanFamke Janssen*,3924,6.7
207,207,Kingsman: The Secret Service,Fox,414.4,128.3,286.1,2015,"February 13, 2015",Action / Adventure, 2 hrs. 9 min.,R,81 ,36206331,147 days / 21 weeks,Matthew Vaughn,Sofia BoutellaColin FirthSamuel L. JacksonMichael CaineTaron EgertonMark StrongSophie CooksonMark Hamill,3282,7.8
208,208,The King's Speech,Wein.,414.2,138.8,275.4,2010^,"November 26, 2010",Historical Drama, 1 hrs. 58 min.,R,15 ,"November 26 2010 (limited)
 December 25 2010 (wide)",,,,,8.0
209,209,Night at the Museum: Battle of the Smithsonian,Fox,413.1,177.2,235.9,2009,"May 22, 2009",Family Adventure, 1 hrs. 45 min.,PG,150 ,54173286,168 days / 24 weeks,Shawn Levy,Ben StillerAmy AdamsOwen WilsonHank AzariaRobin WilliamsChristopher GuestSteve CooganRicky GervaisBill HaderJonah HillJay Baruchel*Mindy Kaling*,4101,5.9
210,210,Batman,WB,411.3,251.2,160.2,1989,"June 23, 1989",Action / Adventure, 2 hrs. 6 min.,PG-13,35 ,40489746,175 days / 25 weeks,Tim Burton,Jon Peters,2201,7.6
211,211,The Bodyguard,WB,411.0,122,289.0,1992^,"November 25, 1992",Romance, 2 hrs. 10 min.,R,,16611793,Kevin CostnerWhitney Houston,Kevin CostnerLawrence KasdanJim Wilson,Alan Silvestri,1806,6.1
212,212,Pacific Rim,WB,411.0,101.8,309.2,2013,"July 12, 2013",Sci-Fi Action, 2 hrs. 11 min.,PG-13,190 ,37285325,98 days / 14 weeks,Guillermo del Toro,Charlie HunnamRinko KikuchiIdris ElbaCharlie DayRon Perlman,3285,7.0
213,213,Signs,BV,408.2,228,180.3,2002,"August 2, 2002",Sci-Fi Horror, 1 hrs. 47 min.,PG-13,72 ,60117080,189 days / 27 weeks,M. Night Shyamalan,Mel GibsonJoaquin PhoenixAbigail BreslinRory CulkinM. Night Shyamalan*,3453,6.7
214,214,X2: X-Men United,Fox,407.7,214.9,192.8,2003,"May 2, 2003",Action / Adventure, 2 hrs. 14 min.,PG-13,110 ,85558731,147 days / 21 weeks,Bryan Singer,Patrick StewartHugh JackmanIan McKellenHalle BerryFamke JanssenJames MarsdenAnna PaquinRebecca RomijnBrian CoxAlan Cumming,3749,7.5
215,215,Prometheus,Fox,403.4,126.5,276.9,2012,"June 8, 2012",Sci-Fi Action, 2 hrs. 4 min.,R,135 ,"December 25 2015 (limited)
 January 8 2016 (wide)",,,,,7.0
216,216,The Mummy: Tomb of the Dragon Emperor,Uni.,401.1,102.5,298.6,2008,"August 1, 2008",Period Adventure, 1 hrs. 54 min.,R,130 ,51050101,105 days / 15 weeks,Ridley Scott,Noomi RapaceMichael FassbenderCharlize TheronIdris ElbaGuy PearcePatrick Wilson*,3442,5.2
217,217,Gone with the Wind,MGM,400.2,198.7,201.5,1939^,"December 15, 1939",Historical Epic, 3 hrs. 58 min.,PG-13,145 ,40457770,Rob Cohen,Alfred Gough & Miles Millar,Stephen Sommers,3778,8.2
218,218,Tron Legacy,BV,400.1,172.1,228.0,2010,"December 17, 2010",Sci-Fi Action, 2 hrs. 5 min.,G,,400176459,Max Steiner,Rank,1,David O.,6.8
219,219,Mission: Impossible III,Par.,397.9,134,263.8,2006,"May 5, 2006",Action, 2 hrs. 6 min.,PG,170 ,44026211,119 days / 17 weeks,Joseph Kosinski,Jeff BridgesGarrett HedlundOlivia WildeBruce BoxleitnerJames FrainBeau GarrettMichael SheenCillian Murphy* (Cameo),3451,6.9
220,220,Snow White and the Huntsman,Uni.,396.6,155.3,241.3,2012,"June 1, 2012",Adventure, 2 hrs. 7 min.,PG-13,150 ,47743273,J.J. Abrams,J.J. AbramsAlex KurtzmanRoberto Orci,Tom CruisePaula Wagner,4059,6.1
221,221,Grease,Par.,395.0,188.8,206.2,1978^,"June 16, 1978",Musical, 1 hrs. 50 min.,PG-13,170 ,56217700,Rupert Sanders,Hossein AminiEvan DaughertyJohn Lee Hancock,Sam MercerPalak PatelJoe Roth,3777,7.2
222,222,Twilight,Sum.,393.6,192.8,200.8,2008,"November 21, 2008",Romance, 2 hrs. 0 min.,PG,6 ,394955690,,,,,5.2
223,223,The Wolf of Wall Street,Par.,392.0,116.9,275.1,2013,"December 25, 2013",Drama, 3 hrs. 0 min.,PG-13,37 ,393616788,,,,,8.2
224,224,Superman Returns,WB,391.1,200.1,191.0,2006,"June 28, 2006",Action / Adventure, 2 hrs. 34 min.,R,100 ,18361578,100 days / 14.3 weeks,Martin Scorsese,Leonardo DiCaprioJonah HillMatthew McConaugheyMargot RobbieKyle ChandlerJon BernthalJon FavreauShea WhighamRob ReinerJean Dujardin,2557,6.1
225,225,Robin Hood: Prince of Thieves,WB,390.5,165.5,225.0,1991,"June 14, 1991",Period Adventure, 2 hrs. 23 min.,PG-13,270 ,52535096,128 days / 18.3 weeks,Bryan Singer,Brandon RouthKate BosworthKevin SpaceyJames MarsdenParker PoseyFrank LangellaKal Penn,4065,6.9
226,226,Raiders of the Lost Ark,Par.,389.9,248.2,141.8,1981^,"June 12, 1981",Period Adventure, 1 hrs. 55 min.,PG-13,48 ,25625602,,,,,8.5
227,227,Home (2015),Fox,386.0,177.4,208.6,2015,"December 25, 2015",Action / Adventure, 2 hrs. 31 min.,PG,18 ,389925971,,,,,6.7
228,228,Star Trek,Par.,385.7,257.7,128.0,2009,"March 27, 2015",Animation, 1 hrs. 34 min.,PG,135 ,386041607,,,,,8.0
229,229,Monster Hunt,FR,385.3,$32.8k,385.2,2016,"May 8, 2009",Sci-Fi Adventure, 2 hrs. 6 min.,PG-13,150 ,75204289,147 days / 21 weeks,J.J. Abrams,Chris PineZachary QuintoLeonard NimoyEric BanaBruce GreenwoodKarl UrbanZoe SaldanaSimon PeggJohn ChoAnton YelchinChris Hemsworth*Winona Ryder*Tyler Perry* (Cameo),4053,6.2
230,230,The Revenant,Fox,385.0,167.7,217.3,2015,"January 22, 2016",Action Fantasy, 1 hrs. 51 min.,Unrated,,,,,,,8.2
231,231,Happy Feet,WB,384.3,198,186.3,2006,"November 17, 2006",Animation, 1 hrs. 48 min.,PG,100 ,41533432,175 days / 25 weeks,George Miller,Elijah Wood (Voice)Robin Williams (Voice)Brittany Murphy (Voice)Hugh Jackman (Voice)Nicole Kidman (Voice)Hugo Weaving (Voice)Anthony LaPaglia (Voice),3804,6.5
232,232,Live Free or Die Hard,Fox,383.5,134.5,249.0,2007,"June 27, 2007",Action, 2 hrs. 10 min.,PG-13,110 ,33369559,135 days / 19.3 weeks,Len Wiseman,Bruce WillisTimothy OlyphantJustin LongMaggie QCliff CurtisMary Elizabeth WinsteadKevin Smith,3411,7.2
233,233,Ice Age,Fox,383.3,176.4,206.9,2002,"March 15, 2002",Animation, 1 hrs. 21 min.,PG,59 ,46312454,172 days / 24.6 weeks,Carlos Saldanha (co-director)Chris Wedge,Christopher Meledandri (executive),3345,7.6
234,234,Monsters Vs. Aliens,P/DW,381.5,198.4,183.2,2009,"March 27, 2009",Animation, 1 hrs. 34 min.,PG,175 ,59321095,154 days / 22 weeks,Rob LettermanConrad Vernon,Reese Witherspoon (Voice)Seth Rogen (Voice)Hugh Laurie (Voice)Will Arnett (Voice)Kiefer Sutherland (Voice)Rainn Wilson (Voice)Stephen Colbert (Voice)Paul Rudd* (Voice)John Krasinski* (Voice)Tom McGrath* (Voice)Ed Helms* (Voice),4136,6.6
235,235,Back to the Future,Uni.,381.1,210.6,170.5,1985,"July 3, 1985",Sci-Fi Adventure, 1 hrs. 51 min.,PG,19 ,381109762,,,,,8.5
236,236,Godzilla,Sony,379.0,136.3,242.7,1998,"May 20, 1998",Sci-Fi Action, 2 hrs. 20 min.,PG-13,130 ,44047541,Dean DevlinTed Elliott (story)Terry Rossio (story),Matthew Broderick,David Arnold,3310,6.5
237,237,True Lies,Fox,378.9,146.3,232.6,1994,"July 15, 1994",Action Comedy, 2 hrs. 24 min.,R,115 ,25869770,,,,,7.2
238,238,Slumdog Millionaire,FoxS,377.9,141.3,236.6,2008,"November 12, 2008",Drama, 2 hrs. 0 min.,R,15 ,"November 12 2008 (limited)
 December 26 2008 (wide)",,,,,8.0
239,239,Mad Max: Fury Road,WB,377.6,153.6,224.0,2015,"May 15, 2015",Sci-Fi Action, 2 hrs. 0 min.,R,150 ,377636354,,,,,8.2
240,240,Taken 2,Fox,376.1,139.9,236.3,2012,"October 5, 2012",Action, 1 hrs. 31 min.,PG-13,45 ,49514769,140 days / 20 weeks,Olivier Megaton,Liam NeesonMaggie GraceFamke Janssen,3706,6.3
241,241,G.I. Joe: Retaliation,Par.,375.7,122.5,253.2,2013,"March 28, 2013",Action, 1 hrs. 39 min.,PG-13,130 ,40501814,113 days / 16.1 weeks,Jon Chu,Dwayne JohnsonChanning TatumBruce WillisAdrianne PalickiRay StevensonJonathan PryceLuke Bracey*,3734,5.8
242,242,Batman Begins,WB,374.2,206.9,167.4,2005^,"June 15, 2005",Action / Adventure, 2 hrs. 20 min.,PG-13,150 ,48745440,142 days / 20.3 weeks,Christopher Nolan,Christian BaleMichael CaineLiam NeesonMorgan FreemanGary OldmanKen WatanabeKatie HolmesCillian MurphyTom Wilkinson*Rutger Hauer*Linus Roache*,3858,8.3
243,243,What Women Want,Par.,374.1,182.8,191.3,2000,"December 15, 2000",Fantasy Comedy, 2 hrs. 7 min.,PG-13,70 ,33614543,,,,,6.4
244,244,The Adventures of Tintin,Par.,374.0,77.6,296.4,2011,"December 21, 2011",Animation, 1 hrs. 41 min.,PG,,9720993,93 days / 13.3 weeks,Steven Spielberg,Daniel Craig (Voice)Jamie Bell (Voice)Simon Pegg (Voice)Andy Serkis (Voice)Cary Elwes (Voice)Toby Jones (Voice)Nick Frost (Voice),3087,7.4
245,245,X-Men Origins: Wolverine,Fox,373.1,179.9,193.2,2009,"May 1, 2009",Action / Adventure, 1 hrs. 47 min.,PG-13,150 ,85058003,154 days / 22 weeks,Gavin Hood,Hugh JackmanLiev SchreiberDanny HustonDominic MonaghanRyan ReynoldsTaylor Kitsch,4102,6.7
246,246,Penguins of Madagascar,Fox,373.0,83.4,289.7,2014,"November 26, 2014",Animation, 1 hrs. 32 min.,PG,132 ,25447444,Eric DarnellSimon J. Smith,Benedict Cumberbatch (Voice)Ken Jeong (Voice)John Malkovich (Voice)Peter Stormare (Voice),Lorne Balfe,3775,6.7
247,247,The Golden Compass,NL,372.2,70.1,302.1,2007,"December 7, 2007",Fantasy, 1 hrs. 53 min.,PG-13,180 ,25783232,91 days / 13 weeks,Chris Weitz,Nicole KidmanDaniel CraigEva GreenSam ElliottIan McKellen (Voice)Freddie Highmore* (Voice),3528,6.1
248,248,Terminator Salvation,WB,371.4,125.3,246.0,2009,"May 21, 2009",Sci-Fi Action, 1 hrs. 54 min.,PG-13,200 ,42558390,113 days / 16.1 weeks,McG,Dan Lin (executive)Jeffrey Silver,3602,6.6
249,249,Captain America: The First Avenger,Par.,370.6,176.7,193.9,2011,"July 22, 2011",Action / Adventure, 2 hrs. 5 min.,PG-13,140 ,65058524,112 days / 16 weeks,Joe Johnston,Chris EvansHugo WeavingStanley TucciTommy Lee JonesDominic CooperNeal McDonoughHayley AtwellSebastian StanToby JonesDerek LukeSamuel L. Jackson*,3715,6.8
250,250,Edge of Tomorrow,WB,370.5,100.2,270.3,2014,"June 6, 2014",Sci-Fi Action, 1 hrs. 53 min.,PG-13,178 ,28760246,98 days / 14 weeks,Doug Liman,Tom CruiseEmily BluntBill PaxtonBrendan Gleeson,3505,7.9
251,251,There's Something About Mary,Fox,369.9,176.5,193.4,1998,"July 15, 1998",Romantic Comedy, 1 hrs. 59 min.,R,23 ,13740644,,,,,7.1
252,252,Gone Girl,Fox,369.3,167.8,201.6,2014,"October 3, 2014",Thriller, 2 hrs. 25 min.,R,61 ,37513109,147 days / 21 weeks,David Fincher,Ben AffleckRosamund PikeNeil Patrick HarrisTyler PerryPatrick FugitCarrie CoonEmily Ratajkowski*Boyd Holbrook*Scoot McNairy*,3284,8.1
253,253,The Fugitive,WB,368.9,183.9,185.0,1993,"August 6, 1993",Action Thriller, 2 hrs. 10 min.,PG-13,,23758855,147 days / 21 weeks,Andrew Davis,Harrison FordTommy Lee JonesJulianne Moore*,2425,7.8
254,254,Jurassic Park III,Uni.,368.8,181.2,187.6,2001,"July 18, 2001",Sci-Fi Horror, 1 hrs. 32 min.,PG-13,93 ,50771645,Joe Johnston,Alexander Payne,Larry J. FrancoKathleen KennedySteven Spielberg (executive),3462,5.9
255,255,My Big Fat Greek Wedding,IFC,368.7,241.4,127.3,2002,"April 19, 2002",Romantic Comedy, 1 hrs. 35 min.,PG,5 ,"April 19 2002 (limited)
 August 2 2002 (wide)",,,,,6.6
256,256,Hitch,Sony,368.1,179.5,188.6,2005,"February 11, 2005",Romantic Comedy, 1 hrs. 55 min.,PG-13,70 ,43142214,119 days / 17 weeks,Andy Tennant,James LassiterWill SmithMichael Tadross (executive),3575,6.7
257,257,Shark Tale,DW,367.3,160.9,206.4,2004,"October 1, 2004",Animation, 1 hrs. 30 min.,PG,75 ,47604606,98 days / 14 weeks,Rob Letterman,Will Smith (Voice)Angelina Jolie (Voice)Renee Zellweger (Voice)Jack Black (Voice)Robert DeNiro (Voice),4070,6.0
258,258,Die Hard: With A Vengeance,Fox,366.1,100,266.1,1995,"May 19, 1995",Action Thriller, 2 hrs. 11 min.,R,90 ,22162245,Jonathan Hensleigh,Samuel L. JacksonBruce Willis,Michael Kamen,2579,7.6
259,259,Notting Hill,Uni.,363.9,116.1,247.8,1999,"May 28, 1999",Romantic Comedy, 2 hrs. 4 min.,PG-13,42 ,21811180,,,,,7.0
260,260,A Bug's Life,BV,363.4,162.8,200.6,1998,"November 20, 1998",Animation, 1 hrs. 36 min.,G,120 ,"November 20 1998 (limited)
 November 27 1998 (wide)",,,,,7.2
261,261,Night at the Museum: Secret of the Tomb,Fox,363.2,113.7,249.5,2014,"December 19, 2014",Family Adventure, 1 hrs. 37 min.,PG,127 ,17100520,203 days / 29 weeks,Shawn Levy,Dan StevensBen StillerRobin WilliamsOwen WilsonRebel WilsonBen KingsleyDick Van DykeSteve CooganRicky Gervais,3914,6.2
262,262,Fast and Furious,Uni.,363.2,155.1,208.1,2009,"April 3, 2009",Action, 1 hrs. 39 min.,PG-13,85 ,70950500,91 days / 13 weeks,Justin Lin,Vin DieselPaul WalkerMichelle RodriguezJordana BrewsterBrandon T. Jackson*,3674,6.6
263,263,Ocean's Twelve,WB,362.7,125.5,237.2,2004,"December 10, 2004",Crime Comedy, 2 hrs. 4 min.,PG-13,110 ,39153380,105 days / 15 weeks,Steven Soderbergh,George ClooneyBrad PittMatt DamonCatherine Zeta-JonesDon CheadleBernie MacJulia RobertsCasey AffleckBruce Willis* (Cameo)Jared Harris*Topher Grace* (Cameo),3290,6.4
264,264,Noah,Par.,362.6,101.2,261.4,2014,"March 28, 2014",Drama, 2 hrs. 18 min.,PG-13,125 ,43720472,84 days / 12 weeks,Darren Aronofsky,Russell CroweJennifer ConnellyEmma WatsonAnthony HopkinsLogan LermanRay WinstoneNick Nolte*Kevin Durand*Frank Langella*,3571,5.8
265,265,Planet of the Apes (2001),Fox,362.2,180,182.2,2001,"July 27, 2001",Sci-Fi Action, 1 hrs. 59 min.,PG-13,100 ,68532960,,,,,
266,266,The Hangover Part III,WB,362.0,112.2,249.8,2013,"May 23, 2013",Comedy, 1 hrs. 40 min.,R,103 ,41671198,85 days / 12.1 weeks,Todd Phillips,Bradley CooperEd HelmsZach GalifianakisJustin BarthaJohn GoodmanHeather GrahamKen JeongMelissa McCarthy,3565,5.9
267,267,Toy Story,BV,362.0,191.8,170.2,1995^,"November 22, 1995",Animation, 1 hrs. 21 min.,G,,29140617,John Lasseter,Joel CohenPete DocterJohn Lasseter (story)Alec SokolowAndrew StantonJoss Whedon,Randy Newman (+ songs),2574,8.3
268,268,The World Is Not Enough,MGM,361.8,126.9,234.9,1999,"November 19, 1999",Action, 2 hrs. 8 min.,PG-13,135 ,35519007,Neal PurvisRobert Wade,Pierce BrosnanJudi DenchDenise Richards,David Arnold,3163,6.4
269,269,Alvin and the Chipmunks,Fox,361.3,217.3,144.0,2007,"December 14, 2007",Family Comedy, 1 hrs. 32 min.,PG,60 ,361336633,,,,,5.3
270,270,The Karate Kid,Sony,359.1,176.6,182.5,2010,"June 11, 2010",Action Drama, 2 hrs. 20 min.,PG,40 ,55665805,105 days / 15 weeks,Harald Zwart,James LassiterWill Smith,3740,7.2
271,271,Home Alone 2: Lost in New York,Fox,359.0,173.6,185.4,1992,"November 20, 1992",Family Comedy, 2 hrs. 0 min.,PG,,31126882,John Hughes,Macaulay CulkinJoe PesciCatherine O'HaraRob Schneider*,John Williams,2461,6.6
272,272,Hotel Transylvania,Sony,358.4,148.3,210.1,2012,"September 28, 2012",Animation, 1 hrs. 31 min.,PG,85 ,42522194,144 days / 20.6 weeks,Genndy Tartakovsky,Adam Sandler (Voice)Andy Samberg (Voice)Selena Gomez (Voice)Kevin James (Voice)Fran Drescher (Voice)Steve Buscemi (Voice)Molly Shannon* (Voice)David Spade* (Voice)Jon Lovitz* (Voice),3375,7.1
273,273,Minority Report,Fox,358.4,132.1,226.3,2002,"June 21, 2002",Sci-Fi Thriller, 2 hrs. 24 min.,PG-13,102 ,35677125,Steven Spielberg,Scott Frank,Gerald R. Molen,3001,7.7
274,274,Top Gun,Par.,356.8,179.8,177.0,1986^,"May 16, 1986",Action Drama, 1 hrs. 50 min.,PG,,356830601,,,,,6.9
275,275,American Beauty,DW,356.3,130.1,226.2,1999,"September 15, 1999",Drama, 2 hrs. 2 min.,R,15 ,"September 15 1999 (limited)
 October 1 1999 (wide)",,,,,8.4
276,276,Apollo 13,Uni.,355.2,173.8,181.4,1995^,"June 30, 1995",Action Thriller, 2 hrs. 20 min.,PG,,25353380,,,,,7.6
277,277,Rain Man,MGM,354.8,172.8,182.0,1988,"December 16, 1988",Drama, 2 hrs. 13 min.,R,25 ,7005719,,,,,8.0
278,278,X-Men: First Class,Fox,353.6,146.4,207.2,2011,"June 3, 2011",Action / Adventure, 2 hrs. 11 min.,PG-13,160 ,55101604,119 days / 17 weeks,Matthew Vaughn,James McAvoyMichael FassbenderJennifer LawrenceRose ByrneJanuary JonesKevin BaconNicholas HoultOliver PlattJason Flemyng,3692,7.8
279,279,Basic Instinct,TriS,352.9,117.7,235.2,1992,"March 20, 1992",Thriller, 2 hrs. 3 min.,R,49 ,15129385,,,,,6.9
280,280,GoldenEye,MGM,352.2,106.4,245.8,1995,"November 17, 1995",Action, 2 hrs. 10 min.,PG-13,,26205007,,,,,7.2
281,281,Catch Me If You Can,DW,352.1,164.6,187.5,2002,"December 25, 2002",Comedy / Drama, 2 hrs. 20 min.,PG-13,52 ,30053627,149 days / 21.3 weeks,Steven Spielberg,Leonardo DiCaprioTom HanksChristopher WalkenMartin SheenAmy AdamsJames BrolinJennifer Garner*Elizabeth Banks*,3225,8.0
282,282,Now You See Me,LG/S,351.7,117.7,234.0,2013,"May 31, 2013",Thriller, 1 hrs. 56 min.,PG-13,75 ,29350389,119 days / 17 weeks,Louis Leterrier,Jesse EisenbergIsla FisherMorgan FreemanWoody HarrelsonMark RuffaloDave FrancoMelanie LaurentMichael Caine,3082,7.3
283,283,Hannibal,MGM,351.7,165.1,186.6,2001,"February 9, 2001",Thriller, 2 hrs. 11 min.,R,87 ,58003121,Ridley Scott,David MametSteven Zaillian,Ridley Scott,3292,8.6
284,284,The Mask,NL,351.6,119.9,231.6,1994,"July 29, 1994",Comedy, 1 hrs. 37 min.,PG-13,23 ,23117068,,,,,6.9
285,285,The Great Gatsby (2013),WB,351.0,144.8,206.2,2013,"May 10, 2013",Drama, 2 hrs. 23 min.,PG-13,105 ,50085185,105 days / 15 weeks,Baz Luhrmann,Elizabeth DebickiLeonardo DiCaprioTobey MaguireJoel EdgertonCarey MulliganIsla FisherJason Clarke,3550,7.3
286,286,Speed,Fox,350.4,121.2,229.2,1994,"June 10, 1994",Action Thriller, 1 hrs. 56 min.,R,30 ,14456194,Sandra BullockKeanu Reeves,Ian Bryce (executive)Mark GordonAllison Lyon Segan (Co-producer),Mark Mancina,2169,7.2
287,287,Dinosaur,BV,349.8,137.7,212.1,2000,"May 19, 2000",Animation, 1 hrs. 22 min.,PG,127.5 ,38854851,,,,,6.4
288,288,Deep Impact,Par.,349.5,140.5,209.0,1998,"May 8, 1998",Action Drama, 2 hrs. 0 min.,PG-13,,41152375,,,,,6.1
289,289,Dr. Seuss' The Lorax,Uni.,348.8,214,134.8,2012,"March 2, 2012",Animation, 1 hrs. 35 min.,PG,70 ,70217070,147 days / 21 weeks,Chris Renaud,Danny DeVito (Voice)Zac Efron (Voice)Ed Helms (Voice)Rob Riggle (Voice)Taylor Swift (Voice)Betty White (Voice),3769,6.5
290,290,The Maze Runner,Fox,348.3,102.4,245.9,2014,"September 19, 2014",Sci-Fi Thriller, 1 hrs. 53 min.,PG-13,34 ,32512804,140 days / 20 weeks,Wes Ball,Dylan O'BrienKaya ScodelarioThomas Brodie-SangsterWill Poulter,3638,6.8
291,291,The Smurfs 2,Sony,347.5,71,276.5,2013,"July 31, 2013",Family Comedy, 1 hrs. 45 min.,PG,105 ,17548389,110 days / 15.7 weeks,Raja Gosnell,Neil Patrick HarrisBrendan GleesonJayma MaysSofia VergaraHank AzariaKaty Perry (Voice)Christina Ricci (Voice)George Lopez (Voice)Anton Yelchin (Voice),3867,5.4
292,292,National Treasure,BV,347.5,173,174.5,2004,"November 19, 2004",Adventure, 2 hrs. 11 min.,PG,100 ,35142554,196 days / 28 weeks,Jon Turteltaub,Nicolas CageDiane KrugerJustin BarthaSean BeanJon VoightHarvey KeitelChristopher Plummer,3243,6.9
293,293,Rush Hour 2,NL,347.3,226.2,121.2,2001,"August 3, 2001",Action Comedy, 1 hrs. 30 min.,PG-13,90 ,67408222,,,,,6.6
294,294,I Robot,Fox,347.2,144.8,202.4,2004,"July 16, 2004",Sci-Fi Thriller, 1 hrs. 45 min.,PG-13,120 ,52179887,168 days / 24 weeks,Alex Proyas,Will SmithBridget MoynahanAlan TudykJames CromwellBruce GreenwoodChi McBrideShia LaBeouf,3494,7.1
295,295,Pocahontas,BV,346.1,141.6,204.5,1995,"June 16, 1995",Animation, 1 hrs. 21 min.,G,,346079773,,,,,6.6
296,296,How the Grinch Stole Christmas,Uni.,345.1,260,85.1,2000,"November 17, 2000",Family Comedy, 1 hrs. 44 min.,PG,123 ,55082330,105 days / 15 weeks,Ron Howard,Brian GrazerRon Howard,3256,6.0
297,297,Alvin and the Chipmunks: Chipwrecked,Fox,342.7,133.1,209.6,2011,"December 16, 2011",Family Comedy, 1 hrs. 27 min.,G,75 ,342695435,,,,,4.4
298,298,The Flintstones,Uni.,341.6,130.5,211.1,1994,"May 27, 1994",Family Comedy, 1 hrs. 31 min.,PG,46 ,29688730,,,,,7.5
299,299,Wanted,Uni.,341.4,134.5,206.9,2008,"June 27, 2008",Action / Adventure, 1 hrs. 48 min.,R,75 ,50927085,Timur Bekmambetov,Chris Morgan,Gary Barber (executive)Roger Birnbaum (executive)Marc Platt,3185,6.7
300,300,Enchanted,BV,340.5,127.8,212.7,2007,"November 21, 2007",Family Adventure, 1 hrs. 47 min.,PG,85 ,34440317,114 days / 16.3 weeks,Amy AdamsJames MarsdenSusan Sarandon,Don Burgess,3730,7.1
301,301,300: Rise of An Empire,WB,337.6,106.6,231.0,2014,"March 7, 2014",Period Action, 1 hrs. 42 min.,R,110 ,45038460,84 days / 12 weeks,Noam Murro,Sullivan StapletonEva GreenLena HeadeyRodrigo SantoroJack O'ConnellDavid Wenham,3490,6.3
302,302,Batman Forever,WB,336.5,184,152.5,1995,"June 16, 1995",Action / Adventure, 2 hrs. 2 min.,PG-13,100 ,52784433,147 days / 21 weeks,Joel Schumacher,Val KilmerTommy Lee JonesJim CarreyNicole KidmanChris O'DonnellDrew Barrymore*Jon Favreau*,2893,5.4
303,303,Prince of Persia: The Sands of Time,BV,336.4,90.8,245.6,2010,"May 28, 2010",Adventure, 1 hrs. 55 min.,PG-13,200 ,30095259,119 days / 17 weeks,Mike Newell,Jake GyllenhaalBen KingsleyAlfred MolinaGemma Arterton,3646,6.6
304,304,Over the Hedge,P/DW,336.0,155,181.0,2006,"May 19, 2006",Animation, 1 hrs. 27 min.,PG,,38457003,112 days / 16 weeks,Tim Johnson,Bruce Willis (Voice)Garry Shandling (Voice)Steve Carell (Voice)William Shatner (Voice)Wanda Sykes (Voice)Nick Nolte (Voice),4093,6.8
305,305,Journey 2: The Mysterious Island,WB (NL),335.3,103.9,231.4,2012,"February 10, 2012",Adventure, 1 hrs. 34 min.,PG,79 ,27335363,140 days / 20 weeks,Brad Peyton,Dwayne JohnsonMichael CaineJosh HutchersonVanessa HudgensLuis GuzmanKristin Davis,3500,5.8
306,306,The Rock,BV,335.1,134.1,201.0,1996,"June 7, 1996",Action, 2 hrs. 16 min.,R,75 ,25069525,182 days / 26 weeks,Michael Bay,Jerry Bruckheimer,2426,7.4
