Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
62,62,The Da Vinci Code,Sony,758.2,217.5,540.7,2006,"May 19, 2006",Thriller, 2 hrs. 29 min.,PG-13,125 ,77073388,94 days / 13.4 weeks,Ron Howard,Tom HanksAudrey TautouIan McKellenPaul BettanyJean RenoAlfred Molina,3757,6.5
63,63,The Amazing Spider-Man,Sony,757.9,262,495.9,2012,"July 3, 2012",Action / Adventure, 2 hrs. 16 min.,PG-13,230 ,62004688,104 days / 14.9 weeks,Marc Webb,Andrew GarfieldEmma StoneRhys IfansDenis LearyMartin SheenSally FieldIrrfan KhanCampbell Scott*Embeth Davidtz*,4318,7.3
64,64,The Hunger Games: Mockingjay - Part 1,LGF,755.4,337.1,418.2,2014,"November 21, 2014",Action / Adventure, 2 hrs. 3 min.,PG-13,125 ,121897634,119 days / 17 weeks,Francis Lawrence,Jennifer LawrenceJosh HutchersonLiam HemsworthWoody HarrelsonDonald SutherlandPhilip Seymour HoffmanJulianne MooreSam ClaflinElizabeth BanksJena MaloneJeffrey WrightStanley Tucci,4151,6.7
65,65,Shrek Forever After,P/DW,752.6,238.7,513.9,2010,"May 21, 2010",Animation, 1 hrs. 33 min.,PG,165 ,70838207,Mike Mitchell,Darren Lemke,Harry Gregson-Williams,4386,6.4
66,66,X-Men: Days of Future Past,Fox,747.9,233.9,513.9,2014,"May 23, 2014",Action / Adventure, 2 hrs. 11 min.,PG-13,200 ,90823660,140 days / 20 weeks,Bryan Singer,Hugh JackmanJames McAvoyMichael FassbenderJennifer LawrenceNicholas HoultPatrick StewartIan McKellenEllen PageHalle BerryShawn AshmorePeter DinklageAnna Paquin*Famke Janssen*James Marsden*,4001,8.0
67,67,Madagascar 3: Europe's Most Wanted,P/DW,746.9,216.4,530.5,2012,"June 8, 2012",Animation, 1 hrs. 33 min.,PG,145 ,60316738,133 days / 19 weeks,Eric DarnellTom McGrathConrad Vernon,Ben Stiller (Voice)Chris Rock (Voice)David Schwimmer (Voice)Jada Pinkett-Smith (Voice)Sacha Baron Cohen (Voice)Cedric the Entertainer (Voice)Andy Richter (Voice)Jessica Chastain (Voice)Frances McDormand (Voice)Bryan Cranston (Voice)Martin Short (Voice),4263,6.9
68,68,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,BV,745.0,291.7,453.3,2005,"December 9, 2005",Fantasy, 2 hrs. 12 min.,PG,180 ,65556312,154 days / 22 weeks,Andrew Adamson,Tilda SwintonJames McAvoy*Jim Broadbent*Liam Neeson* (Voice),3853,6.9
69,69,Monsters University,BV,743.6,268.5,475.1,2013,"June 21, 2013",Animation, 1 hrs. 47 min.,G,,82429469,182 days / 26 weeks,Dan Scanlon,Billy Crystal (Voice)John Goodman (Voice)Steve Buscemi (Voice)Helen Mirren (Voice)Alfred Molina* (Voice)Sean Hayes* (Voice)Charlie Day* (Voice)Nathan Fillion* (Voice)Aubrey Plaza* (Voice)Tyler Labine* (Voice)John Krasinski* (Voice)Bonnie Hunt* (Voice)John Ratzenberger* (Voice),4004,7.4
70,70,The Matrix Reloaded,WB,742.1,281.6,460.6,2003,"May 15, 2003",Sci-Fi Action, 2 hrs. 18 min.,R,150 ,91774413,183 days / 26.1 weeks,Andy & Lana Wachowski,Keanu ReevesLaurence FishburneCarrie-Anne MossJada Pinkett-SmithHugo WeavingMonica Bellucci,3603,7.2
71,71,Up,BV,731.3,293,438.3,2009,"May 29, 2009",Animation, 1 hrs. 36 min.,PG,175 ,68108790,161 days / 23 weeks,Pete DocterBob Peterson,Edward Asner* (Voice)Christopher Plummer* (Voice)John Ratzenberger* (Voice)Delroy Lindo* (Voice),3886,8.3
