"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"223" 223 223 "The Wolf of Wall Street" "Par." 392 116.9 275.1 "December 25" 2013 "Drama" "PG-13" NA 8.2 "Drama" "" NA 180 NA "Martin Scorsese" "" "Leonardo DiCaprio" "Jonah Hill" 37 "hs" "thewolfofwallstreet" 0 0 0 248 65 3.16 "8.13" 125.1 NA 39.59 135 185 85 5 195 56
"224" 224 224 "Superman Returns" "WB" 391.1 200.1 191 "June 28" 2006 "AA" "R" 2557 6.1 "AA" "" 18.4 154 14.3 "Bryan Singer" "" "Brandon Routh" "Kate Bosworth" 100 "ss" "supermanreturns" 2 1 0 258 64 2 "6.55" 265.78 24.44 132.82 14 20 6 3 6 10
"225" 225 225 "Robin Hood: Prince of Thieves" "WB" 390.5 165.5 225 "June 14" 1991 "Period Adventure" "PG-13" 4065 6.9 "Period" "Adventure" 52.5 143 18.3 "Kevin Reynolds" "" "Kevin Costner" "Morgan Freeman" 270 "ss" "robinhood:princeofthieves" 0 0 1 52 38 0.61 "4.21" 342.01 108.49 557.96 2 5 46 56 49 69
"226" 226 226 "Raiders of the Lost Ark" "Par." 389.9 248.2 141.8 "June 12" 1981 "Period Adventure" "PG-13" NA 8.5 "Period" "Adventure" NA 115 NA "Steven Spielberg" "" "Harrison Ford" "Karen Allen" 48 "ss" "raidersofthelostark" 0 0 0 NA NA 5.17 "2.78" 776.74 NA 150.22 175 168 32 1 36 4
"227" 227 227 "Home" "Fox" 386 177.4 208.6 "December 25" 2015 "AA" "PG" NA 6.7 "AA" "" NA 151 NA "Tim Johnson" "" "Jim Parsons" "Rihanna" 18 "hs" "home" 0 0 0 42 43 9.86 "8.43" 183.08 NA 18.58 2 1 18 21 54 52
"228" 228 228 "Star Trek" "Par." 385.7 257.7 128 "March 27" 2015 "Animation" "PG" NA 8 "Animation" "" NA 94 NA "J.J. Abrams" "" "Chris Pine" "Zachary Quinto" 135 "ns" "startrek" 0 0 0 43 12 1.91 "8.43" 265.95 NA 139.32 18 41 6 9 15 20
"229" 229 229 "Monster Hunt" "FR" 385.3 NA 385.2 "May 8" 2009 "Sci-Fi Adventure" "PG-13" 4053 6.2 "Sci-Fi" "Adventure" 75.2 126 21 "Raman Hui" "" "Baihe Bai" "Boran Jing" 150 "ns" "monsterhunt" 0 0 0 NA NA NA "7.50" NA 87.23 174 2 4 1 0 5 2
"230" 230 230 "The Revenant" "Fox" 385 167.7 217.3 "January 22" 2016 "Action Fantasy" "Unrated" NA 8.2 "Action" "Fantasy" NA 111 NA "Alejandro Gonz¨¢lez I_¨¢rritu" "" "Leonardo DiCaprio" "Tom Hardy" NA "ns" "therevenant" 0 0 0 296 71 NA "0" Inf NA NA 110 139 85 16 195 70
"231" 231 231 "Happy Feet" "WB" 384.3 198 186.3 "November 17" 2006 "Animation" "PG" 3804 6.5 "Animation" "" 41.5 108 25 "George Miller" "Warren Coleman" "Carlos Alazraqui" "Lombardo Boyar" 100 "ns" "happyfeet" 0 0 0 161 63 1.98 "6.55" 262.99 55.12 132.82 64 52 2 NA 5 NA
"232" 232 232 "Live Free or Die Hard" "Fox" 383.5 134.5 249 "June 27" 2007 "Action" "PG-13" 3411 7.2 "Action" "" 33.4 130 19.3 "Len Wiseman" "" "Bruce Willis" "Timothy Olyphant" 110 "ss" "livefreeordiehard" 0 0 0 206 71 1.22 "6.88" 170.08 42.24 139.1 NA NA 21 3 37 21
"233" 233 233 "Ice Age" "Fox" 383.3 176.4 206.9 "March 15" 2002 "Animation" "PG" 3345 7.6 "Animation" "" 46.3 81 24.6 "Chris Wedge" "Carlos Saldanha" "Ray Romano" "John Leguizamo" 59 "ns" "iceage" 0 0 0 165 65 2.99 "5.81" 264.14 69.33 88.35 6 6 15 12 48 20
"234" 234 234 "Monsters Vs. Aliens" "P/DW" 381.5 198.4 183.2 "March 27" 2009 "Animation" "PG" 4136 6.6 "Animation" "" 59.3 94 22 "Rob Letterman" "Conrad Vernon" "Reese Witherspoon" "Seth Rogen" 175 "ns" "monstersvs.aliens" 0 0 0 NA NA 1.13 "7.50" 230.14 68.79 203 0 2 50 11 87 26
"235" 235 235 "Back to the Future" "Uni." 381.1 210.6 170.5 "July 3" 1985 "Sci-Fi Adventure" "PG" NA 8.5 "Sci-Fi" "Adventure" NA 111 NA "Robert Zemeckis" "" "Michael J. Fox" "Christopher Lloyd" 19 "ss" "backtothefuture" 0 0 0 60 51 11.08 "3.55" 516.12 NA 46.56 33 33 29 30 55 16
"236" 236 236 "Godzilla" "Sony" 379 136.3 242.7 "May 20" 1998 "Sci-Fi Action" "PG-13" 3310 6.5 "Sci-Fi" "Action" NA 140 NA "Gareth Edwards" "" "Aaron Taylor-Johnson" "CJ Adams" 130 "ss" "godzilla" 0 0 0 68 44 1.05 "4.69" 252.84 NA 241.15 10 11 1 9 10 18
"237" 237 237 "True Lies" "Fox" 378.9 146.3 232.6 "July 15" 1994 "Action Comedy" "R" NA 7.2 "Action" "Comedy" NA 144 NA "James Cameron" "" "Arnold Schwarzenegger" "Jamie Lee Curtis" 115 "ss" "truelies" 0 0 0 47 60 1.27 "4.18" 304.5 NA 239.35 65 54 23 12 31 24
"238" 238 238 "Slumdog Millionaire" "FoxS" 377.9 141.3 236.6 "November 12" 2008 "Drama" "R" NA 8 "Drama" "" NA 120 NA "Danny Boyle" "Loveleen Tandan" "Dev Patel" "Saurabh Shukla" 15 "ns" "slumdogmillionaire" 0 0 0 267 81 9.42 "7.18" 171.21 NA 18.18 79 79 12 2 22 4
"239" 239 239 "Mad Max: Fury Road" "WB" 377.6 153.6 224 "May 15" 2015 "Sci-Fi Action" "R" NA 8.2 "Sci-Fi" "Action" NA 120 NA "George Miller" "" "Tom Hardy" "Charlize Theron" 150 "ns" "madmax:furyroad" 0 0 1 343 86 1.02 "8.43" 158.52 NA 154.8 64 52 16 51 70 87
"240" 240 240 "Taken 2" "Fox" 376.1 139.9 236.3 "October 5" 2012 "Action" "PG-13" 3706 6.3 "Action" "" 49.5 91 20 "Olivier Megaton" "" "Liam Neeson" "Maggie Grace" 45 "ns" "taken2" 0 0 1 NA NA 3.11 "7.96" 152.91 54.1 49.18 2 2 15 1 35 5
"241" 241 241 "G.I. Joe: Retaliation" "Par." 375.7 122.5 253.2 "March 28" 2013 "Action" "PG-13" 3734 5.8 "Action" "" 40.5 99 16.1 "Jon M. Chu" "" "Dwayne Johnson" "Jonathan Pryce" 130 "ns" "g.i.joe:retaliation" 0 0 1 NA NA 0.94 "8.13" 131.09 43.34 139.11 15 7 3 6 28 14
"242" 242 242 "Batman Begins" "WB" 374.2 206.9 167.4 "June 15" 2005 "AA" "PG-13" 3858 8.3 "AA" "" 48.7 140 20.3 "Christopher Nolan" "" "Christian Bale" "Michael Caine" 150 "ss" "batmanbegins" 2 1 0 267 74 1.38 "6.41" 280.82 66.1 203.59 121 160 64 37 76 60
"243" 243 243 "What Women Want" "Par." 374.1 182.8 191.3 "December 15" 2000 "Fantasy Comedy" "PG-13" NA 6.4 "Fantasy" "Comedy" NA 127 NA "Nancy Meyers" "" "Mel Gibson" "Helen Hunt" 70 "hs" "whatwomenwant" 0 0 0 NA NA 2.61 "5.39" 295.06 NA 112.99 6 5 32 47 30 65
"244" 244 244 "The Adventures of Tintin" "Par." 374 77.6 296.4 "December 21" 2011 "Animation" "PG" 3087 7.4 "Animation" "" 9.7 101 13.3 "Steven Spielberg" "" "Jamie Bell" "Andy Serkis" NA "hs" "theadventuresoftintin" 0 0 0 NA NA NA "7.93" 85.13 10.64 NA 175 168 17 30 19 42
"245" 245 245 "X-Men Origins: Wolverine" "Fox" 373.1 179.9 193.2 "May 1" 2009 "AA" "PG-13" 4102 6.7 "AA" "" 85.1 107 22 "Gavin Hood" "" "Hugh Jackman" "Liev Schreiber" 150 "ns" "xmenorigins:wolverine" 4 1 1 NA NA 1.2 "7.50" 208.68 98.72 174 26 7 20 11 71 25
"246" 246 246 "Penguins of Madagascar" "Fox" 373 83.4 289.7 "November 26" 2014 "Animation" "PG" 3775 6.7 "Animation" "" NA 92 NA "Eric Darnell" "Simon J. Smith" "Tom McGrath" "Chris Miller" 132 "hs" "penguinsofmadagascar" 0 0 0 NA NA 0.63 "8.17" 88.81 NA 140.56 0 2 0 12 8 12
"247" 247 247 "The Golden Compass" "NL" 372.2 70.1 302.1 "December 7" 2007 "Fantasy" "PG-13" 3528 6.1 "Fantasy" "" 25.8 113 13 "Chris Weitz" "" "Nicole Kidman" "Daniel Craig" 180 "hs" "thegoldencompass" 0 0 0 NA NA 0.39 "6.88" 88.64 32.62 227.62 2 10 65 13 148 27
"248" 248 248 "Terminator Salvation" "WB" 371.4 125.3 246 "May 21" 2009 "Sci-Fi Action" "PG-13" 3602 6.6 "Sci-Fi" "Action" 42.6 114 16.1 "McG" "" "Christian Bale" "Sam Worthington" 200 "ss" "terminatorsalvation" 0 0 0 NA NA 0.63 "7.50" 145.35 49.42 232 24 38 64 6 76 14
"249" 249 249 "Captain America: The First Avenger" "Par." 370.6 176.7 193.9 "July 22" 2011 "AA" "PG-13" 3715 6.8 "AA" "" 65.1 125 16 "Joe Johnston" "" "Chris Evans" "Hayley Atwell" 140 "ss" "captainamerica:thefirstavenger" 1 1 1 241 67 1.26 "7.93" 193.86 71.42 153.59 2 6 4 0 26 9
"250" 250 250 "Edge of Tomorrow" "WB" 370.5 100.2 270.3 "June 6" 2014 "Sci-Fi Action" "PG-13" 3505 7.9 "Sci-Fi" "Action" 28.8 113 14 "Doug Liman" "" "Tom Cruise" "Emily Blunt" 178 "ss" "edgeoftomorrow" 0 0 0 279 79 0.56 "8.17" 106.7 30.67 189.55 2 6 39 16 76 56
"251" 251 251 "There's Something About Mary" "Fox" 369.9 176.5 193.4 "July 15" 1998 "Romantic Comedy" "R" NA 7.1 "Romantic" "Comedy" NA 119 NA "Bobby Farrelly" "Peter Farrelly" "Cameron Diaz" "Matt Dillon" 23 "ss" "there'ssomethingaboutmary" 0 0 0 83 72 7.67 "4.69" 327.41 NA 42.67 3 4 28 18 82 22
"252" 252 252 "Gone Girl" "Fox" 369.3 167.8 201.6 "October 3" 2014 "Thriller" "R" 3284 8.1 "Thriller" "" 37.5 145 21 "David Fincher" "" "Ben Affleck" "Rosamund Pike" 61 "ns" "gonegirl" 0 0 0 288 77 2.75 "8.17" 178.69 39.93 64.96 57 101 67 28 95 50
"253" 253 253 "The Fugitive" "WB" 368.9 183.9 185 "August 6" 1993 "Action Thriller" "PG-13" 2425 7.8 "Action" "Thriller" 23.8 130 21 "Andrew Davis" "" "Harrison Ford" "Tommy Lee Jones" NA "ss" "thefugitive" 0 0 0 72 85 NA "4.14" 386.46 50.01 NA 0 4 32 40 36 89
"254" 254 254 "Jurassic Park III" "Uni." 368.8 181.2 187.6 "July 18" 2001 "Sci-Fi Horror" "PG-13" 3462 5.9 "Sci-Fi" "Horror" NA 92 NA "Joe Johnston" "" "Sam Neill" "William H. Macy" 93 "ss" "jurassicparkiii" 0 0 0 NA NA 1.95 "5.66" 278.52 NA 142.95 2 6 3 34 25 58
"255" 255 255 "My Big Fat Greek Wedding" "IFC" 368.7 241.4 127.3 "April 19" 2002 "Romantic Comedy" "PG" NA 6.6 "Romantic" "Comedy" NA 95 NA "Joel Zwick" "" "Nia Vardalos" "Michael Constantine" 5 "ns" "mybigfatgreekwedding" 0 0 0 129 64 48.28 "5.81" 361.48 NA 7.49 3 1 7 2 16 5
"256" 256 256 "Hitch" "Sony" 368.1 179.5 188.6 "February 11" 2005 "Romantic Comedy" "PG-13" 3575 6.7 "Romantic" "Comedy" 43.1 115 17 "Andy Tennant" "" "Will Smith" "Eva Mendes" 70 "ns" "hitch" 0 0 0 84 84 2.56 "6.41" 243.63 58.5 95.01 1 0 56 2 106 15
"257" 257 257 "Shark Tale" "DW" 367.3 160.9 206.4 "October 1" 2004 "Animation" "PG" 4070 6 "Animation" "" 47.6 90 14 "Bibo Bergeron" "Vicky Jenson" "Will Smith" "Robert De Niro" 75 "ns" "sharktale" 0 0 0 NA NA 2.15 "6.21" 225.42 66.69 105.07 0 1 56 48 106 82
"258" 258 258 "Die Hard: With A Vengeance" "Fox" 366.1 100 266.1 "May 19" 1995 "Action Thriller" "R" 2579 7.6 "Action" "Thriller" NA 131 NA "John McTiernan" "" "Bruce Willis" "Jeremy Irons" 90 "ns" "diehard:withavengeance" 0 0 1 45 39 1.11 "4.35" 200 NA 180 4 5 21 27 37 30
"259" 259 259 "Notting Hill" "Uni." 363.9 116.1 247.8 "May 28" 1999 "Romantic Comedy" "PG-13" NA 7 "Romantic" "Comedy" NA 124 NA "Roger Michell" "" "Julia Roberts" "Hugh Grant" 42 "ss" "nottinghill" 0 0 0 98 72 2.76 "5.08" 198.83 NA 71.93 6 15 51 15 86 18
"260" 260 260 "A Bug's Life" "BV" 363.4 162.8 200.6 "November 20" 1998 "Animation" "G" NA 7.2 "Animation" "" NA 96 NA "John Lasseter" "Andrew Stanton" "Dave Foley" "Kevin Spacey" 120 "hs" "abug'slife" 0 0 0 86 81 1.36 "4.69" 302 NA 222.6 36 26 6 54 21 72
"261" 261 261 "Night at the Museum: Secret of the Tomb" "Fox" 363.2 113.7 249.5 "December 19" 2014 "Family Adventure" "PG" 3914 6.2 "Family" "Adventure" 17.1 97 29 "Shawn Levy" "" "Ben Stiller" "Robin Williams" 127 "hs" "nightatthemuseum:secretofthetomb" 0 0 1 NA NA 0.9 "8.17" 121.08 18.21 135.24 3 1 13 63 52 80
"262" 262 262 "Fast and Furious" "Uni." 363.2 155.1 208.1 "April 3" 2009 "Action" "PG-13" 3674 6.6 "Action" "" 71 99 13 "Justin Lin" "" "Vin Diesel" "Paul Walker" 85 "ns" "fastandfurious" 0 0 0 NA NA 1.82 "7.50" 179.92 82.36 98.6 3 6 7 7 26 11
"263" 263 263 "Ocean's Twelve" "WB" 362.7 125.5 237.2 "December 10" 2004 "Crime Comedy" "PG-13" 3290 6.4 "Crime" "Comedy" 39.2 124 15 "Steven Soderbergh" "" "Brad Pitt" "Catherine Zeta-Jones" 110 "hs" "ocean'stwelve" 0 0 0 NA NA 1.14 "6.21" 175.82 54.92 154.11 29 74 64 18 136 32
"264" 264 264 "Noah" "Par." 362.6 101.2 261.4 "March 28" 2014 "Drama" "PG-13" 3571 5.8 "Drama" "" 43.7 138 12 "Darren Aronofsky" "" "Russell Crowe" "Jennifer Connelly" 125 "ns" "noah" 0 0 0 NA NA 0.81 "8.17" 107.76 46.53 133.11 32 73 36 15 66 25
"265" 265 265 "Planet of the Apes" "Fox" 362.2 180 182.2 "July 27" 2001 "Sci-Fi Action" "PG-13" NA NA "Sci-Fi" "Action" NA 119 NA "Thomas Eikrem" "" "Anders Arentoft" "Jennifer Connelly" 100 "ss" "planetoftheapes" 0 0 0 248 71 1.8 "5.66" 276.68 NA 153.71 NA NA NA NA NA NA
"266" 266 266 "The Hangover Part III" "WB" 362 112.2 249.8 "May 23" 2013 "Comedy" "R" 3565 5.9 "Comedy" "" 41.7 100 12.1 "Todd Phillips" "" "Bradley Cooper" "Ed Helms" 103 "ss" "thehangoverpartiii" 0 0 1 NA NA 1.09 "8.13" 120.07 44.62 110.22 5 4 29 4 65 12
"267" 267 267 "Toy Story" "BV" 362 191.8 170.2 "November 22" 1995 "Animation" "G" 2574 8.3 "Animation" "" NA 81 NA "John Lasseter" "" "Tom Hanks" "Tim Allen" NA "hs" "toystory" 0 0 0 78 2 NA "4.35" 383.6 NA NA 36 26 76 23 115 32
"268" 268 268 "The World Is Not Enough" "MGM" 361.8 126.9 234.9 "November 19" 1999 "Action" "PG-13" 3163 6.4 "Action" "" NA 128 NA "Michael Apted" "" "Pierce Brosnan" "Sophie Marceau" 135 "ns" "theworldisnotenough" 0 0 0 136 39 0.94 "5.08" 217.33 NA 231.2 20 15 17 8 20 2
"269" 269 269 "Alvin and the Chipmunks" "Fox" 361.3 217.3 144 "December 14" 2007 "Family Comedy" "PG" NA 5.3 "Family" "Comedy" NA 92 NA "Tim Hill" "" "Jason Lee" "David Cross" 60 "hs" "alvinandthechipmunks" 0 0 0 NA NA 3.62 "6.88" 274.78 NA 75.87 1 1 2 7 22 15
"270" 270 270 "The Karate Kid" "Sony" 359.1 176.6 182.5 "June 11" 2010 "Action Drama" "PG" 3740 7.2 "Action" "Drama" 55.7 140 15 "John G. Avildsen" "" "Ralph Macchio" "Pat Morita" 40 "ss" "thekaratekid" 0 0 0 NA NA 4.42 "7.89" 194.73 61.42 44.11 5 6 3 1 3 5
"271" 271 271 "Home Alone 2: Lost in New York" "Fox" 359 173.6 185.4 "November 20" 1992 "Family Comedy" "PG" 2461 6.6 "Family" "Comedy" NA 120 NA "Chris Columbus" "" "Macaulay Culkin" "Joe Pesci" NA "hs" "homealone2:lostinnewyork" 0 0 1 NA NA NA "4.15" 363.93 NA NA 6 18 4 13 7 11
"272" 272 272 "Hotel Transylvania" "Sony" 358.4 148.3 210.1 "September 28" 2012 "Animation" "PG" 3375 7.1 "Animation" "" 42.5 91 20.6 "Genndy Tartakovsky" "" "Adam Sandler" "Andy Samberg" 85 "ns" "hoteltransylvania" 0 0 0 NA NA 1.74 "7.96" 162.09 46.45 92.9 6 15 50 5 68 24
"273" 273 273 "Minority Report" "Fox" 358.4 132.1 226.3 "June 21" 2002 "Sci-Fi Thriller" "PG-13" 3001 7.7 "Sci-Fi" "Thriller" NA 144 NA "Steven Spielberg" "" "Tom Cruise" "Max von Sydow" 102 "ss" "minorityreport" 0 0 0 240 79 1.3 "5.81" 197.81 NA 152.74 175 168 39 21 76 22
"274" 274 274 "Top Gun" "Par." 356.8 179.8 177 "May 16" 1986 "Action Drama" "PG" NA 6.9 "Action" "Drama" NA 110 NA "Tony Scott" "" "Tom Cruise" "Kelly McGillis" NA "ns" "topgun" 0 0 0 NA NA NA "3.71" 421.63 NA NA 5 13 39 1 76 2
"275" 275 275 "American Beauty" "DW" 356.3 130.1 226.2 "September 15" 1999 "Drama" "R" NA 8.4 "Drama" "" NA 122 NA "Sam Mendes" "" "Kevin Spacey" "Annette Bening" 15 "ns" "americanbeauty" 0 0 0 180 77 8.67 "5.08" 222.81 NA 25.69 39 25 54 42 72 81
"276" 276 276 "Apollo 13" "Uni." 355.2 173.8 181.4 "June 30" 1995 "Action Thriller" "PG" NA 7.6 "Action" "Thriller" NA 140 NA "Ron Howard" "" "Tom Hanks" "Bill Paxton" NA "ss" "apollo13" 0 0 1 85 84 NA "4.35" 347.6 NA NA 38 65 76 6 115 22
"277" 277 277 "Rain Man" "MGM" 354.8 172.8 182 "December 16" 1988 "Drama" "R" NA 8 "Drama" "" NA 133 NA "Barry Levinson" "" "Dustin Hoffman" "Tom Cruise" 25 "hs" "rainman" 0 0 0 69 79 6.91 "4.11" 365.78 NA 52.92 29 37 58 39 49 76
"278" 278 278 "X-Men: First Class" "Fox" 353.6 146.4 207.2 "June 3" 2011 "AA" "PG-13" 3692 7.8 "AA" "" 55.1 131 17 "Matthew Vaughn" "" "James McAvoy" "Laurence Belcher" 160 "ss" "xmen:firstclass" 4 1 1 270 76 0.92 "7.93" 160.62 60.45 175.54 5 16 11 NA 25 NA
"279" 279 279 "Basic Instinct" "TriS" 352.9 117.7 235.2 "March 20" 1992 "Thriller" "R" NA 6.9 "Thriller" "" NA 123 NA "Paul Verhoeven" "" "Michael Douglas" "Sharon Stone" 49 "ns" "basicinstinct" 0 0 0 59 42 2.4 "4.15" 246.74 NA 102.72 25 19 58 19 36 33
"280" 280 280 "GoldenEye" "MGM" 352.2 106.4 245.8 "November 17" 1995 "Action" "PG-13" NA 7.2 "Action" "" NA 130 NA "Martin Campbell" "" "Pierce Brosnan" "Sean Bean" NA "ns" "goldeneye" 0 0 0 72 66 NA "4.35" 212.8 NA NA 2 10 17 13 20 11
"281" 281 281 "Catch Me If You Can" "DW" 352.1 164.6 187.5 "December 25" 2002 "Comedy / Drama" "PG-13" 3225 8 "Comedy" "Drama" 30.1 140 21.3 "Steven Spielberg" "" "Leonardo DiCaprio" "Tom Hanks" 52 "hs" "catchmeifyoucan" 0 0 0 195 85 3.17 "5.81" 246.48 45.07 77.87 175 168 85 76 195 115
"282" 282 282 "Now You See Me" "LG/S" 351.7 117.7 234 "May 31" 2013 "Thriller" "PG-13" 3082 7.3 "Thriller" "" 29.4 116 17 "Louis Leterrier" "" "Jesse Eisenberg" "Mark Ruffalo" 75 "ss" "nowyouseeme" 0 0 0 NA NA 1.57 "8.13" 125.95 31.46 80.26 NA NA 20 26 54 108
"283" 283 283 "Hannibal" "MGM" 351.7 165.1 186.6 "February 9" 2001 "Thriller" "R" 3292 8.6 "Thriller" "" NA 131 NA "Bryan Fuller" "" "Hugh Dancy" "Mads Mikkelsen" 87 "ns" "hannibal" 0 0 0 NA NA 1.9 "5.66" 253.78 NA 133.73 2 9 1 25 14 34
"284" 284 284 "The Mask" "NL" 351.6 119.9 231.6 "July 29" 1994 "Comedy" "PG-13" NA 6.9 "Comedy" "" NA 97 NA "Chuck Russell" "" "Jim Carrey" "Peter Riegert" 23 "ss" "themask" 0 0 0 52 65 5.21 "4.18" 249.55 NA 47.87 1 5 45 3 88 3
"285" 285 285 "The Great Gatsby" "WB" 351 144.8 206.2 "May 10" 2013 "Drama" "PG-13" 3550 7.3 "Drama" "" 50.1 143 15 "Baz Luhrmann" "" "Lisa Adam" "Frank Aldridge" 105 "ns" "thegreatgatsby" 0 0 0 NA NA 1.38 "8.13" 154.95 53.61 112.36 33 49 NA NA NA NA
"286" 286 286 "Speed" "Fox" 350.4 121.2 229.2 "June 10" 1994 "Action Thriller" "R" 2169 7.2 "Action" "Thriller" NA 116 NA "Jan de Bont" "" "Keanu Reeves" "Dennis Hopper" 30 "ss" "speed" 0 0 0 60 82 4.04 "4.18" 252.26 NA 62.44 0 7 11 23 20 16
"287" 287 287 "Dinosaur" "BV" 349.8 137.7 212.1 "May 19" 2000 "Animation" "PG" NA 6.4 "Animation" "" NA 82 NA "Eric Leighton" "Ralph Zondag" "D.B. Sweeney" "Alfre Woodard" 127.5 "ns" "dinosaur" 0 0 0 122 53 1.08 "5.39" 222.26 NA 205.8 0 4 14 30 1 67
"288" 288 288 "Deep Impact" "Par." 349.5 140.5 209 "May 8" 1998 "Action Drama" "PG-13" NA 6.1 "Action" "Drama" NA 120 NA "Mimi Leder" "" "Robert Duvall" "T¨¦a Leoni" NA "ns" "deepimpact" 0 0 0 52 36 NA "4.69" 260.63 NA NA 4 11 56 1 59 8
"289" 289 289 "Dr. Seuss' The Lorax" "Uni." 348.8 214 134.8 "March 2" 2012 "Animation" "PG" 3769 6.5 "Animation" "" 70.2 95 21 "Chris Renaud" "Kyle Balda" "Danny DeVito" "Ed Helms" 70 "ns" "dr.seuss'thelorax" 0 0 0 NA NA 3.06 "7.96" 233.89 76.73 76.51 0 15 11 4 39 12
"290" 290 290 "The Maze Runner" "Fox" 348.3 102.4 245.9 "September 19" 2014 "Sci-Fi Thriller" "PG-13" 3638 6.8 "Sci-Fi" "Thriller" 32.5 113 20 "Wes Ball" "" "Dylan O'Brien" "Aml Ameen" 34 "ns" "themazerunner" 0 0 0 NA NA 3.01 "8.17" 109.04 34.61 36.21 2 0 6 NA 3 NA
"291" 291 291 "The Smurfs 2" "Sony" 347.5 71 276.5 "July 31" 2013 "Family Comedy" "PG" 3867 5.4 "Family" "Comedy" 17.5 105 15.7 "Raja Gosnell" "" "Hank Azaria" "Neil Patrick Harris" 105 "ss" "thesmurfs2" 0 0 1 NA NA 0.68 "8.13" 75.98 18.73 112.36 NA NA 15 21 25 50
"292" 292 292 "National Treasure" "BV" 347.5 173 174.5 "November 19" 2004 "Adventure" "PG" 3243 6.9 "Adventure" "" 35.1 131 28 "Jon Turteltaub" "" "Nicolas Cage" "Diane Kruger" 100 "ns" "nationaltreasure" 0 0 0 NA NA 1.73 "6.21" 242.37 49.17 140.1 0 2 40 10 60 15
"293" 293 293 "Rush Hour 2" "NL" 347.3 226.2 121.2 "August 3" 2001 "Action Comedy" "PG-13" NA 6.6 "Action" "Comedy" NA 90 NA "Brett Ratner" "" "Jackie Chan" "Chris Tucker" 90 "ss" "rushhour2" 0 0 1 NA NA 2.51 "5.66" 347.69 NA 138.34 3 4 36 8 44 24
"294" 294 294 "I Robot" "Fox" 347.2 144.8 202.4 "July 16" 2004 "Sci-Fi Thriller" "PG-13" 3494 7.1 "Sci-Fi" "Thriller" 52.2 105 24 "Alex Proyas" "" "Will Smith" "Bridget Moynahan" 120 "ss" "irobot" 0 0 0 NA NA 1.21 "6.21" 202.86 73.13 168.12 6 5 56 NA NA NA
"295" 295 295 "Pocahontas" "BV" 346.1 141.6 204.5 "June 16" 1995 "Animation" "G" NA 6.6 "Animation" "" NA 81 NA "Mike Gabriel" "Eric Goldberg" "Irene Bedard" "Judy Kuhn" NA "ss" "pocahontas" 0 0 0 52 44 NA "4.35" 283.2 NA NA 3 1 6 NA 2 NA
"296" 296 296 "How the Grinch Stole Christmas" "Uni." 345.1 260 85.1 "November 17" 2000 "Family Comedy" "PG" 3256 6 "Family" "Comedy" 55.1 104 15 "Ron Howard" "" "Jim Carrey" "Taylor Momsen" 123 "ns" "howthegrinchstolechristmas" 0 0 0 130 41 2.11 "5.39" 419.67 88.94 198.53 38 65 45 0 88 7
"297" 297 297 "Alvin and the Chipmunks: Chipwrecked" "Fox" 342.7 133.1 209.6 "December 16" 2011 "Family Comedy" "G" NA 4.4 "Family" "Comedy" NA 87 NA "Mike Mitchell" "" "Jason Lee" "David Cross" 75 "hs" "alvinandthechipmunks:chipwrecked" 0 0 1 NA NA 1.77 "7.93" 146.02 NA 82.28 6 6 2 7 22 15
"298" 298 298 "The Flintstones" "Uni." 341.6 130.5 211.1 "May 27" 1994 "Family Comedy" "PG" NA 7.5 "Family" "Comedy" NA 91 NA "Joseph Barbera" "William Hanna" "Jean Vander Pyl" "Alan Reed" 46 "ss" "theflintstones" 0 0 0 42 12 2.84 "4.18" 271.61 NA 95.74 8 15 1 NA 0 NA
"299" 299 299 "Wanted" "Uni." 341.4 134.5 206.9 "June 27" 2008 "AA" "R" 3185 6.7 "AA" "" NA 108 NA "Timur Bekmambetov" "" "James McAvoy" "Morgan Freeman" 75 "ss" "wanted" 0 0 0 47 76 1.79 "7.18" 162.97 NA 90.88 3 9 11 56 25 69
"300" 300 300 "Enchanted" "BV" 340.5 127.8 212.7 "November 21" 2007 "Family Adventure" "PG" 3730 7.1 "Family" "Adventure" 34.4 107 16.3 "Kevin Lima" "" "Amy Adams" "Patrick Dempsey" 85 "hs" "enchanted" 0 0 0 187 82 1.5 "6.88" 161.61 43.5 107.49 2 4 54 8 146 20
"301" 301 301 "300: Rise of An Empire" "WB" 337.6 106.6 231 "March 7" 2014 "Period Action" "R" 3490 6.3 "Period" "Action" 45 102 12 "Noam Murro" "" "Sullivan Stapleton" "Eva Green" 110 "ns" "300:riseofanempire" 0 0 1 NA NA 0.97 "8.17" 113.52 47.92 117.14 2 7 0 3 4 15
"302" 302 302 "Batman Forever" "WB" 336.5 184 152.5 "June 16" 1995 "AA" "PG-13" 2893 5.4 "AA" "" 52.8 122 21 "Joel Schumacher" "" "Val Kilmer" "Tommy Lee Jones" 100 "ss" "batmanforever" 2 1 0 58 30 1.84 "4.35" 368 105.6 200 9 8 5 40 13 89
