"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"44" 44 44 "The Hunger Games: Catching Fire" "LGF" 865 424.7 440.3 "November 22" 2013 "AA" "PG-13" 4163 7.6 "AA" "" 158.1 146 19 "Francis Lawrence" "" "Jennifer Lawrence" "Liam Hemsworth" 130 "hs" "thehungergames:catchingfire" 0 0 1 253 78 3.27 "8.13" 454.48 169.18 139.11 3 5 106 6 157 14
"45" 45 45 "Inside Out" "BV" 856.8 356.5 500.3 "June 19" 2015 "Animation" "PG" NA 8.3 "Animation" "" NA 94 NA "Pete Docter" "Ronnie Del Carmen" "Amy Poehler" "Phyllis Smith" 175 "ss" "insideout" 0 0 0 304 87 2.04 "8.43" 367.92 NA 180.6 41 56 18 5 72 8
"46" 46 46 "Star Wars: Episode III - Revenge of the Sith" "Fox" 848.8 380.3 468.5 "May 19" 2005 "Sci-Fi Fantasy" "PG-13" 3663 7.6 "Sci-Fi" "Fantasy" 108.4 146 22.1 "George Lucas" "" "Ewan McGregor" "Natalie Portman" 113 "ns" "starwars:revengeofthesith" 0 0 1 283 67 3.37 "6.41" 516.16 147.13 153.37 40 31 24 58 38 85
"47" 47 47 "Transformers: Revenge of the Fallen" "P/DW" 836.3 402.1 434.2 "June 24" 2009 "Sci-Fi Action" "PG-13" 4293 6 "Sci-Fi" "Action" 109 144 16.3 "Michael Bay" "" "Shia LaBeouf" "Megan Fox" 200 "ss" "transformers:revengeofthefallen" 0 0 1 NA NA 2.01 "7.50" 466.44 126.44 232 7 10 11 6 38 18
"48" 48 48 "The Twilight Saga: Breaking Dawn Part 2" "LG/S" 829.7 292.3 537.4 "November 16" 2012 "Romance" "PG-13" 4070 5.5 "Romance" "" 141.1 116 16 "Bill Condon" "" "Kristen Stewart" "Robert Pattinson" 120 "ns" "thetwilightsaga:breakingdawnpart2" 0 0 1 NA NA 2.44 "7.96" 319.47 154.22 131.16 19 40 41 31 53 30
"49" 49 49 "Inception" "WB" 825.5 292.6 533 "July 16" 2010 "Sci-Fi Action" "PG-13" 3792 8.8 "Sci-Fi" "Action" 62.8 148 25 "Christopher Nolan" "" "Leonardo DiCaprio" "Joseph Gordon-Levitt" 160 "ss" "inception" 0 0 0 325 75 1.83 "7.89" 322.64 69.25 176.43 121 160 85 23 195 60
"50" 50 50 "Spider-Man" "Sony" 821.7 403.7 418 "May 3" 2002 "AA" "PG-13" 3876 7.3 "AA" "" 114.8 121 15.4 "Sam Raimi" "" "Tobey Maguire" "Willem Dafoe" 139 "ns" "spiderman" 3 1 0 236 78 2.9 "5.81" 604.51 171.9 208.14 10 16 7 28 30 36
"51" 51 51 "Independence Day" "Fox" 817.4 306.2 511.2 "July 3" 1996 "Sci-Fi Action" "PG-13" 2977 6.9 "Sci-Fi" "Action" NA 153 NA "Roland Emmerich" "" "Will Smith" "Bill Pullman" 75 "ss" "independenceday" 0 0 0 57 48 4.08 "4.42" 602.7 NA 147.62 13 14 56 5 106 2
"52" 52 52 "Shrek the Third" "P/DW" 799 322.7 476.2 "May 18" 2007 "Animation" "PG" 4172 6.1 "Animation" "" NA 92 NA "Chris Miller" "Raman Hui" "Mike Myers" "Eddie Murphy" 160 "ns" "shrekthethird" 0 0 0 NA NA 2.02 "6.88" 408.07 NA 202.33 12 12 28 30 38 67
"53" 53 53 "Harry Potter and the Prisoner of Azkaban" "WB" 796.7 249.5 547.1 "June 4" 2004 "Fantasy" "PG" 3855 7.8 "Fantasy" "" 93.7 142 25.4 "Alfonso Cuar¨®n" "" "Daniel Radcliffe" "Richard Griffiths" 130 "ss" "harrypotterandtheprisonerofazkaban" 0 0 0 250 80 1.92 "6.21" 349.54 131.27 182.13 100 89 13 0 38 4
