Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
537	537	Con Air	BV	224	101.1	0.451	122.9	0.549	1997	6.8	tt0118880	Colm Meaney	Mykelti Williamson	Simon West	
538	538	Interview with the Vampire	WB	223.7	105.3	0.471	118.4	0.529	1994	7.6	tt0110148	Brad Pitt	Christian Slater	Neil Jordan	
539	539	Flightplan	BV	223.4	89.7	0.402	133.7	0.598	2005	6.2	tt0408790	Jodie Foster	Peter Sarsgaard	Robert Schwentke	
540	540	Yes Man	WB	223.2	97.7	0.438	125.6	0.562	2008	6.8	tt1068680	Jim Carrey	Zooey Deschanel	Peyton Reed	
541	541	Non-Stop	Uni.	222.8	92.2	0.414	130.6	0.586	2014	7	tt2024469	Liam Neeson	Julianne Moore	Jaume Collet-Serra	
542	542	"Honey, I Shrunk the Kids"	BV	222.7	130.7	0.587	92	0.413	1989	6.3	tt0097523	Rick Moranis	Matt Frewer	Joe Johnston	
543	543	Fahrenheit 9/11	Lions	222.4	119.2	0.536	103.3	0.464	2004	7.5	tt0361596	Ben Affleck	Stevie Wonder	Michael Moore	
544	544	Jumper	Fox	222.2	80.2	0.361	142.1	0.639	2008	6.1	tt0489099	Hayden Christensen	Jamie Bell	Doug Liman	
545	545	Wild Wild West	WB	222.1	113.8	0.512	108.3	0.488	1999	4.8	tt0120891	Will Smith	Kevin Kline	Barry Sonnenfeld	
546	546	Presumed Innocent	WB	221.3	86.3	0.39	135	0.61	1990	6.9	tt0100404	Harrison Ford	Brian Dennehy	Alan J. Pakula	
547	547	Scary Movie 3	Dim.	220.7	110	0.498	110.7	0.502	2003	5.4	tt0306047	Pamela Anderson	Jenny McCarthy	David Zucker	
548	548	Elf	NL	220.4	173.4	0.787	47	0.213	2003	6.9	tt0319343	Will Ferrell	James Caan	Jon Favreau	
549	549	Green Lantern	WB	219.9	116.6	0.53	103.3	0.47	2011	5.6	tt1133985	Ryan Reynolds	Blake Lively	Martin Campbell	
550	550	The Terminal	DW	219.4	77.9	0.355	141.5	0.645	2004	7.3	tt0362227	Tom Hanks	Catherine Zeta-Jones	Steven Spielberg	
551	551	What Happens in Vegas	Fox	219.4	80.3	0.366	139.1	0.634	2008	6.1	tt1033643	Cameron Diaz	Ashton Kutcher	Tom Vaughan	
552	552	It's Complicated	Uni.	219.1	112.7	0.515	106.4	0.485	2009	6.6	tt1230414	Meryl Streep	Steve Martin	Nancy Meyers	
553	553	Knocked Up	Uni.	219.1	148.8	0.679	70.3	0.321	2007	7	tt0478311	Seth Rogen	Katherine Heigl	Judd Apatow	
554	554	Captain Phillips	Sony	218.8	107.1	0.49	111.7	0.51	2013	7.9	tt1535109	Tom Hanks	Catherine Keener	Paul Greengrass	
555	555	The Prince of Egypt	DW	218.6	101.4	0.464	117.2	0.536	1998	7	tt0120794	Val Kilmer	Ralph Fiennes	Brenda Chapman	Steve Hickner
556	556	Jack Reacher	Par.	218.3	80.1	0.367	138.3	0.633	2012	7	tt0790724	Tom Cruise	Rosamund Pike	Christopher McQuarrie	
557	557	Collateral	DW	217.8	101	0.464	116.8	0.536	2004	7.6	tt0369339	Tom Cruise	Jamie Foxx	Michael Mann	
558	558	Dracula Untold	Uni.	217.1	56.3	0.259	160.8	0.741	2014	6.3	tt0829150	Luke Evans	Sarah Gadon	Gary Shore	
559	559	Million Dollar Baby	WB	216.8	100.5	0.464	116.3	0.536	2004	8.1	tt0405159	Clint Eastwood	Hilary Swank	Clint Eastwood	
560	560	Ted 2	Uni.	216.7	81.5	0.376	135.2	0.624	2015	6.4	tt2637276	Mark Wahlberg	Seth MacFarlane	Seth MacFarlane	
561	561	The Help	BV	216.6	169.7	0.783	46.9	0.217	2011	8.1	tt1454029	Emma Stone	Viola Davis	Tate Taylor	
562	562	Twins	Uni.	216.6	111.9	0.517	104.7	0.483	1988	6	tt0096320	Arnold Schwarzenegger	Danny DeVito	Ivan Reitman	
563	563	Valentine's Day	WB (NL)	216.5	110.5	0.51	106	0.49	2010	5.8	tt0817230	Jessica Alba	Kathy Bates	Garry Marshall	
564	564	Bad Teacher	Sony	216.2	100.3	0.464	115.9	0.536	2011	5.7	tt1284575	Cameron Diaz	Lucy Punch	Jake Kasdan	
565	565	Clear and Present Danger	Par.	215.9	122.2	0.566	93.7	0.434	1994	6.9	tt0109444	Harrison Ford	Willem Dafoe	Phillip Noyce	
566	566	101 Dalmatians	Dis.	215.9	144.9	0.671	71	0.329	1961^	7.2	tt0055254	Rod Taylor	J. Pat O'Malley	Clyde Geronimi	Hamilton Luske
567	567	Bram Stoker's Dracula	Col.	215.9	82.5	0.382	133.3	0.618	1992	7.5	tt0103874	Gary Oldman	Winona Ryder	Francis Ford Coppola	
568	568	Vertical Limit	Sony	215.7	69.2	0.321	146.4	0.679	2000	5.9	tt0190865	Chris O'Donnell	Robin Tunney	Martin Campbell	
569	569	Alvin and the Chipmunks: The Road Chip	Fox	215.6	84.6	0.392	131	0.608	2015	4.2	tt2974918	Jason Lee	Justin Long	Walt Becker	
570	570	Ghostbusters II	Col.	215.4	112.5	0.522	102.9	0.478	1989	6.5	tt0097428	Bill Murray	Dan Aykroyd	Ivan Reitman	
571	571	The Patriot	Sony	215.3	113.3	0.526	102	0.474	2000	7.1	tt0187393	Mel Gibson	Heath Ledger	Roland Emmerich	
572	572	The Sorcerer's Apprentice	BV	215.3	63.2	0.293	152.1	0.707	2010	6.1	tt0963966	Nicolas Cage	Jay Baruchel	Jon Turteltaub	
573	573	Just Go With It	Sony	214.9	103	0.479	111.9	0.521	2011	6.4	tt1564367	Adam Sandler	Jennifer Aniston	Dennis Dugan	
574	574	Public Enemies	Uni.	214.1	97.1	0.454	117	0.546	2009	7	tt1152836	David Wenham	Christian Stolte	Michael Mann	
575	575	The Bourne Identity	Uni.	214	121.7	0.568	92.4	0.432	2002	7.9	tt0258463	Matt Damon	Franka Potente	Doug Liman	
576	576	Disclosure	WB	214	83	0.388	131	0.612	1994	6	tt0109635	Michael Douglas	Demi Moore	Barry Levinson	
577	577	Dirty Dancing	Vest	214	64	0.299	150	0.701	1987^	6.9	tt0092890	Jennifer Grey	Patrick Swayze	Emile Ardolino	
578	578	Pulp Fiction	Mira.	213.9	107.9	0.505	106	0.495	1994	8.9	tt0110912	Tim Roth	Laura Lovelace	Quentin Tarantino	
579	579	The Aviator	Mira.	213.7	102.6	0.48	111.1	0.52	2004	7.5	tt0338751	Leonardo DiCaprio	Cate Blanchett	Martin Scorsese	
580	580	"Crouching Tiger, Hidden Dragon"	SPC	213.5	128.1	0.6	85.4	0.4	2000	7.9	tt0190332	Yun-Fat Chow	Michelle Yeoh	Ang Lee	
581	581	Into the Woods	BV	213.1	128	0.601	85.1	0.399	2014	6	tt2180411	Anna Kendrick	Daniel Huttlestone	Rob Marshall	
582	582	Bedtime Stories	BV	212.9	110.1	0.517	102.8	0.483	2008	6.1	tt0960731	Adam Sandler	Keri Russell	Adam Shankman	
583	583	Miss Congeniality	WB	212.7	106.8	0.502	105.9	0.498	2000	6.1	tt0212346	Sandra Bullock	Michael Caine	Donald Petrie	
584	584	Entrapment	Fox	212.4	87.7	0.413	124.7	0.587	1999	6.2	tt0137494	Sean Connery	Catherine Zeta-Jones	Jon Amiel	
585	585	Ace Ventura: When Nature Calls	WB	212.4	108.4	0.51	104	0.49	1995	6.3	tt0112281	Jim Carrey	Ian McNeice	Steve Oedekerk	
586	586	Master and Commander: The Far Side of the World	Fox	212	93.9	0.443	118.1	0.557	2003	7.4	tt0311113	Russell Crowe	Paul Bettany	Peter Weir	
587	587	End of Days	Uni.	212	66.9	0.316	145.1	0.684	1999	5.7	tt0146675	Arnold Schwarzenegger	Gabriel Byrne	Peter Hyams	
588	588	Battle: Los Angeles	Sony	211.8	83.6	0.394	128.3	0.606	2011	5.8	tt1217613	Aaron Eckhart	Ramon Rodriguez	Jonathan Liebesman	
589	589	Fury (2014)	Sony	211.8	85.8	0.405	126	0.595	2014		tt4545784	Richard Dennison	Dolly Parton	Richard Dennison	Dolly Parton
590	590	Due Date	WB	211.8	100.5	0.475	111.2	0.525	2010	6.6	tt1231583	Robert Downey Jr.	Zach Galifianakis	Todd Phillips	
591	591	Kingdom of Heaven	Fox	211.7	47.4	0.224	164.3	0.776	2005	7.2	tt0320661	Martin Hancock	Michael Sheen	Ridley Scott	
592	592	The Little Mermaid	BV	211.3	111.5	0.528	99.8	0.472	1989^	7.6	tt0097757	Rene Auberjonois	Christopher Daniel Barnes	Ron Clements	John Musker
593	593	Australia	Fox	211.3	49.6	0.234	161.8	0.766	2008	6.6	tt0455824	Shea Adams	Eddie Baroo	Baz Luhrmann	
594	594	District 9	TriS	210.8	115.6	0.549	95.2	0.451	2009	8	tt1136608	Sharlto Copley	Jason Cope	Neill Blomkamp	
595	595	Braveheart	Par.	210.4	75.6	0.359	134.8	0.641	1995	8.4	tt0112573	James Robinson	Sean Lawlor	Mel Gibson	
596	596	Moonraker	MGM	210.3	70.3	0.334	140	0.666	1979	6.3	tt0079574	Roger Moore	Lois Chiles	Lewis Gilbert	
597	597	The Others	Mira.	209.9	96.5	0.46	113.4	0.54	2001	7.6	tt0230600	Nicole Kidman	Fionnula Flanagan	Alejandro Amen¨¢bar	
598	598	Horrible Bosses	WB (NL)	209.6	117.5	0.561	92.1	0.439	2011	6.9	tt1499658	Jason Bateman	Steve Wiebe	Seth Gordon	
599	599	Red Dragon	Uni.	209.2	93.1	0.445	116	0.555	2002	7.2	tt0289765	Anthony Hopkins	Edward Norton	Brett Ratner	
600	600	Lemony Snicket's A Series of Unfortunate Events	Par.	209.1	118.6	0.567	90.4	0.433	2004	6.8	tt0339291	Jim Carrey	Liam Aiken	Brad Silberling	
601	601	Tomorrowland	BV	209	93.4	0.447	115.6	0.553	2015	6.5	tt1964418	George Clooney	Hugh Laurie	Brad Bird	
602	602	Safe House	Uni.	208.1	126.4	0.607	81.7	0.393	2012	6.8	tt1599348	Denzel Washington	Ryan Reynolds	Daniel Espinosa	
603	603	S.W.A.T.	Sony	207.7	116.9	0.563	90.8	0.437	2003	6	tt0257076	Samuel L. Jackson	Colin Farrell	Clark Johnson	
604	604	Traffic	USA	207.5	124.1	0.598	83.4	0.402	2000	7.6	tt0181865	Benicio Del Toro	Jacob Vargas	Steven Soderbergh	
605	605	The Fast and the Furious	Uni.	207.3	144.5	0.697	62.8	0.303	2001	6.7	tt0232500	Paul Walker	Vin Diesel	Rob Cohen	
606	606	Paranormal Activity 3	Par.	207	104	0.502	103	0.498	2011	5.8	tt1778304	Lauren Bittner	Christopher Nicholas Smith	Henry Joost	Ariel Schulman
607	607	Philadelphia	TriS	206.7	77.4	0.375	129.2	0.625	1993	7.7	tt0107818	Tom Hanks	Denzel Washington	Jonathan Demme	
608	608	The Expendables 3	LGF	206.2	39.3	0.191	166.9	0.809	2014	6.1	tt2333784	Sylvester Stallone	Jason Statham	Patrick Hughes	
609	609	Sleepy Hollow	Par.	206.1	101.1	0.49	105	0.51	1999	7.4	tt0162661	Johnny Depp	Christina Ricci	Tim Burton	
610	610	The Jungle Book	Dis.	205.8	141.8	0.689	64	0.311	1967^	7.6	tt0061852	Phil Harris	Sebastian Cabot	Wolfgang Reitherman	
611	611	JFK	WB	205.4	70.4	0.343	135	0.657	1991	8	tt0102138	Sally Kirkland	Anthony Ramirez	Oliver Stone	
612	612	White House Down	Sony	205.4	73.1	0.356	132.3	0.644	2013	6.4	tt2334879	Channing Tatum	Jamie Foxx	Roland Emmerich	
613	613	The Ugly Truth	Sony	205.3	88.9	0.433	116.4	0.567	2009	6.5	tt1142988	Katherine Heigl	Gerard Butler	Robert Luketic	
614	614	The Holiday	Sony	205.1	63.2	0.308	141.9	0.692	2006	6.9	tt0457939	Cameron Diaz	Kate Winslet	Nancy Meyers	
615	615	The Break-Up	Uni.	205	118.7	0.579	86.3	0.421	2006	5.8	tt0452594	Vince Vaughn	Jennifer Aniston	Peyton Reed	
616	616	Eat Pray Love	Sony	204.6	80.6	0.394	124	0.606	2010	5.7	tt0879870	Julia Roberts	I. Gusti Ayu Puspawati	Ryan Murphy	
617	617	King Arthur	BV	203.6	51.9	0.255	151.7	0.745	2004	6.3	tt0349683	Clive Owen	Ioan Gruffudd	Antoine Fuqua	
618	618	Everest (2015)	Uni.	203.4	43.5	0.214	159.9	0.786	2015		tt0462675	Asil Ra_s	Christopher Thompson	Henri de Gerlache	
619	619	Vanilla Sky	Par.	203.4	100.6	0.495	102.8	0.505	2001	6.9	tt0259711	Tom Cruise	Pen¨¦lope Cruz	Cameron Crowe	
620	620	Need for Speed	BV	203.3	43.6	0.214	159.7	0.786	2014	6.5	tt2369135	Aaron Paul	Dominic Cooper	Scott Waugh	
621	621	Hairspray (2007)	NL	202.5	118.9	0.587	83.7	0.413	2007	6.8	tt0427327	John Travolta	Michelle Pfeiffer	Adam Shankman	
622	622	Patch Adams	Uni.	202.3	135	0.667	67.3	0.333	1998	6.7	tt0129290	Robin Williams	Daniel London	Tom Shadyac	
623	623	Fun with Dick and Jane	Sony	202	110.3	0.546	91.7	0.454	2005	6.1	tt0369441	Jim Carrey	T¨¦a Leoni	Dean Parisot	
624	624	Teenage Mutant Ninja Turtles	NL	202	135.3	0.67	66.7	0.33	1990	5.9	tt1291150	Megan Fox	Will Arnett	Jonathan Liebesman	
625	625	Kindergarten Cop	Uni.	202	91.5	0.453	110.5	0.547	1990	6	tt0099938	Arnold Schwarzenegger	Penelope Ann Miller	Ivan Reitman	
626	626	Ponyo	BV	201.8	15.1	0.075	186.7	0.925	2009	7.7	tt0876563	Tomoko Yamaguchi	Kazushige Nagashima	Hayao Miyazaki	
627	627	Straight Outta Compton	Uni.	201.6	161.2	0.799	40.4	0.201	2015	8	tt1398426	O'Shea Jackson Jr.	Corey Hawkins	F. Gary Gray	
628	628	21 Jump Street	Sony	201.6	138.4	0.687	63.1	0.313	2012	7.2	tt1232829	Jonah Hill	Channing Tatum	Phil Lord	Christopher Miller
629	629	Yogi Bear	WB	201.6	100.2	0.497	101.3	0.503	2010	4.6	tt1302067	Dan Aykroyd	Justin Timberlake	Eric Brevig	
630	630	Garfield: The Movie	Fox	200.8	75.4	0.375	125.4	0.625	2004	4.9	tt0356634	Breckin Meyer	Jennifer Love Hewitt	Peter Hewitt	
631	631	Cats & Dogs	WB	200.7	93.4	0.465	107.3	0.535	2001	5.2	tt0239395	Jeff Goldblum	Elizabeth Perkins	Lawrence Guterman	
632	632	The Hunt for Red October	Par.	200.5	122	0.609	78.5	0.391	1990	7.6	tt0099810	Sean Connery	Alec Baldwin	John McTiernan	
633	633	Valkyrie	UA	200.3	83.1	0.415	117.2	0.585	2008	7.1	tt0985699	Tom Cruise	Kenneth Branagh	Bryan Singer	
