Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
108	108	Casino Royale	Sony	599	167.4	0.28	431.6	0.72	2006	8	tt0381061	Daniel Craig	Eva Green	Martin Campbell	
109	109	Tangled	BV	591.8	200.8	0.339	391	0.661	2010	7.8	tt0398286	Mandy Moore	Zachary Levi	Nathan Greno	Byron Howard
110	110	War of the Worlds	Par.	591.7	234.3	0.396	357.5	0.604	2005	6.5	tt0407304	Tom Cruise	Dakota Fanning	Steven Spielberg	
111	111	Men in Black	Sony	589.4	250.7	0.425	338.7	0.575	1997	7.3	tt0119654	Tommy Lee Jones	Will Smith	Barry Sonnenfeld	
112	112	The Croods	Fox	587.2	187.2	0.319	400	0.681	2013	7.3	tt0481499	Nicolas Cage	Emma Stone	Kirk De Micco	Chris Sanders
113	113	The Hangover Part II	WB	586.8	254.5	0.434	332.3	0.566	2011	6.5	tt1411697	Bradley Cooper	Ed Helms	Todd Phillips	
114	114	Quantum of Solace	Sony	586.1	168.4	0.287	417.7	0.713	2008	6.7	tt0830515	Daniel Craig	Olga Kurylenko	Marc Forster	
115	115	I Am Legend	WB	585.3	256.4	0.438	329	0.562	2007	7.2	tt0480249	Will Smith	Alice Braga	Francis Lawrence	
116	116	Iron Man	Par.	585.2	318.4	0.544	266.8	0.456	2008	7.9	tt0371746	Robert Downey Jr.	Terrence Howard	Jon Favreau	
117	117	Night at the Museum	Fox	574.5	250.9	0.437	323.6	0.563	2006	6.4	tt0477347	Ben Stiller	Carla Gugino	Shawn Levy	
118	118	Fifty Shades of Grey	Uni.	571	166.2	0.291	404.8	0.709	2015	4.1	tt2322441	Dakota Johnson	Jamie Dornan	Sam Taylor-Johnson	
119	119	The Smurfs	Sony	563.7	142.6	0.253	421.1	0.747	2011	5.5	tt0472181	Hank Azaria	Neil Patrick Harris	Raja Gosnell	
120	120	"Monsters, Inc."	BV	562.8	289.9	0.515	272.9	0.485	2001^	8.1	tt0198781	John Goodman	Billy Crystal	Pete Docter	David Silverman
121	121	Cars 2	BV	559.9	191.5	0.342	368.4	0.658	2011	6.3	tt1216475	Larry the Cable Guy	Owen Wilson	John Lasseter	Brad Lewis
122	122	Puss in Boots	P/DW	555	149.3	0.269	405.7	0.731	2011	6.7	tt0448694	Antonio Banderas	Salma Hayek	Chris Miller	
123	123	Armageddon	BV	553.7	201.6	0.364	352.1	0.636	1998	6.6	tt0120591	Bruce Willis	Billy Bob Thornton	Michael Bay	
124	124	King Kong	Uni.	550.5	218.1	0.396	332.4	0.604	2005	7.2	tt0360717	Naomi Watts	Jack Black	Peter Jackson	
125	125	Ted	Uni.	549.4	218.8	0.398	330.6	0.602	2012	7	tt1637725	Mark Wahlberg	Mila Kunis	Seth MacFarlane	
126	126	American Sniper	WB	547.4	350.1	0.64	197.3	0.36	2014	7.3	tt2179136	Bradley Cooper	Kyle Gallner	Clint Eastwood	
127	127	Mission: Impossible II	Par.	546.4	215.4	0.394	331	0.606	2000	6.1	tt0120755	Tom Cruise	Dougray Scott	John Woo	
128	128	Sherlock Holmes: A Game of Shadows	WB	545.4	186.8	0.343	358.6	0.657	2011	7.5	tt1515091	Robert Downey Jr.	Jude Law	Guy Ritchie	
129	129	The Day After Tomorrow	Fox	544.3	186.7	0.343	357.5	0.657	2004	6.4	tt0319262	Dennis Quaid	Jake Gyllenhaal	Roland Emmerich	
130	130	Despicable Me	Uni.	543.1	251.5	0.463	291.6	0.537	2010	7.7	tt1323594	Steve Carell	Jason Segel	Pierre Coffin	Chris Renaud
131	131	Cinderella (2015)	BV	542.7	201.2	0.371	341.5	0.629	2015	7	tt1661199	Cate Blanchett	Lily James	Kenneth Branagh	
132	132	World War Z	Par.	540	202.4	0.375	337.6	0.625	2013	7	tt0816711	Brad Pitt	Mireille Enos	Marc Forster	
