"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"1048"	47	130	"The Woodsman "	"88%"	"2004"	"thewoodsman"
"1049"	48	187	"Garden State "	"86%"	"2004"	"gardenstate"
"1050"	49	83	"Going Upriver: The Long War of John Kerry "	"89%"	"2004"	"goingupriver:thelongwarofjohnkerry"
"1051"	50	75	"Kitchen Stories "	"89%"	"2004"	"kitchenstories"
"1052"	51	72	"Brothers "	"89%"	"2004"	"brothers"
"1053"	52	230	"Kill Bill: Volume 2 "	"84%"	"2004"	"killbill:volume2"
"1054"	53	40	"Last Life in the Universe "	"90%"	"2004"	"lastlifeintheuniverse"
"1055"	54	40	"James' Journey to Jerusalem "	"90%"	"2004"	"james'journeytojerusalem"
"1056"	55	229	"Fahrenheit 9/11 "	"83%"	"2004"	"fahrenheit9/11"
"1057"	56	90	"3-Iron "	"87%"	"2004"	"3-iron"
"1058"	57	50	"Touch The Sound "	"88%"	"2004"	"touchthesound"
"1059"	58	76	"Mayor of the Sunset Strip "	"87%"	"2004"	"mayorofthesunsetstrip"
"1060"	59	202	"Finding Neverland "	"83%"	"2004"	"findingneverland"
"1061"	60	43	"Uzak Distant) "	"88%"	"2004"	"uzakdistant)"
"1062"	61	63	"Lightning in a Bottle "	"87%"	"2004"	"lightninginabottle"
"1063"	62	154	"The Motorcycle Diaries "	"84%"	"2004"	"themotorcyclediaries"
"1064"	63	175	"Mean Girls "	"83%"	"2004"	"meangirls"
"1065"	64	79	"Wilbur Wants to Kill Himself "	"86%"	"2004"	"wilburwantstokillhimself"
"1066"	65	46	"Guerrilla: The Taking of Patty Hearst "	"87%"	"2004"	"guerrilla:thetakingofpattyhearst"
"1067"	66	73	"Crimson Gold "	"86%"	"2004"	"crimsongold"
"1068"	67	167	"In Good Company "	"83%"	"2004"	"ingoodcompany"
"1069"	68	131	"The Sea Inside Mar Adentro) The Sea Within) "	"84%"	"2004"	"theseainsidemaradentro)theseawithin)"
"1070"	69	58	"Aileen: Life and Death of a Serial Killer "	"86%"	"2004"	"aileen:lifeanddeathofaserialkiller"
"1071"	70	184	"Monster "	"82%"	"2004"	"monster"
"1072"	71	57	"Bright Leaves "	"86%"	"2004"	"brightleaves"
"1073"	72	201	"The Manchurian Candidate "	"81%"	"2004"	"themanchuriancandidate"
"1074"	73	198	"Ray "	"81%"	"2004"	"ray"
"1075"	74	198	"Hellboy "	"81%"	"2004"	"hellboy"
"1076"	75	190	"The Bourne Supremacy "	"81%"	"2004"	"thebournesupremacy"
"1077"	76	59	"Outfoxed: Rupert Murdoch's War on Journalism "	"85%"	"2004"	"outfoxed:rupertmurdoch'swaronjournalism"
"1078"	77	83	"The Yes Men "	"84%"	"2004"	"theyesmen"
"1079"	78	168	"Friday Night Lights "	"81%"	"2004"	"fridaynightlights"
"1080"	79	86	"Red Lights "	"83%"	"2004"	"redlights"
"1081"	80	65	"Up and Down Horem Pü¾Ž†„¼ü¾Œ¦„¼dem) Loop the Loop) "	"83%"	"2004"	"upanddownhorempü¾Ž†„¼ü¾Œ¦„¼dem)looptheloop)"
"1082"	81	64	"Somersault "	"83%"	"2004"	"somersault"
"1083"	82	158	"Miracle "	"80%"	"2004"	"miracle"
"1084"	83	46	"Broadway: The Golden Age "	"83%"	"2004"	"broadway:thegoldenage"
"1085"	84	194	"Team America: World Police "	"77%"	"2004"	"teamamerica:worldpolice"
"1086"	85	144	"A Very Long Engagement "	"78%"	"2004"	"averylongengagement"
"1087"	86	227	"Crash "	"75%"	"2004"	"crash"
"1088"	87	114	"Two Brothers "	"78%"	"2004"	"twobrothers"
"1089"	88	141	"The Machinist "	"77%"	"2004"	"themachinist"
"1090"	89	76	"American Experience "	"79%"	"2004"	"americanexperience"
"1091"	90	41	"Tae Guk Gi: The Brotherhood of War "	"80%"	"2004"	"taegukgi:thebrotherhoodofwar"
"1092"	91	101	"The Saddest Music in the World "	"78%"	"2004"	"thesaddestmusicintheworld"
"1093"	92	181	"Dawn of the Dead "	"75%"	"2004"	"dawnofthedead"
"1094"	93	77	"Overnight "	"78%"	"2004"	"overnight"
"1095"	94	123	"Being Julia "	"76%"	"2004"	"beingjulia"
"1096"	95	88	"The Mother "	"77%"	"2004"	"themother"
"1097"	96	70	"It's All Gone Pete Tong "	"77%"	"2004"	"it'sallgonepetetong"
"1098"	97	95	"Bon Voyage "	"76%"	"2004"	"bonvoyage"
"1099"	98	147	"Harold & Kumar Go to White Castle "	"74%"	"2004"	"harold&kumargotowhitecastle"
"1100"	99	208	"Sky Captain and the World of Tomorrow "	"72%"	"2004"	"skycaptainandtheworldoftomorrow"
"1101"	100	48	"Uncovered: The War on Iraq "	"77%"	"2004"	"uncovered:thewaroniraq"
"1102"	1	138	"Murderball "	"98%"	"2005"	"murderball"
"1103"	2	176	"Wallace & Gromit: The Curse of the Were-Rabbit "	"95%"	"2005"	"wallace&gromit:thecurseofthewere-rabbit"
"1104"	3	117	"Enron: The Smartest Guys in the Room "	"97%"	"2005"	"enron:thesmartestguysintheroom"
"1105"	4	216	"Good Night, And Good Luck "	"93%"	"2005"	"goodnight,andgoodluck"
"1106"	5	180	"March of the Penguins "	"94%"	"2005"	"marchofthepenguins"
"1107"	6	98	"The Wild Parrots of Telegraph Hill "	"95%"	"2005"	"thewildparrotsoftelegraphhill"
"1108"	7	141	"The Squid and the Whale "	"93%"	"2005"	"thesquidandthewhale"
"1109"	8	136	"Grizzly Man "	"93%"	"2005"	"grizzlyman"
"1110"	9	246	"Harry Potter and the Goblet of Fire "	"88%"	"2005"	"harrypotterandthegobletoffire"
"1111"	10	182	"Capote "	"90%"	"2005"	"capote"
"1112"	11	182	"Kung Fu Hustle "	"90%"	"2005"	"kungfuhustle"
"1113"	12	234	"Brokeback Mountain "	"87%"	"2005"	"brokebackmountain"
"1114"	13	61	"Duma "	"93%"	"2005"	"duma"
"1115"	14	61	"Ushpizin "	"93%"	"2005"	"ushpizin"
"1116"	15	59	"Travelers and Magicians "	"93%"	"2005"	"travelersandmagicians"
"1117"	16	187	"Broken Flowers "	"88%"	"2005"	"brokenflowers"
"1118"	17	267	"Batman Begins "	"85%"	"2005"	"batmanbegins"
"1119"	18	207	"A History of Violence "	"87%"	"2005"	"ahistoryofviolence"
"1120"	19	123	"Tristram Shandy: A Cock & Bull Story "	"90%"	"2005"	"tristramshandy:acock&bullstory"
"1121"	20	90	"Water "	"91%"	"2005"	"water"
"1122"	21	52	"Darwin's Nightmare "	"92%"	"2005"	"darwin'snightmare"
"1123"	22	131	"Cachü¾Ž†„¼ü¾¦„¼ "	"89%"	"2005"	"cachü¾Ž†„¼ü¾¦„¼"
"1124"	23	48	"Up for Grabs "	"92%"	"2005"	"upforgrabs"
"1125"	24	257	"King Kong "	"84%"	"2005"	"kingkong"
"1126"	25	172	"Howl's Moving Castle "	"87%"	"2005"	"howl'smovingcastle"
"1127"	26	58	"Ballets Russes "	"91%"	"2005"	"balletsrusses"
"1128"	27	83	"Head-On "	"90%"	"2005"	"head-on"
"1129"	28	159	"Millions "	"87%"	"2005"	"millions"
"1130"	29	46	"After Innocence "	"91%"	"2005"	"afterinnocence"
"1131"	30	99	"Paradise Now "	"89%"	"2005"	"paradisenow"
"1132"	31	51	"New York Doll "	"90%"	"2005"	"newyorkdoll"
"1133"	32	181	"The 40 Year Old Virgin "	"85%"	"2005"	"the40yearoldvirgin"
"1134"	33	171	"Pride and Prejudice "	"85%"	"2005"	"prideandprejudice"
"1135"	34	171	"Kiss Kiss, Bang Bang "	"85%"	"2005"	"kisskiss,bangbang"
"1136"	35	221	"Charlie and the Chocolate Factory "	"83%"	"2005"	"charlieandthechocolatefactory"
"1137"	36	53	"Tony Takitani "	"89%"	"2005"	"tonytakitani"
"1138"	37	183	"The Constant Gardener "	"84%"	"2005"	"theconstantgardener"
"1139"	38	128	"Junebug "	"86%"	"2005"	"junebug"
"1140"	39	72	"Turtles Can Fly "	"88%"	"2005"	"turtlescanfly"
"1141"	40	98	"Look at Me "	"87%"	"2005"	"lookatme"
"1142"	41	124	"The Proposition "	"86%"	"2005"	"theproposition"
"1143"	42	64	"Tell Them Who You Are "	"88%"	"2005"	"tellthemwhoyouare"
"1144"	43	56	"Rois et Reine Kings and Queen) "	"88%"	"2005"	"roisetreinekingsandqueen)"
"1145"	44	83	"Saving Face "	"87%"	"2005"	"savingface"
"1146"	45	51	"The Cave of the Yellow Dog Die Hohle des gelben Hundes) "	"88%"	"2005"	"thecaveoftheyellowdogdiehohledesgelbenhundes)"
"1147"	46	187	"Tim Burton's Corpse Bride "	"83%"	"2005"	"timburton'scorpsebride"
"1148"	47	105	"Ong-Bak Ong Bak: Muay Thai Warrior) "	"86%"	"2005"	"ong-bakongbak:muaythaiwarrior)"
"1149"	48	49	"Shake Hands with the Devil: The Journey of Romeo Dallaire "	"88%"	"2005"	"shakehandswiththedevil:thejourneyofromeodallaire"
"1150"	49	96	"The Heart of the Game "	"86%"	"2005"	"theheartofthegame"
"1151"	50	41	"The Syrian Bride "	"88%"	"2005"	"thesyrianbride"
"1152"	51	204	"Walk the Line "	"82%"	"2005"	"walktheline"
"1153"	52	283	"Star Wars: Episode III - Revenge of the Sith "	"79%"	"2005"	"starwars:episodeiii-revengeofthesith"
"1154"	53	114	""	"85%"	"2046 (*2005"	""
"1155"	54	104	"Gunner Palace "	"85%"	"2005"	"gunnerpalace"
"1156"	55	180	"Serenity "	"82%"	"2005"	"serenity"
"1157"	56	95	"De Battre mon Coeur s'est Arrü¾Ž†„¼ü¾˜–ˆ¼tü¾Ž†„¼ü¾¦„¼ The Beat That My Heart Skipped) "	"85%"	"2005"	"debattremoncoeurs'estarrü¾Ž†„¼ü¾˜–ˆ¼tü¾Ž†„¼ü¾¦„¼thebeatthatmyheartskipped)"
"1158"	57	117	"Mad Hot Ballroom "	"84%"	"2005"	"madhotballroom"
"1159"	58	50	"Three Times Zui hao de shi guang) "	"86%"	"2005"	"threetimeszuihaodeshiguang)"
"1160"	59	103	"Mysterious Skin "	"84%"	"2005"	"mysteriousskin"
"1161"	60	155	"Hustle & Flow "	"82%"	"2005"	"hustle&flow"
"1162"	61	209	"Cinderella Man "	"80%"	"2005"	"cinderellaman"
"1163"	62	120	"Inside Deep Throat "	"83%"	"2005"	"insidedeepthroat"
"1164"	63	140	"The World's Fastest Indian "	"82%"	"2005"	"theworld'sfastestindian"
"1165"	64	245	"Sin City "	"78%"	"2005"	"sincity"
"1166"	65	53	"The Perfect Crime El Crimen Perfecto)Crimen ferpecto) "	"85%"	"2005"	"theperfectcrimeelcrimenperfecto)crimenferpecto)"
"1167"	66	41	"La Moustache "	"85%"	"2005"	"lamoustache"
"1168"	67	67	"De Zaak Alzheimer "	"84%"	"2005"	"dezaakalzheimer"
"1169"	68	67	"13 Tzameti "	"84%"	"2005"	"13tzameti"
"1170"	69	90	"Rize "	"83%"	"2005"	"rize"
"1171"	70	62	"Beyond the Gates "	"84%"	"2005"	"beyondthegates"
"1172"	71	62	"Three...Extremes Saam gaang yi) "	"84%"	"2005"	"three...extremessaamgaangyi)"
"1173"	72	61	"Aliens of the Deep "	"84%"	"2005"	"aliensofthedeep"
"1174"	73	135	"Layer Cake "	"81%"	"2005"	"layercake"
"1175"	74	186	"Red Eye "	"79%"	"2005"	"redeye"
"1176"	75	201	"Munich "	"78%"	"2005"	"munich"
"1177"	76	111	"Me and You and Everyone We Know "	"81%"	"2005"	"meandyouandeveryoneweknow"
"1178"	77	110	"Dear Frankie "	"81%"	"2005"	"dearfrankie"
"1179"	78	133	"Oldboy "	"80%"	"2005"	"oldboy"
"1180"	79	77	"Rock School "	"82%"	"2005"	"rockschool"
"1181"	80	48	"Lost Embrace "	"83%"	"2005"	"lostembrace"
"1182"	81	42	"The Warrior "	"83%"	"2005"	"thewarrior"
"1183"	82	149	"The Aristocrats "	"79%"	"2005"	"thearistocrats"
"1184"	83	66	"Control "	"82%"	"2005"	"control"
"1185"	84	61	"Keane "	"82%"	"2005"	"keane"
"1186"	85	210	"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe "	"76%"	"2005"	"thechroniclesofnarnia:thelion,thewitchandthewardrobe"
"1187"	86	208	"Match Point "	"76%"	"2005"	"matchpoint"
"1188"	87	251	"War of the Worlds "	"74%"	"2005"	"waroftheworlds"
"1189"	88	86	"Pooh's Heffalump Movie "	"79%"	"2005"	"pooh'sheffalumpmovie"
"1190"	89	129	"The Sisterhood of the Traveling Pants "	"77%"	"2005"	"thesisterhoodofthetravelingpants"
"1191"	90	182	"Wedding Crashers "	"75%"	"2005"	"weddingcrashers"
"1192"	91	163	"In Her Shoes "	"75%"	"2005"	"inhershoes"
"1193"	92	158	"Zathura "	"75%"	"2005"	"zathura"
"1194"	93	181	"The Upside of Anger "	"74%"	"2005"	"theupsideofanger"
"1195"	94	65	"CSA: The Confederate States of America "	"78%"	"2005"	"csa:theconfederatestatesofamerica"
"1196"	95	75	"The Beautiful Country "	"77%"	"2005"	"thebeautifulcountry"
"1197"	96	172	"Land of the Dead "	"73%"	"2005"	"landofthedead"
"1198"	97	62	"Balzac and the Little Chinese Seamstress "	"77%"	"2005"	"balzacandthelittlechineseseamstress"
"1199"	98	192	"Syriana "	"72%"	"2005"	"syriana"
"1200"	99	58	"The Holy Girl "	"76%"	"2005"	"theholygirl"
"1201"	100	84	"Nine Lives "	"75%"	"2005"	"ninelives"
"1202"	1	246	"Casino Royale "	"95%"	"2006"	"casinoroyale"
"1203"	2	186	"The Queen "	"97%"	"2006"	"thequeen"
"1204"	3	224	"Pan's Labyrinth "	"95%"	"2006"	"pan'slabyrinth"
"1205"	4	72	"Deliver Us from Evil "	"100%"	"2006"	"deliverusfromevil"
"1206"	5	237	"Children of Men "	"92%"	"2006"	"childrenofmen"
"1207"	6	263	"The Departed "	"91%"	"2006"	"thedeparted"
"1208"	7	64	"The War Tapes "	"98%"	"2006"	"thewartapes"
"1209"	8	212	"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan "	"92%"	"2006"	"borat:culturallearningsofamericaformakebenefitgloriousnationofkazakhstan"
"1210"	9	49	"Mountain Patrol: Kekexili "	"98%"	"2006"	"mountainpatrol:kekexili"
"1211"	10	49	"Blindsight "	"98%"	"2006"	"blindsight"
"1212"	11	121	"Wordplay "	"95%"	"2006"	"wordplay"
"1213"	12	159	"An Inconvenient Truth "	"93%"	"2006"	"aninconvenienttruth"
"1214"	13	208	"Little Miss Sunshine "	"91%"	"2006"	"littlemisssunshine"
"1215"	14	152	"The Lives of Others "	"93%"	"2006"	"thelivesofothers"
"1216"	15	203	"United 93 "	"91%"	"2006"	"united93"
"1217"	16	197	"Letters from Iwo Jima "	"91%"	"2006"	"lettersfromiwojima"
"1218"	17	83	"Offside "	"95%"	"2006"	"offside"
"1219"	18	108	"Ne le Dis ü¾Ž†„¼ü¾†„¼ Personne Tell No One) "	"94%"	"2006"	"neledisü¾Ž†„¼ü¾†„¼personnetellnoone)"
"1220"	19	54	"Deep Water "	"96%"	"2006"	"deepwater"
"1221"	20	161	"Volver "	"92%"	"2006"	"volver"
"1222"	21	65	"49 Up "	"95%"	"2006"	"49up"
"1223"	22	125	"Dave Chappelle's Block Party "	"92%"	"2006"	"davechappelle'sblockparty"
"1224"	23	50	"American Experience "	"94%"	"2006"	"americanexperience"
"1225"	24	74	"The Death of Mr. Lazarescu "	"93%"	"2006"	"thedeathofmr.lazarescu"
"1226"	25	154	"Half Nelson "	"90%"	"2006"	"halfnelson"
"1227"	26	68	"Lassie "	"93%"	"2006"	"lassie"
"1228"	27	56	"Brand Upon the Brain! "	"93%"	"2006"	"branduponthebrain!"
"1229"	28	45	"Blame It on Fidel La Faute a Fidel) "	"93%"	"2006"	"blameitonfidellafauteafidel)"
"1230"	29	149	"Venus "	"89%"	"2006"	"venus"
"1231"	30	63	"Fateless "	"92%"	"2006"	"fateless"
"1232"	31	48	"Still Life Sanxia Haoren) "	"92%"	"2006"	"stilllifesanxiahaoren)"
"1233"	32	181	"The Last King of Scotland "	"87%"	"2006"	"thelastkingofscotland"
"1234"	33	98	"Neil Young: Heart of Gold "	"90%"	"2006"	"neilyoung:heartofgold"
"1235"	34	65	"Iraq in Fragments "	"91%"	"2006"	"iraqinfragments"
"1236"	35	198	"Inside Man "	"86%"	"2006"	"insideman"
"1237"	36	171	"Notes on a Scandal "	"87%"	"2006"	"notesonascandal"
"1238"	37	106	"The Devil and Daniel Johnston "	"89%"	"2006"	"thedevilanddanieljohnston"
"1239"	38	73	"Duck Season Temporada de patos) "	"90%"	"2006"	"duckseasontemporadadepatos)"
"1240"	39	179	"Thank You for Smoking "	"86%"	"2006"	"thankyouforsmoking"
"1241"	40	122	"Dixie Chicks - Shut Up and Sing "	"88%"	"2006"	"dixiechicks-shutupandsing"
"1242"	41	104	"Who Killed the Electric Car? "	"88%"	"2006"	"whokilledtheelectriccar?"
"1243"	42	76	"Starter for 10 "	"89%"	"2006"	"starterfor10"
"1244"	43	49	"What She Knew "	"90%"	"2006"	"whatsheknew"
"1245"	44	127	"The Namesake "	"87%"	"2006"	"thenamesake"
"1246"	45	171	"The Descent "	"85%"	"2006"	"thedescent"
"1247"	46	136	"Slither "	"86%"	"2006"	"slither"
"1248"	47	80	"Reprise "	"88%"	"2006"	"reprise"
"1249"	48	53	"Sir! No Sir! "	"89%"	"2006"	"sir!nosir!"
"1250"	49	103	"Efter brylluppet After the Wedding) "	"87%"	"2006"	"efterbrylluppetafterthewedding)"
"1251"	50	101	"Jesus Camp "	"87%"	"2006"	"jesuscamp"
"1252"	51	46	"El Aura The Aura) "	"89%"	"2006"	"elauratheaura)"
"1253"	52	95	"Sophie Scholl: The Final Days "	"87%"	"2006"	"sophiescholl:thefinaldays"
"1254"	53	140	"The Three Burials of Melquiades Estrada "	"85%"	"2006"	"thethreeburialsofmelquiadesestrada"
"1255"	54	106	"L'Enfant "	"86%"	"2006"	"l'enfant"
"1256"	55	51	"Mutual Appreciation "	"88%"	"2006"	"mutualappreciation"
"1257"	56	48	"Maxed Out "	"88%"	"2006"	"maxedout"
"1258"	57	48	"Man Push Cart "	"88%"	"2006"	"manpushcart"
"1259"	58	95	"The Road To Guantanamo "	"86%"	"2006"	"theroadtoguantanamo"
"1260"	59	95	"Quincea_era "	"86%"	"2006"	"quincea_era"
"1261"	60	136	"Akeelah and the Bee "	"84%"	"2006"	"akeelahandthebee"
"1262"	61	54	"The Beauty Academy of Kabul "	"87%"	"2006"	"thebeautyacademyofkabul"
"1263"	62	47	"The Ground Truth "	"87%"	"2006"	"thegroundtruth"
"1264"	63	117	"This Film Is Not Yet Rated "	"84%"	"2006"	"thisfilmisnotyetrated"
"1265"	64	86	"Old Joy "	"85%"	"2006"	"oldjoy"
"1266"	65	191	"A Prairie Home Companion "	"81%"	"2006"	"aprairiehomecompanion"
"1267"	66	72	"Sweet Land "	"85%"	"2006"	"sweetland"
"1268"	67	43	"Krü¾Ž†„¼ü¾Œ¦„¼ska v Nesnü¾Ž†„¼ü¾Œ¦„¼zü¾Ž†„¼ü¾˜–„¼ch Beauty in Trouble) "	"86%"	"2006"	"krü¾Ž†„¼ü¾Œ¦„¼skavnesnü¾Ž†„¼ü¾Œ¦„¼zü¾Ž†„¼ü¾˜–„¼chbeautyintrouble)"
"1269"	68	65	"Air Guitar Nation "	"85%"	"2006"	"airguitarnation"
"1270"	69	85	"Paprika "	"84%"	"2006"	"paprika"
"1271"	70	54	"Bamako "	"85%"	"2006"	"bamako"
"1272"	71	128	"Tsotsi Thug) "	"82%"	"2006"	"tsotsithug)"
"1273"	72	158	"Little Children "	"80%"	"2006"	"littlechildren"
"1274"	73	50	"Independent Lens "	"84%"	"2006"	"independentlens"
"1275"	74	258	"Superman Returns "	"76%"	"2006"	"supermanreturns"
"1276"	75	200	"Dreamgirls "	"78%"	"2006"	"dreamgirls"
"1277"	76	138	"Brick "	"80%"	"2006"	"brick"
"1278"	77	53	"The Year My Parents Went on Vacation O Ano em Que Meus Pais Saü¾Ž†„¼ü¾˜–„¼ram de Fü¾Ž†„¼ü¾¦„¼rias) "	"83%"	"2006"	"theyearmyparentswentonvacationoanoemquemeuspaissaü¾Ž†„¼ü¾˜–„¼ramdefü¾Ž†„¼ü¾¦„¼rias)"
"1279"	78	48	"Come Early Morning "	"83%"	"2006"	"comeearlymorning"
"1280"	79	72	"Priceless "	"82%"	"2006"	"priceless"
"1281"	80	60	"Once in a Lifetime: The Extraordinary Story of the New York Cosmos "	"82%"	"2006"	"onceinalifetime:theextraordinarystoryofthenewyorkcosmos"
"1282"	81	78	"Sketches of Frank Gehry "	"81%"	"2006"	"sketchesoffrankgehry"
"1283"	82	143	"Charlotte's Web "	"78%"	"2006"	"charlotte'sweb"
"1284"	83	62	"Fong juk Exiled) "	"81%"	"2006"	"fongjukexiled)"
"1285"	84	112	"Why We Fight "	"79%"	"2006"	"whywefight"
"1286"	85	111	"District B13 Banlieue 13) "	"79%"	"2006"	"districtb13banlieue13)"
"1287"	86	188	"The Prestige "	"76%"	"2006"	"theprestige"
"1288"	87	75	"Riding Alone for Thousands of Miles "	"80%"	"2006"	"ridingaloneforthousandsofmiles"
"1289"	88	47	"Taxidermia "	"81%"	"2006"	"taxidermia"
"1290"	89	176	"Rocky Balboa "	"76%"	"2006"	"rockybalboa"
"1291"	90	187	"The Devil Wears Prada "	"75%"	"2006"	"thedevilwearsprada"
"1292"	91	238	"V for Vendetta "	"73%"	"2006"	"vforvendetta"
"1293"	92	143	"Catch a Fire "	"76%"	"2006"	"catchafire"
"1294"	93	196	"Cars "	"74%"	"2006"	"cars"
"1295"	94	168	"Over the Hedge "	"75%"	"2006"	"overthehedge"
"1296"	95	135	"Transamerica "	"76%"	"2006"	"transamerica"
"1297"	96	161	"Happy Feet "	"75%"	"2006"	"happyfeet"
"1298"	97	53	"Le Petit Lieutenant "	"79%"	"2006"	"lepetitlieutenant"
"1299"	98	187	"The Illusionist "	"74%"	"2006"	"theillusionist"
"1300"	99	52	"Ghosts of Citü¾Ž†„¼ü¾¦„¼ Soleil "	"79%"	"2006"	"ghostsofcitü¾Ž†„¼ü¾¦„¼soleil"
"1301"	100	96	"The U.S. vs. John Lennon "	"77%"	"2006"	"theu.s.vs.johnlennon"
"1302"	1	238	"Ratatouille "	"96%"	"2007"	"ratatouille"
"1303"	2	91	"Taxi to the Dark Side "	"100%"	"2007"	"taxitothedarkside"
"1304"	3	267	"No Country for Old Men "	"93%"	"2007"	"nocountryforoldmen"
"1305"	4	154	"Once "	"97%"	"2007"	"once"
"1306"	5	257	"The Bourne Ultimatum "	"93%"	"2007"	"thebourneultimatum"
"1307"	6	114	"The Band's Visit "	"98%"	"2007"	"theband'svisit"
"1308"	7	153	"Persepolis "	"96%"	"2007"	"persepolis"
"1309"	8	206	"Juno "	"94%"	"2007"	"juno"
"1310"	9	98	"The King of Kong: A Fistful of Quarters "	"97%"	"2007"	"thekingofkong:afistfulofquarters"
"1311"	10	174	"Gone Baby Gone "	"94%"	"2007"	"gonebabygone"
"1312"	11	63	"Ten Canoes "	"98%"	"2007"	"tencanoes"
"1313"	12	164	"The Diving Bell and the Butterfly "	"94%"	"2007"	"thedivingbellandthebutterfly"
"1314"	13	52	"The Devil Came on Horseback "	"98%"	"2007"	"thedevilcameonhorseback"
"1315"	14	133	"4 Months, 3 Weeks and 2 Days "	"95%"	"2007"	"4months,3weeksand2days"
"1316"	15	187	"Enchanted "	"93%"	"2007"	"enchanted"
"1317"	16	48	"For the Bible Tells Me So "	"98%"	"2007"	"forthebibletellsmeso"
"1318"	17	45	"Surfwise "	"98%"	"2007"	"surfwise"
"1319"	18	71	"Killer of Sheep "	"97%"	"2007"	"killerofsheep"
"1320"	19	43	"Grbavica "	"98%"	"2007"	"grbavica"
"1321"	20	42	"The Life of Reilly "	"98%"	"2007"	"thelifeofreilly"
"1322"	21	93	"No End in Sight "	"96%"	"2007"	"noendinsight"
"1323"	22	141	"Away From Her "	"94%"	"2007"	"awayfromher"
"1324"	23	110	"In the Shadow of the Moon "	"95%"	"2007"	"intheshadowofthemoon"
"1325"	24	214	"There Will Be Blood "	"91%"	"2007"	"therewillbeblood"
"1326"	25	211	"Hairspray "	"91%"	"2007"	"hairspray"
"1327"	26	211	"Sicko "	"91%"	"2007"	"sicko"
"1328"	27	238	"Knocked Up "	"90%"	"2007"	"knockedup"
"1329"	28	121	"The Counterfeiters "	"94%"	"2007"	"thecounterfeiters"
"1330"	29	198	"Hot Fuzz "	"91%"	"2007"	"hotfuzz"
"1331"	30	108	"Encounters at the End of the World "	"94%"	"2007"	"encountersattheendoftheworld"
"1332"	31	51	"Up the Yangtze "	"96%"	"2007"	"uptheyangtze"
"1333"	32	48	"Triad Election Hak se wui yi wo wai kwai) "	"96%"	"2007"	"triadelectionhaksewuiyiwowaikwai)"
"1334"	33	47	"Nanking "	"96%"	"2007"	"nanking"
"1335"	34	47	"A fost sau n-a fost?, 12:08 East of Bucharest) "	"96%"	"2007"	"afostsaun-afost?,12:08eastofbucharest)"
"1336"	35	233	"Zodiac "	"89%"	"2007"	"zodiac"
"1337"	36	146	"The Host "	"92%"	"2007"	"thehost"
"1338"	37	196	"Michael Clayton "	"90%"	"2007"	"michaelclayton"
"1339"	38	85	"My Winnipeg "	"94%"	"2007"	"mywinnipeg"
"1340"	39	82	"My Kid Could Paint That "	"94%"	"2007"	"mykidcouldpaintthat"
"1341"	40	218	"The Simpsons Movie "	"89%"	"2007"	"thesimpsonsmovie"
"1342"	41	160	"Rescue Dawn "	"91%"	"2007"	"rescuedawn"
"1343"	42	213	"3:10 to Yuma "	"89%"	"2007"	"3:10toyuma"
"1344"	43	89	"This Is England "	"93%"	"2007"	"thisisengland"
"1345"	44	87	"U2 3D "	"93%"	"2007"	"u23d"
"1346"	45	194	"Eastern Promises "	"89%"	"2007"	"easternpromises"
"1347"	46	54	"Lake of Fire "	"94%"	"2007"	"lakeoffire"
"1348"	47	202	"Superbad "	"88%"	"2007"	"superbad"
"1349"	48	169	"Waitress "	"89%"	"2007"	"waitress"
"1350"	49	165	"The Savages "	"89%"	"2007"	"thesavages"
"1351"	50	93	"The Italian "	"91%"	"2007"	"theitalian"
"1352"	51	60	"An Unreasonable Man "	"92%"	"2007"	"anunreasonableman"
"1353"	52	85	"O' Horten "	"91%"	"2007"	"o'horten"
"1354"	53	167	"Before the Devil Knows You're Dead "	"88%"	"2007"	"beforethedevilknowsyou'redead"
"1355"	54	220	"Sweeney Todd: The Demon Barber of Fleet Street "	"86%"	"2007"	"sweeneytodd:thedemonbarberoffleetstreet"
"1356"	55	50	"La Graine et le Mulet The Secret of the Grain) Couscous) "	"92%"	"2007"	"lagraineetlemuletthesecretofthegrain)couscous)"
"1357"	56	70	"God Grew Tired Of Us "	"91%"	"2007"	"godgrewtiredofus"
"1358"	57	174	"The Orphanage "	"87%"	"2007"	"theorphanage"
"1359"	58	166	"The Lookout "	"87%"	"2007"	"thelookout"
"1360"	59	44	"Shotgun Stories "	"91%"	"2007"	"shotgunstories"
"1361"	60	113	"The Wind That Shakes the Barley "	"88%"	"2007"	"thewindthatshakesthebarley"
"1362"	61	49	"Must Read After My Death "	"90%"	"2007"	"mustreadaftermydeath"
"1363"	62	74	"Auf der Anderen Seite The Edge of Heaven) On the Other Side) "	"89%"	"2007"	"aufderanderenseitetheedgeofheaven)ontheotherside)"
"1364"	63	100	"Young@Heart "	"88%"	"2007"	"young@heart"
"1365"	64	63	"Joe Strummer: The Future Is Unwritten "	"89%"	"2007"	"joestrummer:thefutureisunwritten"
"1366"	65	86	"Red Road "	"88%"	"2007"	"redroad"
"1367"	66	112	"Paris Je T'aime "	"87%"	"2007"	"parisjet'aime"
"1368"	67	56	"Alexandra "	"89%"	"2007"	"alexandra"
