Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
87	87	Kung Fu Panda 2	P/DW	665.7	165.2	0.248	500.4	0.752	2011	7.3	Jack Black	Angelina Jolie	Jennifer Yuh Nelson	4	6	8	43	47	93
88	88	Ice Age: The Meltdown	Fox	660.9	195.3	0.296	465.6	0.704	2006	6.9	Ray Romano	John Leguizamo	Carlos Saldanha	2	12	15	48	12	20
89	89	Big Hero 6	BV	657.8	222.5	0.338	435.3	0.662	2014	7.9	Scott Adsit	Ryan Potter	Don Hall	5	7	1	12	0	3
90	90	Pirates of the Caribbean: The Curse of the Black Pearl	BV	654.3	305.4	0.467	348.9	0.533	2003	8.1	Johnny Depp	Geoffrey Rush	Gore Verbinski	7	10	65	115	43	75
91	91	The Hunger Games: Mockingjay - Part 2	LGF	653	281.7	0.431	371.2	0.569	2015	7	Jennifer Lawrence	Josh Hutcherson	Francis Lawrence	3	5	106	157	16	20
92	92	Star Wars: Episode II - Attack of the Clones	Fox	649.4	310.7	0.478	338.7	0.522	2002^	6.7	Ewan McGregor	Natalie Portman	George Lucas	40	31	24	38	58	85
93	93	Thor: The Dark World	BV	644.6	206.4	0.32	438.2	0.68	2013	7.1	Chris Hemsworth	Natalie Portman	Alan Taylor	6	8	9	21	58	85
94	94	Kung Fu Panda	P/DW	631.7	215.4	0.341	416.3	0.659	2008	7.6	Jack Black	Dustin Hoffman	Mark Osborne	15	5	8	43	58	49
95	95	The Incredibles	BV	631.4	261.4	0.414	370	0.586	2004	8	Craig T. Nelson	Holly Hunter	Brad Bird	30	25	5	16	38	52
96	96	Fast Five	Uni.	626.1	209.8	0.335	416.3	0.665	2011	7.3	Vin Diesel	Paul Walker	Justin Lin	3	6	7	26	7	11
97	97	Hancock	Sony	624.4	227.9	0.365	396.4	0.635	2008	6.4	Will Smith	Charlize Theron	Peter Berg	1	15	56	106	51	87
98	98	MIB 3	Sony	624	179	0.287	445	0.713	2012	6.8	Will Smith	Tommy Lee Jones	Barry Sonnenfeld	7	7	56	106	40	89
99	99	Iron Man 2	Par.	623.9	312.4	0.501	311.5	0.499	2010	7	Robert Downey Jr.	Gwyneth Paltrow	Jon Favreau	3	8	33	91	23	48
100	100	Ratatouille	BV	623.7	206.4	0.331	417.3	0.669	2007	8	Patton Oswalt	Ian Holm	Brad Bird	30	25	3	17	21	22
101	101	How to Train Your Dragon 2	Fox	621.5	177	0.285	444.5	0.715	2014	7.9	Jay Baruchel	Cate Blanchett	Dean DeBlois	7	22	5	10	144	177
