Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
507	507	American Pie	Uni.	235.5	102.6	0.436	132.9	0.564	1999	7	Jason Biggs	Chris Klein	Paul Weitz	2	9	4	15	2	4
508	508	Howl's Moving Castle	BV	235.2	4.7	0.02	230.5	0.98	2005	8.2	Chieko Baish_	Takuya Kimura	Hayao Miyazaki	73	33	11	4	2	2
509	509	American Reunion	Uni.	235	57	0.243	178	0.757	2012	6.7	Jason Biggs	Alyson Hannigan	Jon Hurwitz	 	 	4	15	5	16
510	510	Big Daddy	Sony	234.8	163.5	0.696	71.3	0.304	1999	6.4	Adam Sandler	Joey Lauren Adams	Dennis Dugan	1	4	50	68	4	6
511	511	Daddy's Home	Par.	234.7	148	0.631	86.7	0.369	2015	5.8	John Travolta	Kirstie Alley	Amy Heckerling	3	2	40	49	6	33
512	512	The Day the Earth Stood Still (2008)	Fox	233.1	79.4	0.34	153.7	0.66	2008	5.5	Keanu Reeves	Jennifer Connelly	Scott Derrickson	1	1	11	20	15	25
513	513	The Girl with the Dragon Tattoo (2011)	Sony	232.6	102.5	0.441	130.1	0.559	2011	2.6	Ashley Martin	Austin Michael Scott	Craig Moss	 	 	 	 	 	 
514	514	Argo	WB	232.3	136	0.585	96.3	0.415	2012	7.8	Ben Affleck	Bryan Cranston	Ben Affleck	67	95	67	95	45	75
515	515	The English Patient	Mira.	232	78.7	0.339	153.3	0.661	1996	7.4	Ralph Fiennes	Juliette Binoche	Anthony Minghella	31	52	32	90	26	43
516	516	Sister Act	BV	231.6	139.6	0.603	92	0.397	1992	6.2	Whoopi Goldberg	Maggie Smith	Emile Ardolino	9	21	50	72	44	91
517	517	American Wedding	Uni.	231.4	104.6	0.452	126.9	0.548	2003	6.3	Jason Biggs	Seann William Scott	Jesse Dylan	1	2	4	15	5	8
518	518	Juno	FoxS	231.4	143.5	0.62	87.9	0.38	2007	7.5	Ellen Page	Michael Cera	Jason Reitman	63	64	42	58	7	23
519	519	Constantine	WB	230.9	76	0.329	154.9	0.671	2005	6.9	Keanu Reeves	Rachel Weisz	Francis Lawrence	3	5	11	20	15	30
520	520	Get Smart	WB	230.7	130.3	0.565	100.4	0.435	2008	6.5	Steve Carell	Anne Hathaway	Peter Segal	0	1	32	115	65	95
521	521	Space Jam	WB	230.4	90.4	0.392	140	0.608	1996	6.3	Michael Jordan	Wayne Knight	Joe Pytka	4	12	17	33	0	6
522	522	The Heat	Fox	229.9	159.6	0.694	70.3	0.306	2013	6.6	Sandra Bullock	Melissa McCarthy	Paul Feig	7	10	72	102	19	61
523	523	Mr. Bean's Holiday	Uni.	229.7	33.3	0.145	196.4	0.855	2007	6.3	Rowan Atkinson	Steve Pemberton	Steve Bendelack	0	3	7	14	2	3
524	524	Life Is Beautiful	Mira.	229.2	57.6	0.251	171.6	0.749	1998^	8.6	Roberto Benigni	Nicoletta Braschi	Roberto Benigni	52	37	52	37	2	6
525	525	Ghost Rider	Sony	228.7	115.8	0.506	112.9	0.494	2007	5.2	Matt Long	Raquel Alessi	Mark Steven Johnson	 	 	 	 	 	 
526	526	Lethal Weapon 2	WB	227.9	147.3	0.646	80.6	0.354	1989	7.2	Mel Gibson	Danny Glover	Richard Donner	9	7	32	30	22	41
527	527	The Green Hornet	Sony	227.8	98.8	0.434	129	0.566	2011	5.9	Seth Rogen	Jay Chou	Michel Gondry	26	30	11	26	5	13
528	528	Sleepless in Seattle	TriS	227.8	126.7	0.556	101.1	0.444	1993	6.8	Tom Hanks	Ross Malinger	Nora Ephron	7	18	76	115	2	3
529	529	The Imitation Game	Wein.	227.8	91.1	0.4	136.6	0.6	2014	8.1	Benedict Cumberbatch	Keira Knightley	Morten Tyldum	32	18	30	81	26	87
530	530	Immortals	Rela.	226.9	83.5	0.368	143.4	0.632	2011	6.1	Henry Cavill	Mickey Rourke	Tarsem Singh	4	3	1	5	38	33
531	531	Taken	Fox	226.8	145	0.639	81.8	0.361	2009	7.9	Liam Neeson	Maggie Grace	Pierre Morel	 	 	15	35	1	5
532	532	Percy Jackson & The Olympians: The Lightning Thief	Fox	226.5	88.8	0.392	137.7	0.608	2010	5.9	Logan Lerman	Brandon T. Jackson	Chris Columbus	6	18	7	21	1	3
533	533	Hansel and Gretel: Witch Hunters	Par.	226.3	55.7	0.246	170.6	0.754	2013	6.1	Jeremy Renner	Gemma Arterton	Tommy Wirkola	5	2	30	53	1	7
534	534	Good Will Hunting	Mira.	225.9	138.4	0.613	87.5	0.387	1997	8.3	Matt Damon	Robin Williams	Gus Van Sant	36	55	34	122	63	80
535	535	The Social Network	Sony	224.9	97	0.431	128	0.569	2010	7.7	Jesse Eisenberg	Rooney Mara	David Fincher	57	101	20	54	23	62
536	536	Chicken Run	DW	224.8	106.8	0.475	118	0.525	2000	7	Phil Daniels	Lynn Ferguson	Peter Lord	15	22	 	 	 	 
537	537	Con Air	BV	224	101.1	0.451	122.9	0.549	1997	6.8	Colm Meaney	Mykelti Williamson	Simon West	4	9	7	8	0	5
538	538	Interview with the Vampire	WB	223.7	105.3	0.471	118.4	0.529	1994	7.6	Brad Pitt	Christian Slater	Neil Jordan	39	47	64	136	8	10
539	539	Flightplan	BV	223.4	89.7	0.402	133.7	0.598	2005	6.2	Jodie Foster	Peter Sarsgaard	Robert Schwentke	3	3	54	43	14	33
540	540	Yes Man	WB	223.2	97.7	0.438	125.6	0.562	2008	6.8	Jim Carrey	Zooey Deschanel	Peyton Reed	2	3	45	88	6	32
541	541	Non-Stop	Uni.	222.8	92.2	0.414	130.6	0.586	2014	7	Liam Neeson	Julianne Moore	Jaume Collet-Serra	0	1	15	35	107	148
542	542	"Honey, I Shrunk the Kids"	BV	222.7	130.7	0.587	92	0.413	1989	6.3	Rick Moranis	Matt Frewer	Joe Johnston	2	6	3	4	2	4
543	543	Fahrenheit 9/11	Lions	222.4	119.2	0.536	103.3	0.464	2004	7.5	Ben Affleck	Stevie Wonder	Michael Moore	45	28	67	95	10	15
544	544	Jumper	Fox	222.2	80.2	0.361	142.1	0.639	2008	6.1	Hayden Christensen	Jamie Bell	Doug Liman	2	6	9	19	17	19
545	545	Wild Wild West	WB	222.1	113.8	0.512	108.3	0.488	1999	4.8	Will Smith	Kevin Kline	Barry Sonnenfeld	7	7	56	106	8	30
546	546	Presumed Innocent	WB	221.3	86.3	0.39	135	0.61	1990	6.9	Harrison Ford	Brian Dennehy	Alan J. Pakula	11	11	32	36	5	14
547	547	Scary Movie 3	Dim.	220.7	110	0.498	110.7	0.502	2003	5.4	Pamela Anderson	Jenny McCarthy	David Zucker	0	11	2	5	3	8
548	548	Elf	NL	220.4	173.4	0.787	47	0.213	2003	6.9	Will Ferrell	James Caan	Jon Favreau	3	8	9	61	6	18
549	549	Green Lantern	WB	219.9	116.6	0.53	103.3	0.47	2011	5.6	Ryan Reynolds	Blake Lively	Martin Campbell	2	10	8	32	7	16
550	550	The Terminal	DW	219.4	77.9	0.355	141.5	0.645	2004	7.3	Tom Hanks	Catherine Zeta-Jones	Steven Spielberg	175	168	76	115	18	32
551	551	What Happens in Vegas	Fox	219.4	80.3	0.366	139.1	0.634	2008	6.1	Cameron Diaz	Ashton Kutcher	Tom Vaughan	1	2	28	82	18	40
552	552	It's Complicated	Uni.	219.1	112.7	0.515	106.4	0.485	2009	6.6	Meryl Streep	Steve Martin	Nancy Meyers	6	5	163	321	22	39
553	553	Knocked Up	Uni.	219.1	148.8	0.679	70.3	0.321	2007	7	Seth Rogen	Katherine Heigl	Judd Apatow	15	28	11	26	9	28
554	554	Captain Phillips	Sony	218.8	107.1	0.49	111.7	0.51	2013	7.9	Tom Hanks	Catherine Keener	Paul Greengrass	34	62	76	115	16	52
555	555	The Prince of Egypt	DW	218.6	101.4	0.464	117.2	0.536	1998	7	Val Kilmer	Ralph Fiennes	Brenda Chapman	3	7	5	13	32	90
556	556	Jack Reacher	Par.	218.3	80.1	0.367	138.3	0.633	2012	7	Tom Cruise	Rosamund Pike	Christopher McQuarrie	8	3	39	76	28	50
557	557	Collateral	DW	217.8	101	0.464	116.8	0.536	2004	7.6	Tom Cruise	Jamie Foxx	Michael Mann	15	36	39	76	45	74
558	558	Dracula Untold	Uni.	217.1	56.3	0.259	160.8	0.741	2014	6.3	Luke Evans	Sarah Gadon	Gary Shore	0	1	0	3	2	4
559	559	Million Dollar Baby	WB	216.8	100.5	0.464	116.3	0.536	2004	8.1	Clint Eastwood	Hilary Swank	Clint Eastwood	143	148	143	148	55	41
560	560	Ted 2	Uni.	216.7	81.5	0.376	135.2	0.624	2015	6.4	Mark Wahlberg	Seth MacFarlane	Seth MacFarlane	15	46	20	60	15	46
561	561	The Help	BV	216.6	169.7	0.783	46.9	0.217	2011	8.1	Emma Stone	Viola Davis	Tate Taylor	11	16	36	76	44	69
562	562	Twins	Uni.	216.6	111.9	0.517	104.7	0.483	1988	6	Arnold Schwarzenegger	Danny DeVito	Ivan Reitman	8	11	23	31	11	39
563	563	Valentine's Day	WB (NL)	216.5	110.5	0.51	106	0.49	2010	5.8	Jessica Alba	Kathy Bates	Garry Marshall	13	14	14	37	31	83
564	564	Bad Teacher	Sony	216.2	100.3	0.464	115.9	0.536	2011	5.7	Cameron Diaz	Lucy Punch	Jake Kasdan	1	5	28	82	3	6
565	565	Clear and Present Danger	Par.	215.9	122.2	0.566	93.7	0.434	1994	6.9	Harrison Ford	Willem Dafoe	Phillip Noyce	23	10	32	36	28	36
566	566	101 Dalmatians	Dis.	215.9	144.9	0.671	71	0.329	1961^	7.2	Rod Taylor	J. Pat O'Malley	Clyde Geronimi	3	6	4	3	0	1
567	567	Bram Stoker's Dracula	Col.	215.9	82.5	0.382	133.3	0.618	1992	7.5	Gary Oldman	Winona Ryder	Francis Ford Coppola	49	47	24	44	17	37
568	568	Vertical Limit	Sony	215.7	69.2	0.321	146.4	0.679	2000	5.9	Chris O'Donnell	Robin Tunney	Martin Campbell	2	10	4	5	3	4
569	569	Alvin and the Chipmunks: The Road Chip	Fox	215.6	84.6	0.392	131	0.608	2015	4.2	Jason Lee	Justin Long	Walt Becker	0	1	2	22	2	7
570	570	Ghostbusters II	Col.	215.4	112.5	0.522	102.9	0.478	1989	6.5	Bill Murray	Dan Aykroyd	Ivan Reitman	8	11	49	63	3	14
571	571	The Patriot	Sony	215.3	113.3	0.526	102	0.474	2000	7.1	Mel Gibson	Heath Ledger	Roland Emmerich	13	14	32	30	74	53
572	572	The Sorcerer's Apprentice	BV	215.3	63.2	0.293	152.1	0.707	2010	6.1	Nicolas Cage	Jay Baruchel	Jon Turteltaub	0	2	40	60	5	10
573	573	Just Go With It	Sony	214.9	103	0.479	111.9	0.521	2011	6.4	Adam Sandler	Jennifer Aniston	Dennis Dugan	1	4	50	68	33	73
574	574	Public Enemies	Uni.	214.1	97.1	0.454	117	0.546	2009	7	David Wenham	Christian Stolte	Michael Mann	15	36	15	31	1	0
575	575	The Bourne Identity	Uni.	214	121.7	0.568	92.4	0.432	2002	7.9	Matt Damon	Franka Potente	Doug Liman	2	6	34	122	8	7
576	576	Disclosure	WB	214	83	0.388	131	0.612	1994	6	Michael Douglas	Demi Moore	Barry Levinson	29	37	58	36	12	28
577	577	Dirty Dancing	Vest	214	64	0.299	150	0.701	1987^	6.9	Jennifer Grey	Patrick Swayze	Emile Ardolino	9	21	0	3	5	7
578	578	Pulp Fiction	Mira.	213.9	107.9	0.505	106	0.495	1994	8.9	Tim Roth	Laura Lovelace	Quentin Tarantino	120	163	16	19	 	 
579	579	The Aviator	Mira.	213.7	102.6	0.48	111.1	0.52	2004	7.5	Leonardo DiCaprio	Cate Blanchett	Martin Scorsese	135	185	85	195	144	177
580	580	"Crouching Tiger, Hidden Dragon"	SPC	213.5	128.1	0.6	85.4	0.4	2000	7.9	Yun-Fat Chow	Michelle Yeoh	Ang Lee	96	90	9	26	6	18
581	581	Into the Woods	BV	213.1	128	0.601	85.1	0.399	2014	6	Anna Kendrick	Daniel Huttlestone	Rob Marshall	14	21	13	57	4	17
582	582	Bedtime Stories	BV	212.9	110.1	0.517	102.8	0.483	2008	6.1	Adam Sandler	Keri Russell	Adam Shankman	1	3	50	68	5	19
583	583	Miss Congeniality	WB	212.7	106.8	0.502	105.9	0.498	2000	6.1	Sandra Bullock	Michael Caine	Donald Petrie	1	3	72	102	37	60
584	584	Entrapment	Fox	212.4	87.7	0.413	124.7	0.587	1999	6.2	Sean Connery	Catherine Zeta-Jones	Jon Amiel	5	1	37	27	18	32
585	585	Ace Ventura: When Nature Calls	WB	212.4	108.4	0.51	104	0.49	1995	6.3	Jim Carrey	Ian McNeice	Steve Oedekerk	1	3	45	88	 	 
586	586	Master and Commander: The Far Side of the World	Fox	212	93.9	0.443	118.1	0.557	2003	7.4	Russell Crowe	Paul Bettany	Peter Weir	32	56	36	66	6	18
587	587	End of Days	Uni.	212	66.9	0.316	145.1	0.684	1999	5.7	Arnold Schwarzenegger	Gabriel Byrne	Peter Hyams	1	7	23	31	6	16
588	588	Battle: Los Angeles	Sony	211.8	83.6	0.394	128.3	0.606	2011	5.8	Aaron Eckhart	Ramon Rodriguez	Jonathan Liebesman	2	2	7	18	0	2
589	589	Fury (2014)	Sony	211.8	85.8	0.405	126	0.595	2014		Richard Dennison	Dolly Parton	Richard Dennison	 	 	 	 	 	 
590	590	Due Date	WB	211.8	100.5	0.475	111.2	0.525	2010	6.6	Robert Downey Jr.	Zach Galifianakis	Todd Phillips	5	4	33	91	18	26
591	591	Kingdom of Heaven	Fox	211.7	47.4	0.224	164.3	0.776	2005	7.2	Martin Hancock	Michael Sheen	Ridley Scott	31	87	 	 	 	 
592	592	The Little Mermaid	BV	211.3	111.5	0.528	99.8	0.472	1989^	7.6	Rene Auberjonois	Christopher Daniel Barnes	Ron Clements	7	8	3	9	0	3
593	593	Australia	Fox	211.3	49.6	0.234	161.8	0.766	2008	6.6	Shea Adams	Eddie Baroo	Baz Luhrmann	33	49	1	3	 	 
594	594	District 9	TriS	210.8	115.6	0.549	95.2	0.451	2009	8	Sharlto Copley	Jason Cope	Neill Blomkamp	11	32	0	11	 	 
595	595	Braveheart	Par.	210.4	75.6	0.359	134.8	0.641	1995	8.4	James Robinson	Sean Lawlor	Mel Gibson	32	30	 	 	 	 
596	596	Moonraker	MGM	210.3	70.3	0.334	140	0.666	1979	6.3	Roger Moore	Lois Chiles	Lewis Gilbert	8	17	 	 	 	 
597	597	The Others	Mira.	209.9	96.5	0.46	113.4	0.54	2001	7.6	Nicole Kidman	Fionnula Flanagan	Alejandro Amen¨¢bar	53	36	65	148	7	11
598	598	Horrible Bosses	WB (NL)	209.6	117.5	0.561	92.1	0.439	2011	6.9	Jason Bateman	Steve Wiebe	Seth Gordon	 	 	 	 	 	 
599	599	Red Dragon	Uni.	209.2	93.1	0.445	116	0.555	2002	7.2	Anthony Hopkins	Edward Norton	Brett Ratner	3	4	47	54	46	79
600	600	Lemony Snicket's A Series of Unfortunate Events	Par.	209.1	118.6	0.567	90.4	0.433	2004	6.8	Jim Carrey	Liam Aiken	Brad Silberling	0	4	45	88	1	4
601	601	Tomorrowland	BV	209	93.4	0.447	115.6	0.553	2015	6.5	George Clooney	Hugh Laurie	Brad Bird	30	25	87	193	18	42
602	602	Safe House	Uni.	208.1	126.4	0.607	81.7	0.393	2012	6.8	Denzel Washington	Ryan Reynolds	Daniel Espinosa	3	3	68	103	8	32
603	603	S.W.A.T.	Sony	207.7	116.9	0.563	90.8	0.437	2003	6	Samuel L. Jackson	Colin Farrell	Clark Johnson	0	10	31	76	12	37
604	604	Traffic	USA	207.5	124.1	0.598	83.4	0.402	2000	7.6	Benicio Del Toro	Jacob Vargas	Steven Soderbergh	29	74	45	66	4	7
605	605	The Fast and the Furious	Uni.	207.3	144.5	0.697	62.8	0.303	2001	6.7	Paul Walker	Vin Diesel	Rob Cohen	3	1	7	11	7	26
606	606	Paranormal Activity 3	Par.	207	104	0.502	103	0.498	2011	5.8	Lauren Bittner	Christopher Nicholas Smith	Henry Joost	1	3	 	 	 	 
607	607	Philadelphia	TriS	206.7	77.4	0.375	129.2	0.625	1993	7.7	Tom Hanks	Denzel Washington	Jonathan Demme	26	28	76	115	68	103
608	608	The Expendables 3	LGF	206.2	39.3	0.191	166.9	0.809	2014	6.1	Sylvester Stallone	Jason Statham	Patrick Hughes	1	3	55	58	1	2
609	609	Sleepy Hollow	Par.	206.1	101.1	0.49	105	0.51	1999	7.4	Johnny Depp	Christina Ricci	Tim Burton	20	58	65	115	18	33
610	610	The Jungle Book	Dis.	205.8	141.8	0.689	64	0.311	1967^	7.6	Phil Harris	Sebastian Cabot	Wolfgang Reitherman	5	1	0	3	2	4
611	611	JFK	WB	205.4	70.4	0.343	135	0.657	1991	8	Sally Kirkland	Anthony Ramirez	Oliver Stone	51	49	10	5	 	 
612	612	White House Down	Sony	205.4	73.1	0.356	132.3	0.644	2013	6.4	Channing Tatum	Jamie Foxx	Roland Emmerich	13	14	19	53	45	74
613	613	The Ugly Truth	Sony	205.3	88.9	0.433	116.4	0.567	2009	6.5	Katherine Heigl	Gerard Butler	Robert Luketic	4	0	9	28	2	12
614	614	The Holiday	Sony	205.1	63.2	0.308	141.9	0.692	2006	6.9	Cameron Diaz	Kate Winslet	Nancy Meyers	6	5	28	82	80	144
615	615	The Break-Up	Uni.	205	118.7	0.579	86.3	0.421	2006	5.8	Vince Vaughn	Jennifer Aniston	Peyton Reed	2	3	7	12	33	73
616	616	Eat Pray Love	Sony	204.6	80.6	0.394	124	0.606	2010	5.7	Julia Roberts	I. Gusti Ayu Puspawati	Ryan Murphy	12	43	51	86	 	 
617	617	King Arthur	BV	203.6	51.9	0.255	151.7	0.745	2004	6.3	Clive Owen	Ioan Gruffudd	Antoine Fuqua	3	5	19	33	2	4
618	618	Everest (2015)	Uni.	203.4	43.5	0.214	159.9	0.786	2015		Asil Ra_s	Christopher Thompson	Henri de Gerlache	 	 	 	 	 	 
619	619	Vanilla Sky	Par.	203.4	100.6	0.495	102.8	0.505	2001	6.9	Tom Cruise	Pen¨¦lope Cruz	Cameron Crowe	20	42	39	76	49	92
620	620	Need for Speed	BV	203.3	43.6	0.214	159.7	0.786	2014	6.5	Aaron Paul	Dominic Cooper	Scott Waugh	1	0	18	14	1	9
621	621	Hairspray (2007)	NL	202.5	118.9	0.587	83.7	0.413	2007	6.8	John Travolta	Michelle Pfeiffer	Adam Shankman	1	3	40	49	23	36
622	622	Patch Adams	Uni.	202.3	135	0.667	67.3	0.333	1998	6.7	Robin Williams	Daniel London	Tom Shadyac	1	0	63	80	 	 
623	623	Fun with Dick and Jane	Sony	202	110.3	0.546	91.7	0.454	2005	6.1	Jim Carrey	T¨¦a Leoni	Dean Parisot	7	5	45	88	 	 
624	624	Teenage Mutant Ninja Turtles	NL	202	135.3	0.67	66.7	0.33	1990	5.9	Megan Fox	Will Arnett	Jonathan Liebesman	2	2	6	18	5	20
625	625	Kindergarten Cop	Uni.	202	91.5	0.453	110.5	0.547	1990	6	Arnold Schwarzenegger	Penelope Ann Miller	Ivan Reitman	8	11	23	31	2	6
626	626	Ponyo	BV	201.8	15.1	0.075	186.7	0.925	2009	7.7	Tomoko Yamaguchi	Kazushige Nagashima	Hayao Miyazaki	73	33	1	1	2	0
627	627	Straight Outta Compton	Uni.	201.6	161.2	0.799	40.4	0.201	2015	8	O'Shea Jackson Jr.	Corey Hawkins	F. Gary Gray	7	7	4	3	2	3
628	628	21 Jump Street	Sony	201.6	138.4	0.687	63.1	0.313	2012	7.2	Jonah Hill	Channing Tatum	Phil Lord	11	12	5	56	19	53
629	629	Yogi Bear	WB	201.6	100.2	0.497	101.3	0.503	2010	4.6	Dan Aykroyd	Justin Timberlake	Eric Brevig	1	11	3	14	31	69
630	630	Garfield: The Movie	Fox	200.8	75.4	0.375	125.4	0.625	2004	4.9	Breckin Meyer	Jennifer Love Hewitt	Peter Hewitt	2	0	4	6	9	25
631	631	Cats & Dogs	WB	200.7	93.4	0.465	107.3	0.535	2001	5.2	Jeff Goldblum	Elizabeth Perkins	Lawrence Guterman	1	1	9	24	1	16
632	632	The Hunt for Red October	Par.	200.5	122	0.609	78.5	0.391	1990	7.6	Sean Connery	Alec Baldwin	John McTiernan	4	5	37	27	40	87
633	633	Valkyrie	UA	200.3	83.1	0.415	117.2	0.585	2008	7.1	Tom Cruise	Kenneth Branagh	Bryan Singer	14	20	39	76	29	60
																 	 	 	 
