"adjusted" "studio" "release_year" "genre" "mpaa" "theater" "rating" "runt" "per" "sh" "shb" "series" "rn" "to_rating" "bb" "adjusted.1" "adbudget" "adow" "dir_win" "dir_nomi" "st1_win" "st1_nomi" "st2_win" "st2_nomi" "genre1"
"107" 218.11 "P/DW" 2008 "Animation" "PG" 2946 6.7 89 "ns" 0 0 1 NA NA 1.5 218.11 145.4 27.26 0 2 13 52 18 60 "Animation"
"108" 222.35 "Sony" 2006 "Action" "PG" 4065 8 144 "ns" 0 0 0 246 84 1.12 222.35 199.24 83.81 2 10 13 27 3 15 "Action"
"109" 221.41 "BV" 2010 "Animation" "PG-13" 3443 7.8 100 "hs" 0 0 0 215 79 1.34 221.41 165.4 44.99 1 3 6 11 2 13 "Animation"
"110" 318 "Par." 2005 "Sci-Fi Horror" "PG" 3603 6.5 117 "ss" 0 0 0 251 62 0.9 318 352.89 66.23 175 168 39 76 17 26 "Sci-Fi"
"111" 475.18 "Sony" 1997 "Sci-Fi Comedy" "PG-13" 3910 7.3 97 "ss" 0 0 0 85 81 1.9 475.18 250.2 123.01 7 7 40 89 56 106 "Sci-Fi"
"112" 200.32 "Fox" 2013 "Animation" "PG-13" 3180 7.3 98 "ns" 0 0 0 NA NA 2.08 200.32 96.31 NA 0 6 40 60 36 76 "Animation"
"113" 279.21 "WB" 2011 "Comedy" "PG" 4065 6.5 102 "ss" 0 0 1 NA NA 1.89 279.21 148.11 47.83 5 4 29 65 4 12 "Comedy"
"114" 204.05 "Sony" 2008 "Action" "R" 3675 6.7 106 "ns" 0 0 0 280 53 2.1 204.05 96.94 104.08 6 13 13 27 2 5 "Action"
"115" 324.23 "WB" 2007 "Sci-Fi Horror" "PG-13" 3501 7.2 100 "hs" 0 0 0 NA NA 1.28 324.23 252.91 85.36 3 5 56 106 9 6 "Sci-Fi"
"116" 385.81 "Par." 2008 "AA" "PG-13" 3648 7.9 126 "ns" 5 1 0 266 83 2.12 385.81 181.75 93.54 3 8 33 91 33 46 "AA"
"117" 333.26 "Fox" 2006 "Family Adventure" "PG-13" 4154 6.4 108 "hs" 0 0 0 NA NA 1.79 333.26 185.95 NA 3 1 13 52 1 8 "Family"
"118" 171.52 "Uni." 2015 "Romance" "PG" NA 4.1 125 "ns" 0 0 0 NA NA NA 171.52 NA NA 5 11 7 8 6 3 "Romance"
"119" 156.45 "Sony" 2011 "Family Comedy" "R" 3655 5.5 86 "ss" 0 0 0 NA NA 3.56 156.45 43.88 93.47 NA NA 15 25 21 50 "Family"
"120" 445.61 "BV" 2001 "Animation" "PG" 3427 8.1 90 "ns" 0 0 0 192 85 2.64 445.61 169.08 54.72 41 56 20 62 30 47 "Animation"
"121" 210.09 "BV" 2011 "Animation" "G" 3649 6.3 113 "ss" 0 0 1 NA NA 1.67 210.09 126.17 68.68 36 26 1 7 14 45 "Animation"
"122" 163.8 "P/DW" 2011 "Animation" "G" 4115 6.7 90 "ns" 0 0 0 142 73 0.75 163.8 219.42 72.52 12 12 33 39 12 38 "Animation"
"123" 373.97 "BV" 1998 "Sci-Fi Action" "PG" 3963 6.6 144 "ss" 0 0 0 115 27 1.55 373.97 241.15 63.26 7 10 21 37 30 49 "Sci-Fi"
"124" Inf "Uni." 2016 "Action" "PG-13" 3184 7.2 106 "ns" 0 0 0 257 73 1.56 Inf Inf NA 129 120 52 81 8 43 "Action"
"125" 296.97 "Uni." 2005 "Period Adventure" "PG-13" 3627 7 187 "hs" 0 0 0 43 67 1.06 296.97 280.95 68 15 46 20 60 12 49 "Period"
"126" 382.65 "WB" 2012 "Comedy" "R" 3303 7.3 106 "ss" 0 0 0 NA NA 7 382.65 54.65 NA 143 148 29 65 2 2 "Comedy"
"127" 229.37 "Par." 2014 "Drama" "R" NA 6.1 132 "hs" 0 0 1 NA NA 3.66 229.37 62.61 NA 18 15 39 76 1 8 "Drama"
"128" 301.51 "WB" 2000 "Action" "PG-13" 3669 7.5 123 "ss" 0 0 1 NA NA 1.49 301.51 201.76 93.29 8 9 33 91 16 50 "Action"
"129" 204.83 "Fox" 2011 "Adventure" "PG-13" 3703 6.4 128 "hs" 0 0 0 NA NA NA 204.83 NA 43.45 13 14 12 26 34 82 "Adventure"
"130" 352.34 "Uni." 2004 "Action Drama" "PG-13" 3444 7.7 124 "ss" 0 0 0 192 70 2.01 352.34 175.12 96.25 0 18 32 115 7 27 "Action"
"131" 221.86 "BV" 2010 "Animation" "PG" NA 7 95 "ss" 0 0 0 64 80 2.92 221.86 76.08 NA 29 60 144 177 3 2 "Animation"
"132" 208.88 "Par." 2015 "Fantasy" "PG" 3848 7 112 "ns" 0 0 0 NA NA 2.13 208.88 98.04 70.07 6 13 64 136 0 7 "Fantasy"
"133" 253.94 "BV" 2013 "Action Horror" "PG-13" 3607 7.2 116 "ss" 0 0 0 65 66 1.25 253.94 203.32 71.06 5 8 16 33 2 9 "Action"
